# log(Us)  xid nh alpha [OII]3727 Hbeta [OIII]4959 [OIII]5007 [OI]6300 [NII]6548 Halpha [NII]6584 [SII]6717 [SII]6731 NV1240 CIV1548 CIV1551 HeII1640 OIII]1661 OIII]1666 [SiIII]1883 SiIII]1888 [CIII]1907 CIII]1910 
-1.0 0.1 100.0 -1.2 1.2841e+41 3.7593e+41 2.1441e+42 6.4536e+42 2.6119e+40 9.6047e+40 1.0877e+42 2.8343e+41 5.2037e+40 3.9146e+40 1.1257e+42 6.6986e+41 4.5308e+41 2.9977e+42 1.2152e+40 2.7912e+40 5.4236e+39 3.4033e+39 1.6051e+41 1.0522e+41
-1.0 0.1 100.0 -1.4 7.2351e+40 3.7989e+41 1.7626e+42 5.3055e+42 3.6248e+39 4.2965e+40 1.113e+42 1.2679e+41 2.3697e+40 1.8439e+40 6.0509e+41 3.7494e+41 2.5559e+41 2.5227e+42 5.7349e+39 1.2954e+40 1.9397e+39 1.5452e+39 7.8425e+40 5.1463e+40
-1.0 0.1 100.0 -1.7 5.241e+40 4.0742e+41 9.5048e+41 2.8609e+42 8.381e+38 2.0354e+40 1.2381e+42 6.0066e+40 1.0581e+40 8.4264e+39 1.3465e+41 1.3095e+41 7.7495e+40 1.7628e+42 1.6885e+39 3.6958e+39 2.83e+38 1.1456e+39 1.8463e+40 1.2297e+40
-1.0 0.1 100.0 -2.0 4.989e+40 4.349e+41 2.6772e+41 8.0583e+41 4.7028e+38 1.1546e+40 1.3822e+42 3.4072e+40 5.7761e+39 4.6108e+39 3.0146e+40 4.0425e+40 2.7705e+40 1.0757e+42 5.1539e+38 1.0826e+39 4.8038e+37 1.7921e+39 2.3264e+39 1.9258e+39
-1.0 0.1 1000.0 -1.2 8.8428e+41 1.5348e+42 1.2525e+43 3.7701e+43 1.3897e+41 6.7316e+41 4.5537e+42 1.9865e+42 2.4768e+41 2.7846e+41 1.1297e+41 6.1132e+41 3.0294e+41 5.0321e+42 4.2483e+40 9.7366e+40 3.0388e+40 2.0496e+40 7.0557e+41 4.7826e+41
-1.0 0.1 1000.0 -1.4 5.5086e+41 1.4601e+42 7.1436e+42 2.1502e+43 3.1175e+40 4.0807e+41 4.3891e+42 1.2042e+42 1.1929e+41 1.4955e+41 3.0005e+40 1.1146e+41 6.1743e+40 3.7241e+42 9.3942e+39 2.1487e+40 1.0657e+40 8.8082e+39 1.9258e+41 1.3109e+41
-1.0 0.1 1000.0 -1.7 2.9028e+41 1.2546e+42 2.1677e+42 6.5248e+42 7.4061e+39 2.3894e+41 3.8523e+42 7.0513e+41 5.6292e+40 7.726e+40 2.1077e+40 3.2353e+40 2.3048e+40 2.0641e+42 7.3417e+38 1.6907e+39 1.6076e+39 3.8336e+39 1.7026e+40 1.1908e+40
-1.0 0.1 1000.0 -2.0 1.4955e+41 1.0118e+42 4.594e+41 1.3828e+42 2.0395e+39 1.3165e+41 3.1579e+42 3.885e+41 2.7758e+40 3.9399e+40 1.5497e+40 1.8241e+40 1.4714e+40 1.0362e+42 1.6602e+38 3.8714e+38 1.3778e+38 3.022e+39 7.9083e+38 7.909e+38
-1.0 0.1 10000.0 -1.2 2.7425e+42 2.7457e+42 1.4178e+43 4.2677e+43 7.0286e+41 4.516e+42 8.2119e+42 1.3327e+43 5.0077e+41 9.3666e+41 1.5933e+40 5.4513e+40 3.3346e+40 4.6408e+42 1.5826e+40 3.8474e+40 7.6435e+40 7.4681e+40 3.8695e+41 3.5482e+41
-1.0 0.1 10000.0 -1.4 1.796e+42 2.4076e+42 9.119e+42 2.7448e+43 2.2632e+41 3.2532e+42 7.2189e+42 9.6003e+42 2.8582e+41 5.6664e+41 1.494e+40 2.7273e+40 1.9666e+40 3.4098e+42 5.7526e+39 1.4014e+40 3.4707e+40 3.4999e+40 1.5526e+41 1.4378e+41
-1.0 0.1 10000.0 -1.7 1.0007e+42 1.826e+42 3.8982e+42 1.1734e+43 6.8247e+40 2.2367e+42 5.4975e+42 6.6004e+42 1.6795e+41 3.4942e+41 1.0059e+40 1.5237e+40 1.3246e+40 1.8497e+42 1.0215e+39 2.4967e+39 7.6953e+39 8.548e+39 3.1969e+40 3.0032e+40
-1.0 0.1 10000.0 -2.0 5.4664e+41 1.3135e+42 1.392e+42 4.1899e+42 3.2454e+40 1.531e+42 3.9724e+42 4.5178e+42 1.1463e+41 2.4087e+41 3.2156e+39 1.1133e+40 9.8515e+39 9.0128e+41 1.6057e+38 3.939e+38 1.2432e+39 1.7548e+39 5.7765e+39 5.5101e+39
