# log(Us)  xid nh alpha [OII]3727 Hbeta [OIII]4959 [OIII]5007 [OI]6300 [NII]6548 Halpha [NII]6584 [SII]6717 [SII]6731 NV1240 CIV1548 CIV1551 HeII1640 OIII]1661 OIII]1666 [SiIII]1883 SiIII]1888 [CIII]1907 CIII]1910 
-2.5 0.1 100.0 -1.2 6.8065e+42 2.4181e+42 1.1353e+43 3.4174e+43 8.6834e+41 4.5399e+41 7.1258e+42 1.3397e+42 7.3755e+41 5.54e+41 3.1081e+41 2.1486e+42 1.0989e+42 5.2176e+42 1.3932e+41 3.4022e+41 2.4196e+41 1.4389e+41 2.291e+42 1.5011e+42
-2.5 0.1 100.0 -1.4 4.8994e+42 2.0881e+42 8.383e+42 2.5233e+43 3.7164e+41 3.2052e+41 6.1408e+42 9.4586e+41 5.402e+41 4.1141e+41 1.7234e+41 1.1363e+42 5.8207e+41 3.848e+42 6.827e+40 1.664e+41 1.3953e+41 8.3473e+40 1.2386e+42 8.1168e+41
-2.5 0.1 100.0 -1.7 2.8553e+42 1.5694e+42 4.5691e+42 1.3753e+43 1.5129e+41 1.9598e+41 4.634e+42 5.7833e+41 3.4672e+41 2.6672e+41 7.0639e+40 3.7512e+41 1.9813e+41 2.1171e+42 2.0452e+40 4.9763e+40 5.3597e+40 3.2949e+40 4.3459e+41 2.8486e+41
-2.5 0.1 100.0 -2.0 1.6081e+42 1.133e+42 2.2814e+42 6.8671e+42 8.3622e+40 1.1892e+41 3.3744e+42 3.5093e+41 2.2289e+41 1.7156e+41 3.4772e+40 1.1524e+41 6.7566e+40 1.0641e+42 5.8432e+39 1.4186e+40 1.9528e+40 1.3103e+40 1.4562e+41 9.5519e+40
-2.5 0.1 1000.0 -1.2 7.1212e+42 2.605e+42 1.363e+43 4.1026e+43 1.099e+42 5.5506e+41 7.6268e+42 1.638e+42 6.5226e+41 6.87e+41 1.7051e+41 2.4521e+42 1.2481e+42 5.2852e+42 1.8752e+41 4.5795e+41 3.3874e+41 2.0978e+41 3.0093e+42 2.0239e+42
-2.5 0.1 1000.0 -1.4 5.2976e+42 2.2663e+42 1.0523e+43 3.1674e+43 4.8854e+41 3.9332e+41 6.6152e+42 1.1607e+42 4.5647e+41 5.1441e+41 7.2117e+40 1.2158e+42 6.226e+41 3.8901e+42 9.9082e+40 2.4169e+41 2.1874e+41 1.3617e+41 1.758e+42 1.1835e+42
-2.5 0.1 1000.0 -1.7 3.3047e+42 1.7239e+42 6.248e+42 1.8806e+43 1.9293e+41 2.5067e+41 5.0416e+42 7.3973e+41 2.8786e+41 3.451e+41 2.6852e+40 3.1264e+41 1.6852e+41 2.131e+42 3.2736e+40 7.976e+40 1.0482e+41 6.6259e+40 6.9503e+41 4.6859e+41
-2.5 0.1 1000.0 -2.0 2.0422e+42 1.2571e+42 3.4254e+42 1.031e+43 1.1008e+41 1.6661e+41 3.697e+42 4.9167e+41 1.9745e+41 2.4011e+41 1.6404e+40 7.1936e+40 4.5138e+40 1.0653e+42 9.8483e+39 2.3997e+40 4.8775e+40 3.1869e+40 2.532e+41 1.7097e+41
-2.5 0.1 10000.0 -1.2 7.6935e+42 3.0226e+42 1.4742e+43 4.4375e+43 2.5663e+42 1.2127e+42 8.8361e+42 3.5786e+42 6.573e+41 1.0855e+42 1.3273e+40 4.9465e+41 2.5866e+41 4.9729e+42 1.5802e+41 3.8805e+41 5.7792e+41 5.0444e+41 2.8092e+42 2.3898e+42
-2.5 0.1 10000.0 -1.4 6.0749e+42 2.614e+42 1.1232e+43 3.3809e+43 1.3854e+42 9.1697e+41 7.6042e+42 2.706e+42 4.5948e+41 8.0046e+41 9.5704e+39 2.0105e+41 1.0886e+41 3.6729e+42 8.4983e+40 2.0874e+41 3.8237e+41 3.3728e+41 1.6573e+42 1.419e+42
-2.5 0.1 10000.0 -1.7 4.2595e+42 1.9559e+42 6.2051e+42 1.8677e+43 6.0566e+41 6.48e+41 5.6825e+42 1.9123e+42 2.9572e+41 5.5203e+41 3.2153e+39 4.3846e+40 2.8131e+40 1.9999e+42 2.7328e+40 6.7182e+40 1.6495e+41 1.4784e+41 6.3843e+41 5.5086e+41
-2.5 0.1 10000.0 -2.0 2.9867e+42 1.3955e+42 2.9626e+42 8.9173e+42 3.4136e+41 4.9234e+41 4.0638e+42 1.4529e+42 2.1385e+41 4.1497e+41 5.2143e+38 1.5701e+40 1.2554e+40 9.7899e+41 8.0036e+39 1.9694e+40 6.1389e+40 5.5829e+40 2.3251e+41 2.018e+41
-2.5 0.3 100.0 -1.2 7.1074e+42 1.782e+42 9.1875e+42 2.7654e+43 1.6705e+42 5.5334e+41 5.2377e+42 1.6329e+42 1.029e+42 7.5439e+41 4.6152e+41 1.5263e+42 9.1071e+41 4.6612e+42 2.0596e+41 5.0467e+41 1.6915e+41 1.0032e+41 2.6433e+42 1.7318e+42
-2.5 0.3 100.0 -1.4 5.1082e+42 1.4994e+42 7.2029e+42 2.1681e+43 8.1289e+41 3.7222e+41 4.3795e+42 1.0984e+42 7.0539e+41 5.2461e+41 2.7147e+41 9.0389e+41 5.3343e+41 3.4824e+42 1.1395e+41 2.7896e+41 1.0862e+41 6.4555e+40 1.5743e+42 1.0314e+42
-2.5 0.3 100.0 -1.7 2.9939e+42 1.1106e+42 4.2598e+42 1.2822e+43 2.4699e+41 2.1271e+41 3.2465e+42 6.277e+41 4.0199e+41 3.0461e+41 1.1298e+41 3.6158e+41 2.1333e+41 1.9519e+42 3.9443e+40 9.6409e+40 4.7471e+40 2.847e+40 6.2131e+41 4.0714e+41
-2.5 0.3 100.0 -2.0 1.752e+42 8.0637e+41 2.2957e+42 6.91e+42 9.6893e+40 1.2871e+41 2.3733e+42 3.7981e+41 2.4121e+41 1.8476e+41 4.9423e+40 1.3996e+41 8.5198e+40 9.9751e+41 1.2853e+40 3.1365e+40 1.9532e+40 1.2057e+40 2.3322e+41 1.5286e+41
-2.5 0.3 1000.0 -1.2 7.3148e+42 2.0988e+42 1.1524e+43 3.4686e+43 1.912e+42 6.6887e+41 6.1271e+42 1.9738e+42 1.0083e+42 9.5488e+41 2.9608e+41 1.8106e+42 1.0132e+42 4.9796e+42 2.5482e+41 6.2412e+41 2.1529e+41 1.3283e+41 3.247e+42 2.1807e+42
-2.5 0.3 1000.0 -1.4 5.4462e+42 1.8141e+42 9.2631e+42 2.7882e+43 9.5033e+41 4.6576e+41 5.2692e+42 1.3744e+42 6.6774e+41 6.7492e+41 1.3204e+41 1.0623e+42 5.7904e+41 3.7079e+42 1.4602e+41 3.5733e+41 1.4793e+41 9.1566e+40 2.0197e+42 1.3577e+42
-2.5 0.3 1000.0 -1.7 3.4319e+42 1.3971e+42 5.7974e+42 1.745e+43 3.1248e+41 2.8228e+41 4.0625e+42 8.3301e+41 3.738e+41 4.1385e+41 3.749e+40 3.5875e+41 1.9957e+41 2.0644e+42 5.3257e+40 1.3019e+41 7.6254e+40 4.7607e+40 8.6169e+41 5.8007e+41
-2.5 0.3 1000.0 -2.0 2.1931e+42 1.0468e+42 3.3189e+42 9.99e+42 1.3273e+41 1.8625e+41 3.0603e+42 5.4962e+41 2.3249e+41 2.7268e+41 1.8099e+40 9.4769e+40 5.7893e+40 1.0444e+42 1.7183e+40 4.1996e+40 3.7913e+40 2.4096e+40 3.3377e+41 2.2499e+41
-2.5 0.3 10000.0 -1.2 7.9309e+42 2.7928e+42 1.3727e+43 4.1319e+43 3.542e+42 1.4419e+42 8.1552e+42 4.255e+42 1.0846e+42 1.6181e+42 1.5295e+40 5.0504e+41 2.834e+41 4.9286e+42 2.0036e+41 4.9241e+41 3.5201e+41 3.04e+41 2.8582e+42 2.4133e+42
-2.5 0.3 10000.0 -1.4 6.3478e+42 2.4318e+42 1.064e+43 3.2028e+43 2.0078e+42 1.1038e+42 7.0653e+42 3.2572e+42 7.3207e+41 1.1534e+42 1.0181e+40 2.1922e+41 1.2515e+41 3.6495e+42 1.1168e+41 2.7451e+41 2.4186e+41 2.1095e+41 1.7432e+42 1.4813e+42
