# log(Us)  xid nh alpha [OII]3727 Hbeta [OIII]4959 [OIII]5007 [OI]6300 [NII]6548 Halpha [NII]6584 [SII]6717 [SII]6731 NV1240 CIV1548 CIV1551 HeII1640 OIII]1661 OIII]1666 [SiIII]1883 SiIII]1888 [CIII]1907 CIII]1910 
-2.5 0.1 100.0 -1.2 3.5676e+41 3.6965e+42 6.4531e+41 1.9424e+42 2.2378e+41 2.4708e+39 1.1373e+43 7.2913e+39 1.7106e+41 1.1965e+41 1.339e+40 8.0715e+41 4.1157e+41 5.4213e+42 7.0496e+40 1.7375e+41 1.0997e+41 6.5065e+40 6.9914e+41 4.5786e+41
-2.5 0.1 100.0 -1.4 3.1457e+41 3.0893e+42 6.264e+41 1.8855e+42 1.2207e+41 1.8477e+39 9.3702e+42 5.4526e+39 1.0048e+41 7.0822e+40 1.1572e+40 6.9923e+41 3.5855e+41 3.9644e+42 6.6442e+40 1.6375e+41 1.2077e+41 7.1465e+40 6.55e+41 4.2895e+41
-2.5 0.1 100.0 -1.7 2.4258e+41 2.1943e+42 5.105e+41 1.5366e+42 4.3965e+40 1.22e+39 6.5516e+42 3.6003e+39 4.3803e+40 3.1406e+40 8.0443e+39 4.7319e+41 2.4586e+41 2.1435e+42 5.075e+40 1.2508e+41 1.1371e+41 6.7303e+40 4.9891e+41 3.2673e+41
-2.5 0.1 100.0 -2.0 1.8098e+41 1.5036e+42 3.7368e+41 1.1248e+42 1.5272e+40 8.3464e+38 4.4452e+42 2.463e+39 2.0352e+40 1.4914e+40 4.8391e+39 2.8442e+41 1.5099e+41 1.0553e+42 3.4351e+40 8.4658e+40 9.2181e+40 5.4583e+40 3.393e+41 2.2221e+41
-2.5 0.1 1000.0 -1.2 3.1502e+41 3.7053e+42 6.3865e+41 1.9223e+42 2.3412e+41 2.8489e+39 1.137e+43 8.407e+39 1.7013e+41 1.2664e+41 1.0184e+40 7.9599e+41 4.0571e+41 5.4199e+42 6.816e+40 1.6799e+41 1.0773e+41 6.5749e+40 6.8281e+41 4.5594e+41
-2.5 0.1 1000.0 -1.4 2.7671e+41 3.0965e+42 6.1882e+41 1.8627e+42 1.2739e+41 2.1162e+39 9.3648e+42 6.2448e+39 9.669e+40 7.4147e+40 7.3328e+39 6.6946e+41 3.4316e+41 3.965e+42 6.3708e+40 1.5701e+41 1.1861e+41 7.2399e+40 6.3748e+41 4.2569e+41
-2.5 0.1 1000.0 -1.7 2.1471e+41 2.202e+42 5.0111e+41 1.5084e+42 4.6776e+40 1.3673e+39 6.5543e+42 4.0348e+39 4.0384e+40 3.3143e+40 3.0417e+39 4.0622e+41 2.1138e+41 2.1442e+42 4.7371e+40 1.1675e+41 1.1269e+41 6.8812e+40 4.7866e+41 3.1972e+41
-2.5 0.1 1000.0 -2.0 1.6418e+41 1.5116e+42 3.6089e+41 1.0863e+42 1.6897e+40 9.301e+38 4.4561e+42 2.7447e+39 1.7826e+40 1.6064e+40 8.2059e+38 1.9293e+41 1.0345e+41 1.0565e+42 3.0323e+40 7.4731e+40 9.21e+40 5.6278e+40 3.1227e+41 2.0867e+41
-2.5 0.1 10000.0 -1.2 2.4256e+41 3.6912e+42 5.3564e+41 1.6123e+42 2.8606e+41 5.0342e+39 1.1309e+43 1.4856e+40 1.6001e+41 1.5009e+41 3.3461e+38 1.7616e+41 9.1494e+40 5.1583e+42 3.7779e+40 9.3113e+40 1.0458e+41 8.461e+40 4.0375e+41 3.2689e+41
-2.5 0.1 10000.0 -1.4 2.1868e+41 3.1034e+42 4.8643e+41 1.4641e+42 1.6688e+41 3.9192e+39 9.3763e+42 1.1566e+40 9.4157e+40 9.1177e+40 1.5616e+38 1.1589e+41 6.111e+40 3.7883e+42 3.1776e+40 7.8318e+40 1.0172e+41 8.2485e+40 3.4062e+41 2.7632e+41
-2.5 0.1 10000.0 -1.7 1.89e+41 2.2197e+42 3.3771e+41 1.0165e+42 7.0618e+40 2.7562e+39 6.6109e+42 8.1335e+39 4.098e+40 4.3113e+40 2.8108e+37 4.3086e+40 2.3154e+40 2.0446e+42 1.8395e+40 4.5337e+40 7.3875e+40 6.0286e+40 2.0637e+41 1.6818e+41
-2.5 0.1 10000.0 -2.0 1.6542e+41 1.5302e+42 1.9257e+41 5.7963e+41 3.1677e+40 2.1032e+39 4.5194e+42 6.2065e+39 1.9946e+40 2.3403e+40 3.3657e+36 1.273e+40 6.7211e+39 9.9784e+41 8.4158e+39 2.0742e+40 4.309e+40 3.5439e+40 1.0524e+41 8.6225e+40
-2.5 0.3 100.0 -1.2 3.0129e+41 3.6937e+42 5.4253e+41 1.633e+42 2.0243e+41 2.4828e+39 1.1382e+43 7.3268e+39 1.8389e+41 1.2854e+41 1.3479e+40 5.8478e+41 3.0178e+41 5.4103e+42 5.9757e+40 1.4728e+41 4.8652e+40 2.8786e+40 5.0848e+41 3.3299e+41
-2.5 0.3 100.0 -1.4 2.6563e+41 3.0858e+42 5.2733e+41 1.5873e+42 1.1079e+41 1.8543e+39 9.3731e+42 5.4721e+39 1.0792e+41 7.5973e+40 1.166e+40 5.0932e+41 2.6467e+41 3.9571e+42 5.6537e+40 1.3934e+41 5.3608e+40 3.1722e+40 4.7813e+41 3.1312e+41
-2.5 0.3 100.0 -1.7 2.0492e+41 2.1907e+42 4.3078e+41 1.2967e+42 4.0195e+40 1.2226e+39 6.5481e+42 3.608e+39 4.6872e+40 3.353e+40 8.1065e+39 3.4828e+41 1.8389e+41 2.1398e+42 4.3471e+40 1.0714e+41 5.0756e+40 3.0041e+40 3.6629e+41 2.3988e+41
-2.5 0.3 100.0 -2.0 1.5303e+41 1.4995e+42 3.1616e+41 9.5165e+41 1.3837e+40 8.3582e+38 4.4377e+42 2.4665e+39 2.1239e+40 1.5529e+40 4.8709e+39 2.124e+41 1.1499e+41 1.0535e+42 2.9639e+40 7.3048e+40 4.1396e+40 2.4511e+40 2.5063e+41 1.6414e+41
-2.5 0.3 1000.0 -1.2 2.6636e+41 3.705e+42 5.3831e+41 1.6203e+42 2.0813e+41 2.856e+39 1.1386e+43 8.428e+39 1.7889e+41 1.3282e+41 1.0272e+40 5.7831e+41 2.9797e+41 5.4131e+42 5.7921e+40 1.4276e+41 4.78e+40 2.9173e+40 4.9764e+41 3.3228e+41
