# log(Us)  xid nh alpha [OII]3727 Hbeta [OIII]4959 [OIII]5007 [OI]6300 [NII]6548 Halpha [NII]6584 [SII]6717 [SII]6731 NV1240 CIV1548 CIV1551 HeII1640 OIII]1661 OIII]1666 [SiIII]1883 SiIII]1888 [CIII]1907 CIII]1910 
-2.5 0.3 100.0 -1.2 5.9214e+42 1.4038e+42 7.8032e+42 2.3488e+43 1.448e+42 1.0113e+42 4.1472e+42 2.9843e+42 9.6384e+41 7.1097e+41 5.2722e+41 8.9731e+41 5.4456e+41 4.2693e+42 8.8002e+40 2.149e+41 6.4989e+40 3.8646e+40 1.3605e+42 8.915e+41
-2.5 0.3 100.0 -1.4 3.7762e+42 1.1748e+42 5.6174e+42 1.6908e+43 6.2745e+41 6.2944e+41 3.4639e+42 1.8575e+42 6.2958e+41 4.7131e+41 2.8938e+41 4.8649e+41 2.9623e+41 3.2238e+42 3.9248e+40 9.5699e+40 3.3405e+40 2.0006e+40 6.722e+41 4.4054e+41
-2.5 0.3 100.0 -1.7 1.9441e+42 8.7083e+41 2.9095e+42 8.7575e+42 1.6902e+41 3.3147e+41 2.5815e+42 9.7817e+41 3.4294e+41 2.6168e+41 1.0797e+41 1.736e+41 1.0959e+41 1.8438e+42 9.7785e+39 2.3781e+40 1.0333e+40 6.4648e+39 2.0044e+41 1.3141e+41
-2.5 0.3 100.0 -2.0 1.0398e+42 6.4055e+41 1.3456e+42 4.0502e+42 7.3196e+40 1.903e+41 1.9199e+42 5.6159e+41 2.0494e+41 1.5757e+41 4.2008e+40 6.1189e+40 4.211e+40 9.6293e+41 2.3396e+39 5.6732e+39 3.0384e+39 2.2969e+39 5.7566e+40 3.7787e+40
-2.5 0.3 1000.0 -1.2 6.5467e+42 1.7806e+42 1.1074e+43 3.3333e+43 1.6944e+42 1.261e+42 5.2151e+42 3.7212e+42 9.8246e+41 9.7541e+41 2.5417e+41 1.0243e+42 5.516e+41 4.7604e+42 1.2566e+41 3.0651e+41 9.5847e+40 5.9519e+40 1.887e+42 1.2704e+42
-2.5 0.3 1000.0 -1.4 4.4703e+42 1.5512e+42 8.3726e+42 2.5201e+43 7.5407e+41 8.3498e+41 4.5403e+42 2.464e+42 6.3028e+41 6.7063e+41 9.2721e+40 4.9209e+41 2.6081e+41 3.5704e+42 6.0425e+40 1.4717e+41 5.6343e+40 3.5258e+40 1.0124e+42 6.8246e+41
-2.5 0.3 1000.0 -1.7 2.589e+42 1.2153e+42 4.7958e+42 1.4435e+43 2.3077e+41 4.9207e+41 3.5761e+42 1.4521e+42 3.4969e+41 4.0749e+41 2.8078e+40 1.0997e+41 6.4866e+40 2.0126e+42 1.6303e+40 3.9643e+40 2.3477e+40 1.5131e+40 3.3825e+41 2.2847e+41
-2.5 0.3 1000.0 -2.0 1.5547e+42 9.297e+41 2.5019e+42 7.5309e+42 1.1091e+41 3.215e+41 2.7576e+42 9.4876e+41 2.2492e+41 2.7325e+41 1.7442e+40 2.9717e+40 2.2729e+40 1.0271e+42 3.8455e+39 9.3504e+39 9.3744e+39 6.5677e+39 1.0126e+41 6.8537e+40
-2.5 0.3 10000.0 -1.2 8.0589e+42 2.6239e+42 1.433e+43 4.3134e+43 3.4751e+42 2.9925e+42 7.6646e+42 8.8308e+42 1.1331e+42 1.8165e+42 1.5365e+40 2.0267e+41 1.1884e+41 4.8164e+42 9.4019e+40 2.3065e+41 1.7551e+41 1.566e+41 1.626e+42 1.4004e+42
-2.5 0.3 10000.0 -1.4 6.0382e+42 2.3023e+42 1.0583e+43 3.1855e+43 1.8283e+42 2.231e+42 6.7178e+42 6.5837e+42 7.5308e+41 1.2735e+42 1.2347e+40 8.2405e+40 5.1153e+40 3.5726e+42 4.5967e+40 1.128e+41 1.0583e+41 9.5615e+40 8.8431e+41 7.6719e+41
-2.5 0.3 10000.0 -1.7 3.9948e+42 1.7661e+42 5.6393e+42 1.6974e+43 7.5818e+41 1.541e+42 5.1615e+42 4.5474e+42 4.548e+41 8.2725e+41 5.8629e+39 2.3293e+40 1.7534e+40 1.9566e+42 1.2986e+40 3.1895e+40 3.9596e+40 3.6489e+40 3.0783e+41 2.6918e+41
-2.5 0.3 10000.0 -2.0 2.6844e+42 1.2885e+42 2.6202e+42 7.8869e+42 4.0033e+41 1.1444e+42 3.7757e+42 3.3772e+42 3.1324e+41 5.9648e+41 1.1542e+39 1.2196e+40 1.0512e+40 9.615e+41 3.4474e+39 8.4791e+39 1.2948e+40 1.2177e+40 1.0406e+41 9.1506e+40
-2.5 0.5 100.0 -1.2 5.9324e+42 1.0164e+42 5.7416e+42 1.7282e+43 1.9094e+42 1.2425e+42 2.9967e+42 3.6666e+42 1.3344e+42 9.6639e+41 7.8079e+41 9.4326e+41 7.0122e+41 3.6341e+42 1.3294e+41 3.2601e+41 3.4676e+40 2.0559e+40 1.6428e+42 1.0763e+42
-2.5 0.5 100.0 -1.4 3.9085e+42 8.2482e+41 4.5027e+42 1.3553e+43 9.605e+41 7.7408e+41 2.4081e+42 2.2843e+42 8.4244e+41 6.1857e+41 4.6021e+41 5.6301e+41 4.154e+41 2.7881e+42 7.35e+40 1.801e+41 2.1571e+40 1.2812e+40 9.6172e+41 6.3015e+41
-2.5 0.5 100.0 -1.7 2.0294e+42 5.9509e+41 2.6621e+42 8.013e+42 2.9338e+41 3.9176e+41 1.7346e+42 1.1561e+42 4.364e+41 3.2697e+41 1.8311e+41 2.3202e+41 1.6903e+41 1.6332e+42 2.4229e+40 5.9281e+40 8.4372e+39 5.056e+39 3.5787e+41 2.3452e+41
-2.5 0.5 100.0 -2.0 1.1003e+42 4.364e+41 1.416e+42 4.2621e+42 9.425e+40 2.1957e+41 1.2819e+42 6.4795e+41 2.4571e+41 1.868e+41 6.8658e+40 9.2635e+40 6.8952e+40 8.7234e+41 7.3529e+39 1.7958e+40 3.0089e+39 1.8708e+39 1.2459e+41 8.1673e+40
-2.5 0.5 1000.0 -1.2 6.4298e+42 1.3797e+42 8.6469e+42 2.6027e+43 2.1956e+42 1.5025e+42 4.0202e+42 4.4338e+42 1.4519e+42 1.3231e+42 4.7055e+41 1.0329e+42 7.7129e+41 4.3826e+42 1.8001e+41 4.4101e+41 4.7677e+40 2.9449e+40 2.1823e+42 1.4667e+42
