# log(Us)  xid nh alpha [OII]3727 Hbeta [OIII]4959 [OIII]5007 [OI]6300 [NII]6548 Halpha [NII]6584 [SII]6717 [SII]6731 NV1240 CIV1548 CIV1551 HeII1640 OIII]1661 OIII]1666 [SiIII]1883 SiIII]1888 [CIII]1907 CIII]1910 
-2.5 0.1 100.0 -1.2 6.7411e+42 2.6652e+42 1.091e+43 3.284e+43 1.1412e+42 1.9413e+41 7.8047e+42 5.7287e+41 7.0602e+41 5.2157e+41 2.5845e+41 4.3598e+42 2.283e+42 5.3365e+42 3.5475e+41 8.7065e+41 6.109e+41 3.6204e+41 4.5837e+42 3.0027e+42
-2.5 0.1 100.0 -1.4 5.2755e+42 2.2953e+42 8.9423e+42 2.6916e+43 5.543e+41 1.412e+41 6.6733e+42 4.1668e+41 5.137e+41 3.8517e+41 1.6351e+41 2.7411e+42 1.4385e+42 3.9268e+42 2.1992e+41 5.3938e+41 4.4563e+41 2.6441e+41 3.018e+42 1.9771e+42
-2.5 0.1 100.0 -1.7 3.4025e+42 1.7184e+42 5.6483e+42 1.7001e+43 1.7854e+41 8.872e+40 4.992e+42 2.6181e+41 3.1518e+41 2.4037e+41 7.771e+40 1.1649e+42 6.1572e+41 2.1469e+42 9.0853e+40 2.226e+41 2.3595e+41 1.4055e+41 1.3801e+42 9.0422e+41
-2.5 0.1 100.0 -2.0 2.1219e+42 1.2338e+42 3.2602e+42 9.8133e+42 8.3301e+40 5.6874e+40 3.6001e+42 1.6783e+41 2.0069e+41 1.5415e+41 3.9892e+40 4.5437e+41 2.4623e+41 1.0702e+42 3.4956e+40 8.5564e+40 1.1577e+41 6.9629e+40 5.9059e+41 3.87e+41
-2.5 0.1 1000.0 -1.2 6.4126e+42 2.785e+42 1.1788e+43 3.5483e+43 1.3107e+42 2.2911e+41 8.1258e+42 6.761e+41 6.2561e+41 6.0179e+41 1.8171e+41 4.7339e+42 2.4644e+42 5.3672e+42 3.9561e+41 9.71e+41 6.9452e+41 4.2712e+41 5.1041e+42 3.4228e+42
-2.5 0.1 1000.0 -1.4 5.0946e+42 2.4067e+42 9.8412e+42 2.9622e+43 6.5644e+41 1.656e+41 6.9674e+42 4.887e+41 4.3103e+41 4.4368e+41 9.5647e+40 2.9312e+42 1.5273e+42 3.9463e+42 2.5321e+41 6.2113e+41 5.3283e+41 3.2836e+41 3.4848e+42 2.3386e+42
-2.5 0.1 1000.0 -1.7 3.4201e+42 1.8127e+42 6.4479e+42 1.9408e+43 2.2305e+41 1.0417e+41 5.2376e+42 3.074e+41 2.5221e+41 2.8308e+41 3.4423e+40 1.1127e+42 5.8304e+41 2.1535e+42 1.0978e+41 2.6913e+41 3.1485e+41 1.9486e+41 1.7026e+42 1.1438e+42
-2.5 0.1 1000.0 -2.0 2.2755e+42 1.3095e+42 3.8589e+42 1.1615e+43 1.007e+41 6.9962e+40 3.7956e+42 2.0646e+41 1.6122e+41 1.8985e+41 1.5855e+40 3.2181e+41 1.7337e+41 1.0715e+42 4.3189e+40 1.0587e+41 1.7716e+41 1.1037e+41 7.6566e+41 5.1496e+41
-2.5 0.1 10000.0 -1.2 5.9878e+42 3.1052e+42 1.1755e+43 3.5383e+43 2.4118e+42 4.4805e+41 9.0973e+42 1.3222e+42 6.0612e+41 8.9468e+41 1.0803e+40 1.1342e+42 5.8187e+41 5.0599e+42 3.0338e+41 7.4641e+41 9.6987e+41 8.1863e+41 4.2566e+42 3.5449e+42
-2.5 0.1 10000.0 -1.4 5.0331e+42 2.6682e+42 9.5435e+42 2.8726e+43 1.3888e+42 3.4453e+41 7.7463e+42 1.0167e+42 4.1507e+41 6.4876e+41 5.787e+39 5.4121e+41 2.812e+41 3.7306e+42 1.9168e+41 4.7163e+41 7.4393e+41 6.3297e+41 2.864e+42 2.3983e+42
-2.5 0.1 10000.0 -1.7 3.8524e+42 1.9849e+42 5.6924e+42 1.7134e+43 6.1188e+41 2.4396e+41 5.7365e+42 7.1992e+41 2.5432e+41 4.3232e+41 1.3103e+39 1.2265e+41 6.8268e+40 2.0268e+42 7.5212e+40 1.8513e+41 3.9557e+41 3.4084e+41 1.292e+42 1.0903e+42
