# log(Us)  xid nh alpha [OII]3727 Hbeta [OIII]4959 [OIII]5007 [OI]6300 [NII]6548 Halpha [NII]6584 [SII]6717 [SII]6731 NV1240 CIV1548 CIV1551 HeII1640 OIII]1661 OIII]1666 [SiIII]1883 SiIII]1888 [CIII]1907 CIII]1910 
-1.0 0.1 100.0 -1.2 5.5932e+41 5.0449e+41 3.1833e+42 9.5817e+42 1.9274e+41 1.5802e+41 1.4415e+42 4.6632e+41 1.2301e+41 9.02e+40 9.3614e+41 1.0189e+42 6.2585e+41 3.2635e+42 5.2052e+40 1.2217e+41 2.8326e+40 1.6963e+40 4.4715e+41 2.9298e+41
-1.0 0.1 100.0 -1.4 2.6419e+41 4.8177e+41 2.9558e+42 8.8971e+42 4.8578e+40 6.6817e+40 1.3814e+42 1.9718e+41 6.6541e+40 4.9628e+40 4.8124e+41 6.023e+41 3.7346e+41 2.6811e+42 2.7365e+40 6.3084e+40 1.3792e+40 8.5495e+39 2.394e+41 1.5692e+41
-1.0 0.1 100.0 -1.7 1.47e+41 4.7596e+41 2.1756e+42 6.5486e+42 5.7126e+39 3.1437e+40 1.3944e+42 9.2771e+40 3.0412e+40 2.3643e+40 1.3246e+41 2.2234e+41 1.246e+41 1.7535e+42 7.321e+39 1.6391e+40 4.1515e+39 3.3668e+39 7.554e+40 4.9637e+40
-1.0 0.1 100.0 -2.0 1.1001e+41 4.7309e+41 1.0913e+42 3.2847e+42 3.5206e+39 2.4017e+40 1.4297e+42 7.0873e+40 2.3222e+40 1.8126e+40 3.0595e+40 4.9008e+40 3.3805e+40 1.033e+42 1.5338e+39 3.3806e+39 1.1841e+39 2.4393e+39 1.622e+40 1.0922e+40
-1.0 0.1 1000.0 -1.2 2.0956e+42 1.7831e+42 1.5127e+43 4.5531e+43 5.927e+41 6.6574e+41 5.2024e+42 1.9646e+42 4.3527e+41 4.4244e+41 1.6799e+41 1.424e+42 6.8639e+41 5.2266e+42 1.1266e+41 2.6369e+41 9.57e+40 6.0718e+40 1.4969e+42 1.0099e+42
-1.0 0.1 1000.0 -1.4 1.3429e+42 1.6657e+42 1.0336e+43 3.1111e+43 1.6623e+41 3.6783e+41 4.9059e+42 1.0855e+42 2.2677e+41 2.5326e+41 4.1663e+40 3.6502e+41 1.8266e+41 3.8425e+42 3.6159e+40 8.4477e+40 4.7059e+40 3.1175e+40 6.1583e+41 4.1653e+41
-1.0 0.1 1000.0 -1.7 8.4596e+41 1.3947e+42 4.7721e+42 1.4364e+43 4.2703e+40 2.3413e+41 4.1687e+42 6.9092e+41 1.1706e+41 1.4881e+41 2.3387e+40 5.1817e+40 3.3424e+40 2.1087e+42 4.8831e+39 1.1459e+40 1.4093e+40 1.1433e+40 1.2196e+41 8.2922e+40
-1.0 0.1 1000.0 -2.0 5.359e+41 1.0927e+42 1.9585e+42 5.8951e+42 2.5524e+40 1.7615e+41 3.3056e+42 5.1981e+41 8.6184e+40 1.1161e+41 1.7027e+40 2.229e+40 1.7891e+40 1.05e+42 6.9862e+38 1.6547e+39 3.5959e+39 5.1685e+39 2.1615e+40 1.4895e+40
-1.0 0.1 10000.0 -1.2 5.4729e+42 2.9221e+42 1.5875e+43 4.7784e+43 1.8306e+42 3.0488e+42 8.6323e+42 8.997e+42 6.79e+41 1.1979e+42 1.5061e+40 1.2292e+41 6.8989e+40 4.7992e+42 4.4769e+40 1.0941e+41 1.8878e+41 1.7455e+41 9.9802e+41 8.8213e+41
-1.0 0.1 10000.0 -1.4 3.8494e+42 2.5425e+42 1.1067e+43 3.3312e+43 7.7209e+41 2.1654e+42 7.5164e+42 6.39e+42 4.1266e+41 7.7494e+41 1.3431e+40 4.9835e+40 3.1694e+40 3.5297e+42 1.9246e+40 4.7039e+40 1.006e+41 9.4647e+40 4.7472e+41 4.2331e+41
