# log(Us)  xid nh alpha [OII]3727 Hbeta [OIII]4959 [OIII]5007 [OI]6300 [NII]6548 Halpha [NII]6584 [SII]6717 [SII]6731 NV1240 CIV1548 CIV1551 HeII1640 OIII]1661 OIII]1666 [SiIII]1883 SiIII]1888 [CIII]1907 CIII]1910 
-1.5 0.1 10000.0 -1.4 1.0988e+41 3.2388e+42 2.8499e+41 8.5781e+41 1.0815e+41 2.7324e+39 9.7587e+42 8.0634e+39 5.9838e+40 5.6969e+40 9.7894e+37 7.617e+40 4.0314e+40 3.8343e+42 1.9626e+40 4.8372e+40 5.9518e+40 4.8139e+40 2.0364e+41 1.649e+41
-2.5 0.1 100.0 -1.2 1.9451e+41 3.7374e+42 3.5207e+41 1.0597e+42 1.3259e+41 1.3025e+39 1.152e+43 3.8435e+39 1.0189e+41 7.1209e+40 7.2739e+39 4.5206e+41 2.3227e+41 5.4208e+42 3.9163e+40 9.6524e+40 6.0872e+40 3.6016e+40 3.8581e+41 2.5266e+41
-2.5 0.1 100.0 -1.4 1.7179e+41 3.1237e+42 3.4268e+41 1.0315e+42 7.2073e+40 9.7381e+38 9.4925e+42 2.8737e+39 5.9169e+40 4.1652e+40 6.3112e+39 3.9571e+41 2.0499e+41 3.9634e+42 3.7176e+40 9.1628e+40 6.7288e+40 3.9816e+40 3.6399e+41 2.3837e+41
-2.5 0.1 100.0 -1.7 1.3293e+41 2.2197e+42 2.8058e+41 8.4453e+41 2.6261e+40 6.4372e+38 6.6387e+42 1.8996e+39 2.5833e+40 1.8474e+40 4.3945e+39 2.7329e+41 1.4424e+41 2.1424e+42 2.8756e+40 7.0873e+40 6.4044e+40 3.7905e+40 2.8046e+41 1.8367e+41
-2.5 0.1 100.0 -2.0 9.9558e+40 1.5186e+42 2.0637e+41 6.2119e+41 8.9983e+39 4.4101e+38 4.4982e+42 1.3014e+39 1.1635e+40 8.5061e+39 2.6294e+39 1.688e+41 9.1727e+40 1.0542e+42 1.9739e+40 4.865e+40 5.252e+40 3.1096e+40 1.9306e+41 1.2643e+41
-2.5 0.1 1000.0 -1.2 1.7153e+41 3.7393e+42 3.4807e+41 1.0477e+42 1.3544e+41 1.4983e+39 1.1496e+43 4.4214e+39 9.8356e+40 7.297e+40 5.5007e+39 4.4532e+41 2.2867e+41 5.4194e+42 3.7803e+40 9.3173e+40 5.9542e+40 3.6337e+40 3.7624e+41 2.5121e+41
-2.5 0.1 1000.0 -1.4 1.5088e+41 3.1275e+42 3.3809e+41 1.0176e+42 7.435e+40 1.1138e+39 9.4757e+42 3.2868e+39 5.6591e+40 4.3134e+40 3.9616e+39 3.7837e+41 1.959e+41 3.964e+42 3.5565e+40 8.7657e+40 6.5944e+40 4.0247e+40 3.5353e+41 2.3606e+41
-2.5 0.1 1000.0 -1.7 1.1735e+41 2.2211e+42 2.7479e+41 8.2712e+41 2.6998e+40 7.198e+38 6.6241e+42 2.1241e+39 2.3057e+40 1.8794e+40 1.6372e+39 2.3431e+41 1.2383e+41 2.1432e+42 2.6723e+40 6.5864e+40 6.3225e+40 3.86e+40 2.6802e+41 1.79e+41
-2.5 0.1 1000.0 -2.0 8.999e+40 1.5235e+42 1.9865e+41 5.9794e+41 9.7931e+39 4.9014e+38 4.4992e+42 1.4464e+39 1.0162e+40 9.0662e+39 4.397e+38 1.1479e+41 6.3019e+40 1.0558e+42 1.7288e+40 4.2609e+40 5.2127e+40 3.1844e+40 1.7641e+41 1.1787e+41
-2.5 0.1 10000.0 -1.2 1.3155e+41 3.7093e+42 2.9075e+41 8.7515e+41 1.617e+41 2.6425e+39 1.1381e+43 7.7981e+39 9.1023e+40 8.4736e+40 1.7799e+38 9.9754e+40 5.2061e+40 5.1595e+42 2.0771e+40 5.1194e+40 5.7398e+40 4.6408e+40 2.212e+41 1.7902e+41
-2.5 0.1 10000.0 -1.4 1.1865e+41 3.1185e+42 2.6439e+41 7.9583e+41 9.4469e+40 2.0581e+39 9.4346e+42 6.0734e+39 5.3698e+40 5.1516e+40 8.3154e+37 6.6631e+40 3.5124e+40 3.789e+42 1.7531e+40 4.3208e+40 5.5987e+40 4.5367e+40 1.8714e+41 1.5174e+41
-2.5 0.1 10000.0 -1.7 1.0266e+41 2.2283e+42 1.8389e+41 5.535e+41 3.9638e+40 1.4461e+39 6.6446e+42 4.2675e+39 2.3028e+40 2.4006e+40 1.4969e+37 2.5241e+40 1.33e+40 2.0449e+42 1.0194e+40 2.5124e+40 4.0793e+40 3.3264e+40 1.1377e+41 9.2674e+40
-2.5 0.1 10000.0 -2.0 8.9963e+40 1.5347e+42 1.05e+41 3.1605e+41 1.772e+40 1.1027e+39 4.5376e+42 3.2541e+39 1.1132e+40 1.2935e+40 1.7904e+36 7.3364e+39 3.7976e+39 9.9791e+41 4.6795e+39 1.1534e+40 2.3847e+40 1.9597e+40 5.8163e+40 4.7628e+40
-2.5 0.3 100.0 -1.2 1.642e+41 3.7362e+42 2.9669e+41 8.9303e+41 1.1462e+41 1.3055e+39 1.1526e+43 3.8525e+39 1.0391e+41 7.2621e+40 7.3027e+39 3.3017e+41 1.7117e+41 5.4158e+42 3.3155e+40 8.1716e+40 2.6944e+40 1.5942e+40 2.8022e+41 1.8351e+41
-2.5 0.3 100.0 -1.4 1.4502e+41 3.1236e+42 2.8899e+41 8.6986e+41 6.2697e+40 9.758e+38 9.4998e+42 2.8796e+39 6.0803e+40 4.2788e+40 6.3382e+39 2.9047e+41 1.5208e+41 3.9602e+42 3.1537e+40 7.7729e+40 2.9833e+40 1.7653e+40 2.6493e+41 1.735e+41
-2.5 0.3 100.0 -1.7 1.1224e+41 2.2184e+42 2.3687e+41 7.1299e+41 2.2824e+40 6.4461e+38 6.64e+42 1.9022e+39 2.6381e+40 1.8855e+40 4.4134e+39 2.0269e+41 1.0848e+41 2.1406e+42 2.4473e+40 6.0319e+40 2.8475e+40 1.6853e+40 2.0477e+41 1.341e+41
-2.5 0.3 100.0 -2.0 8.4119e+40 1.5171e+42 1.7445e+41 5.2508e+41 7.7954e+39 4.4154e+38 4.4967e+42 1.303e+39 1.1796e+40 8.6183e+39 2.6389e+39 1.271e+41 7.0316e+40 1.0533e+42 1.6862e+40 4.156e+40 2.342e+40 1.3866e+40 1.4142e+41 9.2612e+40
-2.5 0.3 1000.0 -1.2 1.4491e+41 3.7443e+42 2.9363e+41 8.8381e+41 1.1825e+41 1.5012e+39 1.1519e+43 4.4301e+39 1.0234e+41 7.5768e+40 5.5276e+39 3.2559e+41 1.6858e+41 5.4164e+42 3.2034e+40 7.8953e+40 2.6385e+40 1.6102e+40 2.7354e+41 1.8263e+41
-2.5 0.3 1000.0 -1.4 1.2745e+41 3.1295e+42 2.854e+41 8.5904e+41 6.4528e+40 1.1158e+39 9.4888e+42 3.2928e+39 5.8169e+40 4.4247e+40 3.9814e+39 2.7798e+41 1.4534e+41 3.962e+42 3.0192e+40 7.4413e+40 2.9269e+40 1.7863e+40 2.5749e+41 1.7193e+41
-2.5 0.3 1000.0 -1.7 9.9175e+40 2.222e+42 2.3225e+41 6.9908e+41 2.3348e+40 7.2103e+38 6.6313e+42 2.1278e+39 2.3522e+40 1.9125e+40 1.6473e+39 1.7427e+41 9.3242e+40 2.1422e+42 2.2759e+40 5.6095e+40 2.8141e+40 1.718e+40 1.9585e+41 1.308e+41
-2.5 0.3 1000.0 -2.0 7.6091e+40 1.5236e+42 1.681e+41 5.0598e+41 8.4395e+39 4.9108e+38 4.5022e+42 1.4492e+39 1.0293e+40 9.1609e+39 4.4258e+38 8.702e+40 4.8476e+40 1.0554e+42 1.4766e+40 3.6394e+40 2.3262e+40 1.421e+40 1.2923e+41 8.6342e+40
-2.5 0.3 10000.0 -1.2 1.1112e+41 3.7121e+42 2.4547e+41 7.3887e+41 1.3904e+41 2.6441e+39 1.1396e+43 7.8028e+39 9.3148e+40 8.6414e+40 1.7887e+38 7.384e+40 3.8514e+40 5.1591e+42 1.7593e+40 4.3362e+40 2.5448e+40 2.0573e+40 1.609e+41 1.3021e+41
-2.5 0.3 10000.0 -1.4 1.0022e+41 3.1195e+42 2.2331e+41 6.7215e+41 8.0756e+40 2.06e+39 9.443e+42 6.0791e+39 5.4297e+40 5.2e+40 8.3609e+37 4.9648e+40 2.6044e+40 3.7888e+42 1.4863e+40 3.6632e+40 2.4842e+40 2.0127e+40 1.3623e+41 1.1045e+41
-2.5 0.3 10000.0 -1.7 8.6731e+40 2.2295e+42 1.554e+41 4.6775e+41 3.4001e+40 1.4491e+39 6.651e+42 4.2762e+39 2.3434e+40 2.4339e+40 1.5051e+37 1.8844e+40 9.836e+39 2.0448e+42 8.6534e+39 2.1328e+40 1.8119e+40 1.4772e+40 8.291e+40 6.7525e+40
-2.5 0.3 10000.0 -2.0 7.6014e+40 1.5351e+42 8.8764e+40 2.6718e+41 1.5169e+40 1.1049e+39 4.5405e+42 3.2604e+39 1.1284e+40 1.3062e+40 1.7995e+36 5.4277e+39 2.7896e+39 9.9789e+41 3.9755e+39 9.7985e+39 1.0597e+40 8.707e+39 4.2407e+40 3.4721e+40
-2.5 0.5 100.0 -1.2 1.2519e+41 3.7348e+42 2.2587e+41 6.7988e+41 8.8835e+40 1.307e+39 1.1531e+43 3.8569e+39 1.0541e+41 7.3666e+40 7.328e+39 2.2545e+41 1.1766e+41 5.4111e+42 2.5348e+40 6.2476e+40 6.656e+39 3.9382e+39 1.8788e+41 1.2304e+41
-2.5 0.5 100.0 -1.4 1.1061e+41 3.1233e+42 2.2015e+41 6.6265e+41 4.9024e+40 9.772e+38 9.5056e+42 2.8837e+39 6.2384e+40 4.3883e+40 6.3626e+39 1.9968e+41 1.0548e+41 3.9566e+42 2.4156e+40 5.9537e+40 7.381e+39 4.3675e+39 1.7796e+41 1.1654e+41
