## log(Us)        xid       nh        (C/O)/(C/O)sol         mup      [OII]3727           Hb           [OIII]4959           [OIII]5007           [NII]6548           Ha           [NII]6584           [SII]6717           [SII]6731           NV1240           CIV1548           CIV1551           HeII1640           OIII]1661           OIII]1666           [SiIII]1883           SiIII]1888           CIII]1908 
 
   -1.0           0.1       100           0.27               100      1.054e+06        3.898e+07        2.831e+07           8.520e+07            3.563e+03        1.113e+08       1.051e+04           2.829e+04           2.183e+04           9.386e+04        1.502e+07         8.002e+06         1.278e+06          5.037e+06           1.233e+07           1.317e+06             2.099e+06            7.059e+06 
   -1.0           0.1       100           0.27               300      1.298e+06        5.692e+07        4.171e+07           1.255e+08            4.501e+03        1.632e+08       1.328e+04           4.420e+04           3.410e+04           1.569e+05        2.522e+07         1.336e+07         2.832e+06          7.639e+06           1.871e+07           1.676e+06             2.671e+06            9.165e+06 
   -1.0           0.1      1000           0.27               100      6.750e+05        3.919e+07        2.787e+07           8.389e+07            2.652e+03        1.115e+08       7.826e+03           1.796e+04           2.097e+04           9.438e+04        1.463e+07         7.799e+06         1.282e+06          4.832e+06           1.183e+07           1.615e+06             2.601e+06            6.545e+06 
   -1.0           0.1      1000           0.27               300      9.141e+05        5.718e+07        4.100e+07           1.234e+08            3.697e+03        1.635e+08       1.091e+04           2.826e+04           3.299e+04           1.578e+05        2.447e+07         1.297e+07         2.836e+06          7.320e+06           1.793e+07           2.092e+06             3.369e+06            8.474e+06 
   -1.0           0.1       100           0.20               100      1.071e+06        3.901e+07        2.890e+07           8.699e+07            3.579e+03        1.114e+08       1.056e+04           2.875e+04           2.219e+04           9.401e+04        1.175e+07         6.287e+06         1.280e+06          5.199e+06           1.273e+07           1.346e+06             2.146e+06            5.374e+06 
   -1.0           0.1       100           0.20               300      1.320e+06        5.698e+07        4.258e+07           1.282e+08            4.523e+03        1.634e+08       1.335e+04           4.493e+04           3.466e+04           1.571e+05        1.968e+07         1.046e+07         2.836e+06          7.883e+06           1.931e+07           1.714e+06             2.731e+06            6.977e+06 
   -1.0           0.1      1000           0.20               100      6.862e+05        3.921e+07        2.845e+07           8.562e+07            2.666e+03        1.116e+08       7.868e+03           1.825e+04           2.131e+04           9.453e+04        1.144e+07         6.128e+06         1.284e+06          4.985e+06           1.220e+07           1.652e+06             2.661e+06            4.980e+06 
   -1.0           0.1      1000           0.20               300      9.294e+05        5.724e+07        4.185e+07           1.260e+08            3.717e+03        1.636e+08       1.097e+04           2.873e+04           3.353e+04           1.580e+05        1.909e+07         1.015e+07         2.840e+06          7.552e+06           1.850e+07           2.139e+06             3.444e+06            6.448e+06 
   -1.0           0.1       100           0.14               100      1.086e+06        3.904e+07        2.943e+07           8.859e+07            3.595e+03        1.115e+08       1.061e+04           2.917e+04           2.251e+04           9.415e+04        8.715e+06         4.703e+06         1.282e+06          5.347e+06           1.309e+07           1.373e+06             2.189e+06            3.854e+06 
   -1.0           0.1       100           0.14               300      1.339e+06        5.703e+07        4.337e+07           1.305e+08            4.544e+03        1.636e+08       1.341e+04           4.558e+04           3.516e+04           1.573e+05        1.455e+07         7.773e+06         2.840e+06          8.107e+06           1.986e+07           1.748e+06             2.785e+06            5.004e+06 
