## log(Us)        xid       nh        (C/O)/(C/O)sol         mup      [OII]3727           Hb           [OIII]4959           [OIII]5007           [NII]6548           Ha           [NII]6584           [SII]6717           [SII]6731           NV1240           CIV1548           CIV1551           HeII1640           OIII]1661           OIII]1666           [SiIII]1883           SiIII]1888           CIII]1908 
 
   -1.0           0.1       100           1.40               100      8.384e+05        1.803e+06        5.625e+06           1.693e+07            4.000e+04        5.312e+06       1.180e+05           4.828e+04           3.744e+04           5.126e+05        5.714e+05         5.987e+05         2.358e+04          2.444e+04           4.945e+04           4.220e+04             8.202e+04            7.796e+05 
   -1.0           0.1       100           1.40               300      1.122e+06        3.389e+06        1.197e+07           3.603e+07            6.824e+04        9.967e+06       2.014e+05           1.052e+05           8.157e+04           7.655e+05        7.498e+05         7.754e+05         8.246e+04          5.134e+04           1.042e+05           3.987e+04             8.061e+04            1.740e+06 
   -1.0           0.1      1000           1.40               100      9.001e+05        1.782e+06        6.833e+06           2.057e+07            4.679e+04        5.182e+06       1.381e+05           3.364e+04           4.175e+04           4.972e+05        5.722e+05         5.995e+05         2.329e+04          3.450e+04           6.975e+04           7.438e+04             1.366e+05            1.145e+06 
   -1.0           0.1      1000           1.40               300      1.187e+06        3.358e+06        1.425e+07           4.288e+07            7.876e+04        9.753e+06       2.324e+05           7.253e+04           8.970e+04           7.579e+05        7.583e+05         7.830e+05         8.155e+04          7.224e+04           1.465e+05           1.206e+05             2.159e+05            2.435e+06 
   -1.0           0.1       100           1.00               100      8.379e+05        1.783e+06        5.466e+06           1.645e+07            3.964e+04        5.264e+06       1.170e+05           4.863e+04           3.772e+04           5.159e+05        5.081e+05         5.393e+05         2.393e+04          2.247e+04           4.518e+04           3.780e+04             7.500e+04            4.910e+05 
   -1.0           0.1       100           1.00               300      1.097e+06        3.352e+06        1.170e+07           3.520e+07            6.795e+04        9.877e+06       2.005e+05           1.062e+05           8.234e+04           7.681e+05        6.610e+05         6.925e+05         8.361e+04          4.656e+04           9.390e+04           3.569e+04             7.399e+04            1.095e+06 
   -1.0           0.1      1000           1.00               100      9.097e+05        1.760e+06        6.743e+06           2.030e+07            4.681e+04        5.124e+06       1.381e+05           3.409e+04           4.236e+04           5.005e+05        5.086e+05         5.413e+05         2.358e+04          3.210e+04           6.451e+04           6.865e+04             1.274e+05            7.419e+05 
   -1.0           0.1      1000           1.00               300      1.175e+06        3.316e+06        1.410e+07           4.244e+07            7.909e+04        9.647e+06       2.334e+05           7.361e+04           9.116e+04           7.606e+05        6.678e+05         7.015e+05         8.250e+04          6.663e+04           1.343e+05           1.112e+05             2.008e+05            1.570e+06 
   -1.0           0.1       100           0.72               100      8.384e+05        1.769e+06        5.345e+06           1.609e+07            3.931e+04        5.228e+06       1.160e+05           4.883e+04           3.788e+04           5.183e+05        4.533e+05         4.877e+05         2.424e+04          2.115e+04           4.231e+04           3.477e+04             7.015e+04            3.200e+05 
   -1.0           0.1       100           0.72               300      1.077e+06        3.325e+06        1.148e+07           3.455e+07            6.763e+04        9.812e+06       1.996e+05           1.069e+05           8.286e+04           7.701e+05        5.850e+05         6.214e+05         8.464e+04          4.330e+04           8.693e+04           3.284e+04             6.946e+04            7.121e+05 
   -1.0           0.1      1000           0.72               100      9.171e+05        1.743e+06        6.663e+06           2.006e+07            4.675e+04        5.082e+06       1.380e+05           3.439e+04           4.279e+04           5.029e+05        4.543e+05         4.914e+05         2.385e+04          3.038e+04           6.078e+04           6.434e+04             1.205e+05            4.932e+05 
   -1.0           0.1      1000           0.72               300      1.165e+06        3.286e+06        1.397e+07           4.205e+07            7.923e+04        9.570e+06       2.338e+05           7.437e+04           9.219e+04           7.627e+05        5.918e+05         6.328e+05         8.337e+04          6.264e+04           1.257e+05           1.043e+05             1.897e+05            1.039e+06 
   -1.0           0.1       100           0.52               100      8.361e+05        1.751e+06        5.242e+06           1.578e+07            3.894e+04        5.183e+06       1.149e+05           4.887e+04           3.791e+04           5.201e+05        4.053e+05         4.427e+05         2.450e+04          2.025e+04           4.037e+04           3.252e+04             6.650e+04            2.137e+05 
   -1.0           0.1       100           0.52               300      1.059e+06        3.293e+06        1.128e+07           3.396e+07            6.719e+04        9.729e+06       1.983e+05           1.071e+05           8.305e+04           7.715e+05        5.191e+05         5.597e+05         8.546e+04          4.093e+04           8.191e+04           3.067e+04             6.597e+04            4.726e+05 
   -1.0           0.1      1000           0.52               100      9.198e+05        1.725e+06        6.583e+06           1.982e+07            4.657e+04        5.032e+06       1.374e+05           3.453e+04           4.299e+04           5.047e+05        4.072e+05         4.484e+05         2.406e+04          2.914e+04           5.809e+04           6.107e+04             1.152e+05            3.338e+05 
   -1.0           0.1      1000           0.52               300      1.153e+06        3.253e+06        1.382e+07           4.160e+07            7.910e+04        9.480e+06       2.334e+05           7.478e+04           9.276e+04           7.642e+05        5.268e+05         5.740e+05         8.405e+04          5.964e+04           1.193e+05           9.873e+04             1.806e+05            6.984e+05 
   -1.0           0.1       100           0.38               100      8.351e+05        1.741e+06        5.160e+06           1.553e+07            3.868e+04        5.157e+06       1.141e+05           4.891e+04           3.794e+04           5.213e+05        3.654e+05         4.053e+05         2.471e+04          1.959e+04           3.894e+04           3.091e+04             6.390e+04            1.466e+05 
