## log(Us)        xid       nh        (C/O)/(C/O)sol         mup      [OII]3727           Hb           [OIII]4959           [OIII]5007           [NII]6548           Ha           [NII]6584           [SII]6717           [SII]6731           NV1240           CIV1548           CIV1551           HeII1640           OIII]1661           OIII]1666           [SiIII]1883           SiIII]1888           CIII]1908 
 
   -1.0           0.1       100           1.40               100      3.853e+06        9.526e+06        2.934e+07           8.832e+07            4.921e+04        2.725e+07       1.452e+05           9.647e+04           7.456e+04           3.770e+05        3.203e+06         1.711e+06         3.351e+05          8.671e+05           1.918e+06           4.851e+05             7.917e+05            1.598e+07 
   -1.0           0.1       100           1.40               300      5.363e+06        1.640e+07        5.659e+07           1.703e+08            6.900e+04        4.686e+07       2.036e+05           1.835e+05           1.417e+05           6.533e+05        1.027e+07         5.106e+06         1.265e+06          1.889e+06           4.206e+06           8.901e+05             1.436e+06            2.507e+07 
   -1.0           0.1      1000           1.40               100      3.213e+06        9.610e+06        3.050e+07           9.181e+07            4.214e+04        2.732e+07       1.244e+05           6.266e+04           7.489e+04           3.771e+05        3.388e+06         1.797e+06         3.353e+05          9.174e+05           2.030e+06           8.399e+05             1.376e+06            1.671e+07 
   -1.0           0.1      1000           1.40               300      4.530e+06        1.658e+07        5.833e+07           1.756e+08            6.156e+04        4.707e+07       1.817e+05           1.194e+05           1.422e+05           6.563e+05        1.075e+07         5.329e+06         1.264e+06          1.974e+06           4.395e+06           1.316e+06             2.144e+06            2.582e+07 
   -1.0           0.1       100           1.00               100      3.935e+06        9.426e+06        3.040e+07           9.152e+07            4.982e+04        2.698e+07       1.470e+05           1.011e+05           7.811e+04           3.794e+05        2.514e+06         1.377e+06         3.366e+05          8.905e+05           1.960e+06           4.885e+05             7.973e+05            1.129e+07 
   -1.0           0.1       100           1.00               300      5.505e+06        1.623e+07        5.904e+07           1.777e+08            7.018e+04        4.638e+07       2.071e+05           1.927e+05           1.488e+05           6.544e+05        7.769e+06         3.915e+06         1.266e+06          1.973e+06           4.372e+06           9.152e+05             1.476e+06            1.792e+07 
   -1.0           0.1      1000           1.00               100      3.306e+06        9.504e+06        3.171e+07           9.544e+07            4.278e+04        2.703e+07       1.262e+05           6.575e+04           7.858e+04           3.795e+05        2.662e+06         1.446e+06         3.368e+05          9.479e+05           2.087e+06           8.562e+05             1.403e+06            1.187e+07 
   -1.0           0.1      1000           1.00               300      4.678e+06        1.639e+07        6.101e+07           1.837e+08            6.279e+04        4.657e+07       1.853e+05           1.256e+05           1.495e+05           6.577e+05        8.159e+06         4.096e+06         1.265e+06          2.072e+06           4.592e+06           1.359e+06             2.214e+06            1.854e+07 
   -1.0           0.1       100           0.72               100      3.982e+06        9.322e+06        3.111e+07           9.364e+07            5.010e+04        2.669e+07       1.478e+05           1.044e+05           8.066e+04           3.812e+05        1.953e+06         1.107e+06         3.375e+05          9.065e+05           1.989e+06           4.893e+05             7.987e+05            8.019e+06 
   -1.0           0.1       100           0.72               300      5.595e+06        1.605e+07        6.073e+07           1.828e+08            7.087e+04        4.588e+07       2.091e+05           1.993e+05           1.539e+05           6.552e+05        5.803e+06         2.989e+06         1.266e+06          2.034e+06           4.492e+06           9.327e+05             1.504e+06            1.286e+07 
   -1.0           0.1      1000           0.72               100      3.366e+06        9.396e+06        3.252e+07           9.789e+07            4.312e+04        2.673e+07       1.273e+05           6.799e+04           8.124e+04           3.813e+05        2.068e+06         1.161e+06         3.377e+05          9.690e+05           2.126e+06           8.659e+05             1.419e+06            8.460e+06 
   -1.0           0.1      1000           0.72               300      4.777e+06        1.621e+07        6.290e+07           1.893e+08            6.355e+04        4.605e+07       1.875e+05           1.301e+05           1.548e+05           6.587e+05        6.107e+06         3.131e+06         1.265e+06          2.146e+06           4.738e+06           1.389e+06             2.263e+06            1.335e+07 
   -1.0           0.1       100           0.52               100      4.005e+06        9.217e+06        3.155e+07           9.495e+07            5.014e+04        2.640e+07       1.480e+05           1.067e+05           8.242e+04           3.824e+05        1.510e+06         8.938e+05         3.380e+05          9.162e+05           2.005e+06           4.887e+05             7.979e+05            5.708e+06 
   -1.0           0.1       100           0.52               300      5.648e+06        1.587e+07        6.186e+07           1.862e+08            7.120e+04        4.538e+07       2.101e+05           2.039e+05           1.575e+05           6.557e+05        4.300e+06         2.285e+06         1.265e+06          2.079e+06           4.580e+06           9.452e+05             1.524e+06            9.242e+06 
   -1.0           0.1      1000           0.52               100      3.401e+06        9.287e+06        3.304e+07           9.946e+07            4.326e+04        2.642e+07       1.276e+05           6.955e+04           8.308e+04           3.826e+05        1.598e+06         9.359e+05         3.381e+05          9.830e+05           2.151e+06           8.707e+05             1.427e+06            6.042e+06 
   -1.0           0.1      1000           0.52               300      4.841e+06        1.602e+07        6.417e+07           1.932e+08            6.396e+04        4.553e+07       1.887e+05           1.332e+05           1.585e+05           6.594e+05        4.526e+06         2.391e+06         1.264e+06          2.199e+06           4.845e+06           1.410e+06             2.296e+06            9.617e+06 
   -1.0           0.1       100           0.38               100      4.053e+06        9.228e+06        3.211e+07           9.665e+07            5.062e+04        2.644e+07       1.494e+05           1.090e+05           8.423e+04           3.834e+05        1.195e+06         7.414e+05         3.393e+05          9.292e+05           2.029e+06           4.910e+05             8.016e+05            4.156e+06 
   -1.0           0.1       100           0.38               300      5.725e+06        1.589e+07        6.315e+07           1.901e+08            7.198e+04        4.544e+07       2.124e+05           2.086e+05           1.611e+05           6.563e+05        3.249e+06         1.793e+06         1.268e+06          2.125e+06           4.670e+06           9.601e+05             1.548e+06            6.771e+06 
   -1.0           0.1      1000           0.38               100      3.452e+06        9.296e+06        3.368e+07           1.014e+08            4.370e+04        2.646e+07       1.290e+05           7.113e+04           8.497e+04           3.836e+05        1.260e+06         7.738e+05         3.393e+05          9.992e+05           2.181e+06           8.799e+05             1.442e+06            4.408e+06 
   -1.0           0.1      1000           0.38               300      4.919e+06        1.603e+07        6.561e+07           1.975e+08            6.472e+04        4.558e+07       1.910e+05           1.363e+05           1.622e+05           6.603e+05        3.422e+06         1.875e+06         1.267e+06          2.254e+06           4.954e+06           1.434e+06             2.336e+06            7.064e+06 
   -1.0           0.1       100           0.27               100      4.046e+06        9.120e+06        3.222e+07           9.697e+07            5.038e+04        2.613e+07       1.487e+05           1.100e+05           8.499e+04           3.841e+05        9.249e+05         6.098e+05         3.390e+05          9.320e+05           2.032e+06           4.885e+05             7.977e+05            2.913e+06 
   -1.0           0.1       100           0.27               300      5.732e+06        1.570e+07        6.356e+07           1.913e+08            7.186e+04        4.492e+07       2.121e+05           2.107e+05           1.627e+05           6.566e+05        2.372e+06         1.381e+06         1.265e+06          2.147e+06           4.713e+06           9.646e+05             1.555e+06            4.781e+06 
   -1.0           0.1      1000           0.27               100      3.458e+06        9.185e+06        3.384e+07           1.018e+08            4.357e+04        2.614e+07       1.286e+05           7.182e+04           8.579e+04           3.843e+05        9.721e+05         6.345e+05         3.391e+05          1.004e+06           2.190e+06           8.792e+05             1.441e+06            3.096e+06 
