## log(Us)        xid       nh        (C/O)/(C/O)sol         mup      [OII]3727           Hb           [OIII]4959           [OIII]5007           [NII]6548           Ha           [NII]6584           [SII]6717           [SII]6731           NV1240           CIV1548           CIV1551           HeII1640           OIII]1661           OIII]1666           [SiIII]1883           SiIII]1888           CIII]1908 
 
   -1.0           0.1       100           0.27               100      2.858e+06        3.112e+07        4.500e+07           1.354e+08            1.140e+04        8.838e+07       3.364e+04           5.560e+04           4.292e+04           1.412e+05        1.137e+07         5.897e+06         8.944e+05          5.718e+06           1.376e+07           1.974e+06             3.151e+06            9.210e+06 
   -1.0           0.1       100           0.27               300      3.527e+06        5.221e+07        7.960e+07           2.396e+08            1.435e+04        1.489e+08       4.233e+04           9.840e+04           7.594e+04           3.057e+05        2.392e+07         1.230e+07         2.496e+06          1.088e+07           2.624e+07           2.840e+06             4.528e+06            1.452e+07 
   -1.0           0.1      1000           0.27               100      1.859e+06        3.138e+07        4.474e+07           1.347e+08            8.441e+03        8.884e+07       2.491e+04           3.542e+04           4.150e+04           1.415e+05        1.125e+07         5.829e+06         8.978e+05          5.565e+06           1.340e+07           2.363e+06             3.813e+06            8.737e+06 
   -1.0           0.1      1000           0.27               300      2.504e+06        5.265e+07        7.892e+07           2.375e+08            1.169e+04        1.496e+08       3.451e+04           6.302e+04           7.377e+04           3.066e+05        2.356e+07         1.210e+07         2.500e+06          1.057e+07           2.548e+07           3.473e+06             5.600e+06            1.371e+07 
   -1.0           0.1       100           0.20               100      2.900e+06        3.112e+07        4.600e+07           1.385e+08            1.145e+04        8.842e+07       3.380e+04           5.649e+04           4.361e+04           1.415e+05        8.754e+06         4.668e+06         8.959e+05          5.926e+06           1.426e+07           2.019e+06             3.221e+06            7.016e+06 
   -1.0           0.1       100           0.20               300      3.581e+06        5.224e+07        8.144e+07           2.451e+08            1.442e+04        1.490e+08       4.256e+04           1.000e+05           7.718e+04           3.060e+05        1.838e+07         9.695e+06         2.499e+06          1.130e+07           2.724e+07           2.907e+06             4.635e+06            1.108e+07 
   -1.0           0.1      1000           0.20               100      1.886e+06        3.139e+07        4.572e+07           1.376e+08            8.486e+03        8.887e+07       2.504e+04           3.599e+04           4.217e+04           1.417e+05        8.655e+06         4.611e+06         8.993e+05          5.764e+06           1.387e+07           2.418e+06             3.902e+06            6.652e+06 
   -1.0           0.1      1000           0.20               300      2.544e+06        5.267e+07        8.072e+07           2.430e+08            1.176e+04        1.497e+08       3.471e+04           6.406e+04           7.498e+04           3.069e+05        1.808e+07         9.529e+06         2.504e+06          1.097e+07           2.643e+07           3.557e+06             5.735e+06            1.045e+07 
   -1.0           0.1       100           0.14               100      2.850e+06        3.027e+07        4.565e+07           1.374e+08            1.117e+04        8.602e+07       3.296e+04           5.619e+04           4.337e+04           1.416e+05        5.995e+06         3.354e+06         8.872e+05          5.971e+06           1.437e+07           2.009e+06             3.207e+06            4.906e+06 
   -1.0           0.1       100           0.14               300      3.546e+06        5.089e+07        8.096e+07           2.437e+08            1.417e+04        1.452e+08       4.181e+04           9.967e+04           7.691e+04           3.059e+05        1.251e+07         6.873e+06         2.476e+06          1.141e+07           2.751e+07           2.904e+06             4.631e+06            7.773e+06 
   -1.0           0.1      1000           0.14               100      1.863e+06        3.054e+07        4.537e+07           1.366e+08            8.313e+03        8.649e+07       2.453e+04           3.582e+04           4.197e+04           1.419e+05        5.921e+06         3.308e+06         8.904e+05          5.803e+06           1.396e+07           2.408e+06             3.885e+06            4.649e+06 
   -1.0           0.1      1000           0.14               300      2.526e+06        5.134e+07        8.024e+07           2.415e+08            1.159e+04        1.459e+08       3.421e+04           6.386e+04           7.475e+04           3.067e+05        1.230e+07         6.748e+06         2.480e+06          1.106e+07           2.667e+07           3.554e+06             5.730e+06            7.327e+06 
   -1.0           0.1       100           0.10               100      2.875e+06        3.028e+07        4.627e+07           1.393e+08            1.120e+04        8.604e+07       3.306e+04           5.672e+04           4.379e+04           1.418e+05        4.551e+06         2.721e+06         8.881e+05          6.106e+06           1.469e+07           2.037e+06             3.250e+06            3.566e+06 
