## log(Us)        xid       nh        (C/O)/(C/O)sol         mup      [OII]3727           Hb           [OIII]4959           [OIII]5007           [NII]6548           Ha           [NII]6584           [SII]6717           [SII]6731           NV1240           CIV1548           CIV1551           HeII1640           OIII]1661           OIII]1666           [SiIII]1883           SiIII]1888           CIII]1908 
 
   -1.0           0.1       100           1.40               100      1.158e+06        2.313e+06        7.379e+06           2.221e+07            5.255e+04        6.781e+06       1.551e+05           5.639e+04           4.369e+04           4.858e+05        5.741e+05         5.918e+05         2.803e+04          4.093e+04           8.388e+04           7.557e+04             1.371e+05            1.364e+06 
   -1.0           0.1       100           1.40               300      1.573e+06        4.194e+06        1.497e+07           4.506e+07            8.270e+04        1.227e+07       2.441e+05           1.180e+05           9.133e+04           7.376e+05        7.516e+05         7.652e+05         1.107e+05          8.447e+04           1.739e+05           7.830e+04             1.426e+05            2.861e+06 
   -1.0           0.1      1000           1.40               100      1.223e+06        2.296e+06        8.630e+06           2.598e+07            5.708e+04        6.652e+06       1.685e+05           3.856e+04           4.752e+04           4.671e+05        5.802e+05         5.962e+05         2.785e+04          5.547e+04           1.135e+05           1.183e+05             2.093e+05            1.845e+06 
   -1.0           0.1      1000           1.40               300      1.624e+06        4.171e+06        1.724e+07           5.190e+07            9.015e+04        1.207e+07       2.660e+05           8.001e+04           9.825e+04           7.341e+05        7.718e+05         7.795e+05         1.099e+05          1.132e+05           2.328e+05           1.923e+05             3.321e+05            3.740e+06 
   -1.0           0.1       100           1.00               100      1.142e+06        2.278e+06        7.222e+06           2.174e+07            5.219e+04        6.690e+06       1.540e+05           5.709e+04           4.424e+04           4.901e+05        5.104e+05         5.338e+05         2.842e+04          3.748e+04           7.639e+04           6.883e+04             1.263e+05            8.720e+05 
   -1.0           0.1       100           1.00               300      1.538e+06        4.132e+06        1.471e+07           4.427e+07            8.247e+04        1.211e+07       2.434e+05           1.197e+05           9.271e+04           7.408e+05        6.598e+05         6.826e+05         1.119e+05          7.694e+04           1.576e+05           7.184e+04             1.323e+05            1.828e+06 
   -1.0           0.1      1000           1.00               100      1.219e+06        2.258e+06        8.550e+06           2.574e+07            5.707e+04        6.551e+06       1.684e+05           3.923e+04           4.840e+04           4.713e+05        5.154e+05         5.388e+05         2.818e+04          5.173e+04           1.053e+05           1.102e+05             1.963e+05            1.208e+06 
   -1.0           0.1      1000           1.00               300      1.604e+06        4.105e+06        1.712e+07           5.152e+07            9.050e+04        1.189e+07       2.671e+05           8.154e+04           1.002e+05           7.376e+05        6.763e+05         6.969e+05         1.109e+05          1.051e+05           2.149e+05           1.795e+05             3.115e+05            2.438e+06 
   -1.0           0.1       100           0.72               100      1.131e+06        2.253e+06        7.099e+06           2.137e+07            5.184e+04        6.624e+06       1.530e+05           5.757e+04           4.461e+04           4.932e+05        4.558e+05         4.841e+05         2.877e+04          3.513e+04           7.129e+04           6.401e+04             1.186e+05            5.749e+05 
   -1.0           0.1       100           0.72               300      1.511e+06        4.087e+06        1.449e+07           4.361e+07            8.217e+04        1.200e+07       2.425e+05           1.210e+05           9.368e+04           7.430e+05        5.827e+05         6.126e+05         1.130e+05          7.164e+04           1.461e+05           6.714e+04             1.249e+05            1.202e+06 
   -1.0           0.1      1000           0.72               100      1.215e+06        2.231e+06        8.474e+06           2.551e+07            5.699e+04        6.479e+06       1.682e+05           3.969e+04           4.901e+04           4.744e+05        4.606e+05         4.901e+05         2.849e+04          4.894e+04           9.919e+04           1.040e+05             1.863e+05            8.080e+05 
   -1.0           0.1      1000           0.72               300      1.587e+06        4.057e+06        1.700e+07           5.118e+07            9.066e+04        1.177e+07       2.675e+05           8.268e+04           1.017e+05           7.401e+05        5.971e+05         6.280e+05         1.118e+05          9.926e+04           2.022e+05           1.699e+05             2.961e+05            1.628e+06 
   -1.0           0.1       100           0.52               100      1.124e+06        2.238e+06        7.006e+06           2.109e+07            5.160e+04        6.586e+06       1.523e+05           5.795e+04           4.491e+04           4.955e+05        4.089e+05         4.412e+05         2.910e+04          3.340e+04           6.758e+04           6.048e+04             1.130e+05            3.865e+05 
   -1.0           0.1       100           0.52               300      1.491e+06        4.060e+06        1.433e+07           4.314e+07            8.197e+04        1.193e+07       2.419e+05           1.220e+05           9.448e+04           7.447e+05        5.174e+05         5.531e+05         1.141e+05          6.796e+04           1.382e+05           6.356e+04             1.192e+05            8.078e+05 
   -1.0           0.1      1000           0.52               100      1.214e+06        2.215e+06        8.422e+06           2.535e+07            5.695e+04        6.435e+06       1.681e+05           4.008e+04           4.952e+04           4.766e+05        4.140e+05         4.487e+05         2.878e+04          4.700e+04           9.496e+04           9.957e+04             1.791e+05            5.511e+05 
   -1.0           0.1      1000           0.52               300      1.575e+06        4.027e+06        1.692e+07           5.093e+07            9.082e+04        1.169e+07       2.680e+05           8.360e+04           1.029e+05           7.419e+05        5.310e+05         5.701e+05         1.127e+05          9.497e+04           1.929e+05           1.626e+05             2.843e+05            1.106e+06 
   -1.0           0.1       100           0.38               100      1.120e+06        2.232e+06        6.951e+06           2.092e+07            5.149e+04        6.575e+06       1.519e+05           5.833e+04           4.520e+04           4.971e+05        3.701e+05         4.057e+05         2.939e+04          3.232e+04           6.524e+04           5.809e+04             1.092e+05            2.684e+05 
   -1.0           0.1       100           0.38               300      1.478e+06        4.051e+06        1.424e+07           4.287e+07            8.194e+04        1.191e+07       2.418e+05           1.230e+05           9.523e+04           7.458e+05        4.637e+05         5.042e+05         1.150e+05          6.545e+04           1.328e+05           6.122e+04             1.155e+05            5.594e+05 
