## log(Us)        xid       nh        (C/O)/(C/O)sol         mup      [OII]3727           Hb           [OIII]4959           [OIII]5007           [NII]6548           Ha           [NII]6584           [SII]6717           [SII]6731           NV1240           CIV1548           CIV1551           HeII1640           OIII]1661           OIII]1666           [SiIII]1883           SiIII]1888           CIII]1908 
 
   -1.0           0.1       100           1.40               100      4.781e+05        8.212e+05        1.728e+06           5.200e+06            2.356e+04        2.479e+06       6.952e+04           2.245e+04           1.753e+04           6.814e+05        4.981e+05         5.777e+05         1.457e+04          8.308e+03           1.603e+04           5.824e+03             1.890e+04            8.446e+04 
   -1.0           0.1       100           1.40               300      3.380e+05        1.172e+06        2.472e+06           7.442e+06            3.313e+04        3.543e+06       9.776e+04           3.231e+04           2.522e+04           7.577e+05        5.404e+05         6.162e+05         1.832e+04          8.990e+03           1.743e+04           5.586e+03             1.940e+04            1.023e+05 
   -1.0           0.1      1000           1.40               100      5.738e+05        7.912e+05        2.660e+06           8.006e+06            3.183e+04        2.341e+06       9.393e+04           1.755e+04           2.249e+04           6.671e+05        4.897e+05         5.699e+05         1.401e+04          1.039e+04           2.019e+04           1.499e+04             3.674e+04            1.935e+05 
   -1.0           0.1      1000           1.40               300      4.493e+05        1.129e+06        3.839e+06           1.156e+07            4.485e+04        3.342e+06       1.323e+05           2.552e+04           3.268e+04           7.517e+05        5.320e+05         6.101e+05         1.772e+04          1.190e+04           2.321e+04           1.727e+04             4.132e+04            2.507e+05 
   -1.0           0.1       100           1.00               100      4.924e+05        8.132e+05        1.605e+06           4.831e+06            2.300e+04        2.462e+06       6.788e+04           2.196e+04           1.716e+04           6.844e+05        4.398e+05         5.138e+05         1.480e+04          8.367e+03           1.601e+04           5.090e+03             1.753e+04            5.127e+04 
   -1.0           0.1       100           1.00               300      3.336e+05        1.161e+06        2.300e+06           6.924e+06            3.230e+04        3.519e+06       9.533e+04           3.150e+04           2.460e+04           7.596e+05        4.746e+05         5.446e+05         1.862e+04          8.976e+03           1.726e+04           4.595e+03             1.763e+04            6.014e+04 
   -1.0           0.1      1000           1.00               100      5.918e+05        7.807e+05        2.563e+06           7.713e+06            3.152e+04        2.314e+06       9.302e+04           1.740e+04           2.235e+04           6.700e+05        4.328e+05         5.093e+05         1.416e+04          1.022e+04           1.970e+04           1.351e+04             3.433e+04            1.222e+05 
   -1.0           0.1      1000           1.00               300      4.504e+05        1.114e+06        3.699e+06           1.113e+07            4.441e+04        3.306e+06       1.311e+05           2.524e+04           3.241e+04           7.541e+05        4.681e+05         5.426e+05         1.794e+04          1.154e+04           2.235e+04           1.512e+04             3.783e+04            1.557e+05 
   -1.0           0.1       100           0.72               100      5.013e+05        8.054e+05        1.514e+06           4.557e+06            2.253e+04        2.443e+06       6.649e+04           2.154e+04           1.684e+04           6.867e+05        3.885e+05         4.578e+05         1.499e+04          8.430e+03           1.604e+04           4.596e+03             1.657e+04            3.265e+04 
   -1.0           0.1       100           0.72               300      3.309e+05        1.150e+06        2.171e+06           6.536e+06            3.160e+04        3.494e+06       9.324e+04           3.081e+04           2.407e+04           7.609e+05        4.168e+05         4.819e+05         1.887e+04          9.000e+03           1.721e+04           3.958e+03             1.644e+04            3.735e+04 
   -1.0           0.1      1000           0.72               100      6.027e+05        7.713e+05        2.481e+06           7.466e+06            3.120e+04        2.289e+06       9.207e+04           1.725e+04           2.220e+04           6.721e+05        3.835e+05         4.570e+05         1.429e+04          1.011e+04           1.939e+04           1.240e+04             3.249e+04            7.966e+04 
   -1.0           0.1      1000           0.72               300      4.512e+05        1.101e+06        3.587e+06           1.080e+07            4.397e+04        3.271e+06       1.298e+05           2.497e+04           3.212e+04           7.557e+05        4.129e+05         4.845e+05         1.813e+04          1.133e+04           2.182e+04           1.366e+04             3.543e+04            1.006e+05 
   -1.0           0.1       100           0.52               100      5.084e+05        7.987e+05        1.441e+06           4.337e+06            2.216e+04        2.427e+06       6.538e+04           2.121e+04           1.658e+04           6.885e+05        3.436e+05         4.091e+05         1.514e+04          8.481e+03           1.607e+04           4.265e+03             1.591e+04            2.142e+04 
   -1.0           0.1       100           0.52               300      3.310e+05        1.141e+06        2.072e+06           6.236e+06            3.103e+04        3.471e+06       9.158e+04           3.027e+04           2.366e+04           7.620e+05        3.664e+05         4.275e+05         1.907e+04          9.029e+03           1.719e+04           3.540e+03             1.565e+04            2.408e+04 
   -1.0           0.1      1000           0.52               100      6.104e+05        7.633e+05        2.419e+06           7.280e+06            3.092e+04        2.268e+06       9.124e+04           1.712e+04           2.205e+04           6.737e+05        3.409e+05         4.122e+05         1.439e+04          1.005e+04           1.919e+04           1.165e+04             3.123e+04            5.338e+04 
   -1.0           0.1      1000           0.52               300      4.517e+05        1.090e+06        3.501e+06           1.054e+07            4.359e+04        3.241e+06       1.286e+05           2.476e+04           3.189e+04           7.570e+05        3.653e+05         4.348e+05         1.829e+04          1.119e+04           2.147e+04           1.264e+04             3.373e+04            6.688e+04 
   -1.0           0.1       100           0.38               100      5.127e+05        7.952e+05        1.401e+06           4.217e+06            2.193e+04        2.419e+06       6.471e+04           2.101e+04           1.643e+04           6.899e+05        3.061e+05         3.686e+05         1.526e+04          8.547e+03           1.614e+04           4.055e+03             1.550e+04            1.481e+04 
