## log(Us)        xid       nh        (C/O)/(C/O)sol         mup      [OII]3727           Hb           [OIII]4959           [OIII]5007           [NII]6548           Ha           [NII]6584           [SII]6717           [SII]6731           NV1240           CIV1548           CIV1551           HeII1640           OIII]1661           OIII]1666           [SiIII]1883           SiIII]1888           CIII]1908 
 
   -1.0           0.1       100           1.40               100      3.562e+05        4.207e+07        1.406e+07           4.232e+07            1.362e+03        1.204e+08       4.018e+03           1.344e+04           1.037e+04           6.824e+04        4.495e+07         2.285e+07         1.503e+06          2.620e+06           6.445e+06           6.561e+05             1.046e+06            1.875e+07 
   -1.0           0.1       100           1.40               300      5.019e+05        6.766e+07        2.286e+07           6.882e+07            1.986e+03        1.946e+08       5.861e+03           2.247e+04           1.733e+04           1.872e+05        8.479e+07         4.310e+07         3.982e+06          4.430e+06           1.090e+07           8.709e+05             1.387e+06            2.637e+07 
   -1.0           0.1      1000           1.40               100      2.383e+05        4.227e+07        1.382e+07           4.160e+07            1.066e+03        1.206e+08       3.146e+03           8.537e+03           9.962e+03           6.883e+04        4.374e+07         2.221e+07         1.508e+06          2.511e+06           6.177e+06           8.119e+05             1.307e+06            1.735e+07 
   -1.0           0.1      1000           1.40               300      3.702e+05        6.794e+07        2.246e+07           6.761e+07            1.719e+03        1.948e+08       5.073e+03           1.448e+04           1.689e+04           1.884e+05        8.221e+07         4.176e+07         3.987e+06          4.249e+06           1.045e+07           1.082e+06             1.742e+06            2.435e+07 
   -1.0           0.1       100           1.00               100      3.832e+05        4.216e+07        1.525e+07           4.591e+07            1.388e+03        1.207e+08       4.096e+03           1.444e+04           1.115e+04           6.888e+04        3.562e+07         1.840e+07         1.508e+06          2.911e+06           7.161e+06           7.156e+05             1.140e+06            1.476e+07 
   -1.0           0.1       100           1.00               300      5.403e+05        6.785e+07        2.481e+07           7.467e+07            2.025e+03        1.953e+08       5.976e+03           2.415e+04           1.863e+04           1.884e+05        6.719e+07         3.467e+07         3.993e+06          4.921e+06           1.211e+07           9.494e+05             1.512e+06            2.076e+07 
   -1.0           0.1      1000           1.00               100      2.567e+05        4.235e+07        1.499e+07           4.511e+07            1.088e+03        1.208e+08       3.210e+03           9.174e+03           1.070e+04           6.947e+04        3.462e+07         1.788e+07         1.512e+06          2.788e+06           6.858e+06           8.852e+05             1.426e+06            1.363e+07 
   -1.0           0.1      1000           1.00               300      3.987e+05        6.811e+07        2.436e+07           7.333e+07            1.753e+03        1.954e+08       5.174e+03           1.556e+04           1.815e+04           1.896e+05        6.508e+07         3.358e+07         3.998e+06          4.717e+06           1.161e+07           1.178e+06             1.897e+06            1.915e+07 
   -1.0           0.1       100           0.72               100      4.050e+05        4.224e+07        1.623e+07           4.884e+07            1.409e+03        1.209e+08       4.157e+03           1.525e+04           1.177e+04           6.935e+04        2.801e+07         1.464e+07         1.513e+06          3.159e+06           7.769e+06           7.646e+05             1.218e+06            1.145e+07 
   -1.0           0.1       100           0.72               300      5.710e+05        6.802e+07        2.639e+07           7.943e+07            2.055e+03        1.958e+08       6.065e+03           2.550e+04           1.967e+04           1.893e+05        5.283e+07         2.752e+07         4.003e+06          5.337e+06           1.313e+07           1.014e+06             1.615e+06            1.611e+07 
   -1.0           0.1      1000           0.72               100      2.715e+05        4.242e+07        1.594e+07           4.797e+07            1.104e+03        1.211e+08       3.259e+03           9.682e+03           1.130e+04           6.994e+04        2.720e+07         1.422e+07         1.517e+06          3.024e+06           7.436e+06           9.455e+05             1.522e+06            1.057e+07 
   -1.0           0.1      1000           0.72               300      4.216e+05        6.826e+07        2.591e+07           7.798e+07            1.780e+03        1.959e+08       5.252e+03           1.642e+04           1.915e+04           1.905e+05        5.112e+07         2.665e+07         4.008e+06          5.114e+06           1.258e+07           1.257e+06             2.024e+06            1.485e+07 
   -1.0           0.1       100           0.52               100      4.221e+05        4.231e+07        1.701e+07           5.119e+07            1.424e+03        1.212e+08       4.203e+03           1.588e+04           1.226e+04           6.970e+04        2.186e+07         1.148e+07         1.517e+06          3.365e+06           8.273e+06           8.042e+05             1.281e+06            8.758e+06 
   -1.0           0.1       100           0.52               300      5.954e+05        6.816e+07        2.766e+07           8.324e+07            2.078e+03        1.963e+08       6.134e+03           2.656e+04           2.049e+04           1.899e+05        4.118e+07         2.153e+07         4.012e+06          5.680e+06           1.397e+07           1.066e+06             1.697e+06            1.233e+07 
   -1.0           0.1      1000           0.52               100      2.833e+05        4.248e+07        1.670e+07           5.026e+07            1.117e+03        1.213e+08       3.297e+03           1.008e+04           1.176e+04           7.028e+04        2.121e+07         1.116e+07         1.520e+06          3.219e+06           7.915e+06           9.939e+05             1.600e+06            8.079e+06 
   -1.0           0.1      1000           0.52               300      4.398e+05        6.839e+07        2.714e+07           8.170e+07            1.800e+03        1.963e+08       5.313e+03           1.711e+04           1.995e+04           1.911e+05        3.983e+07         2.085e+07         4.015e+06          5.442e+06           1.338e+07           1.321e+06             2.127e+06            1.136e+07 
   -1.0           0.1       100           0.38               100      4.351e+05        4.237e+07        1.760e+07           5.298e+07            1.436e+03        1.214e+08       4.237e+03           1.636e+04           1.263e+04           6.994e+04        1.705e+07         8.980e+06         1.520e+06          3.525e+06           8.668e+06           8.344e+05             1.330e+06            6.680e+06 
   -1.0           0.1       100           0.38               300      6.139e+05        6.827e+07        2.862e+07           8.616e+07            2.096e+03        1.967e+08       6.185e+03           2.736e+04           2.110e+04           1.904e+05        3.205e+07         1.678e+07         4.019e+06          5.949e+06           1.463e+07           1.105e+06             1.761e+06            9.403e+06 
   -1.0           0.1      1000           0.38               100      2.922e+05        4.254e+07        1.728e+07           5.201e+07            1.127e+03        1.214e+08       3.326e+03           1.039e+04           1.212e+04           7.053e+04        1.654e+07         8.725e+06         1.523e+06          3.372e+06           8.291e+06           1.032e+06             1.661e+06            6.159e+06 
   -1.0           0.1      1000           0.38               300      4.535e+05        6.849e+07        2.809e+07           8.455e+07            1.816e+03        1.967e+08       5.359e+03           1.762e+04           2.055e+04           1.916e+05        3.100e+07         1.625e+07         4.022e+06          5.699e+06           1.401e+07           1.370e+06             2.206e+06            8.658e+06 
   -1.0           0.1       100           0.27               100      4.461e+05        4.242e+07        1.810e+07           5.449e+07            1.446e+03        1.215e+08       4.267e+03           1.676e+04           1.294e+04           7.014e+04        1.286e+07         6.802e+06         1.523e+06          3.663e+06           9.006e+06           8.602e+05             1.371e+06            4.916e+06 
