## log(Us)        xid       nh        (C/O)/(C/O)sol         mup      [OII]3727           Hb           [OIII]4959           [OIII]5007           [NII]6548           Ha           [NII]6584           [SII]6717           [SII]6731           NV1240           CIV1548           CIV1551           HeII1640           OIII]1661           OIII]1666           [SiIII]1883           SiIII]1888           CIII]1908 
 
   -1.0           0.1       100           1.40               100      6.944e+05        1.438e+06        4.362e+06           1.313e+07            3.520e+04        4.254e+06       1.039e+05           4.057e+04           3.150e+04           4.891e+05        5.640e+05         6.100e+05         2.564e+04          1.656e+04           3.304e+04           2.560e+04             5.455e+04            4.723e+05 
   -1.0           0.1       100           1.40               300      8.865e+05        2.677e+06        9.191e+06           2.767e+07            6.158e+04        7.909e+06       1.817e+05           8.782e+04           6.814e+04           7.374e+05        7.103e+05         7.523e+05         6.449e+04          3.158e+04           6.328e+04           2.412e+04             5.381e+04            1.035e+06 
   -1.0           0.1      1000           1.40               100      7.670e+05        1.415e+06        5.486e+06           1.651e+07            4.305e+04        4.128e+06       1.270e+05           2.887e+04           3.609e+04           4.750e+05        5.616e+05         6.078e+05         2.525e+04          2.371e+04           4.734e+04           4.873e+04             9.422e+04            7.510e+05 
   -1.0           0.1      1000           1.40               300      9.715e+05        2.642e+06        1.129e+07           3.399e+07            7.365e+04        7.701e+06       2.173e+05           6.170e+04           7.687e+04           7.252e+05        7.114e+05         7.550e+05         6.366e+04          4.624e+04           9.263e+04           7.960e+04             1.477e+05            1.566e+06 
   -1.0           0.1       100           1.00               100      6.950e+05        1.420e+06        4.202e+06           1.265e+07            3.462e+04        4.210e+06       1.022e+05           4.050e+04           3.146e+04           4.917e+05        5.025e+05         5.503e+05         2.601e+04          1.538e+04           3.046e+04           2.261e+04             4.972e+04            2.923e+05 
   -1.0           0.1       100           1.00               300      8.659e+05        2.644e+06        8.889e+06           2.675e+07            6.086e+04        7.829e+06       1.796e+05           8.781e+04           6.815e+04           7.404e+05        6.272e+05         6.718e+05         6.541e+04          2.860e+04           5.691e+04           2.138e+04             4.946e+04            6.385e+05 
   -1.0           0.1      1000           1.00               100      7.764e+05        1.395e+06        5.377e+06           1.618e+07            4.282e+04        4.076e+06       1.264e+05           2.904e+04           3.637e+04           4.775e+05        5.001e+05         5.494e+05         2.554e+04          2.209e+04           4.383e+04           4.440e+04             8.725e+04            4.808e+05 
   -1.0           0.1      1000           1.00               300      9.630e+05        2.606e+06        1.110e+07           3.342e+07            7.353e+04        7.606e+06       2.170e+05           6.214e+04           7.755e+04           7.282e+05        6.281e+05         6.769e+05         6.440e+04          4.249e+04           8.457e+04           7.244e+04             1.361e+05            9.988e+05 
   -1.0           0.1       100           0.72               100      6.950e+05        1.406e+06        4.076e+06           1.227e+07            3.412e+04        4.174e+06       1.007e+05           4.039e+04           3.137e+04           4.936e+05        4.490e+05         4.983e+05         2.634e+04          1.464e+04           2.883e+04           2.052e+04             4.613e+04            1.883e+05 
   -1.0           0.1       100           0.72               300      8.509e+05        2.617e+06        8.662e+06           2.607e+07            6.020e+04        7.761e+06       1.777e+05           8.768e+04           6.805e+04           7.425e+05        5.555e+05         6.023e+05         6.621e+04          2.668e+04           5.284e+04           1.949e+04             4.629e+04            4.102e+05 
   -1.0           0.1      1000           0.72               100      7.822e+05        1.379e+06        5.282e+06           1.590e+07            4.256e+04        4.033e+06       1.256e+05           2.911e+04           3.652e+04           4.793e+05        4.473e+05         4.993e+05         2.579e+04          2.096e+04           4.138e+04           4.119e+04             8.205e+04            3.167e+05 
   -1.0           0.1      1000           0.72               300      9.560e+05        2.576e+06        1.094e+07           3.292e+07            7.329e+04        7.529e+06       2.163e+05           6.237e+04           7.794e+04           7.305e+05        5.574e+05         6.105e+05         6.507e+04          3.983e+04           7.891e+04           6.715e+04             1.276e+05            6.550e+05 
   -1.0           0.1       100           0.52               100      6.962e+05        1.395e+06        3.977e+06           1.197e+07            3.371e+04        4.149e+06       9.948e+04           4.028e+04           3.129e+04           4.950e+05        4.024e+05         4.531e+05         2.663e+04          1.412e+04           2.770e+04           1.904e+04             4.353e+04            1.243e+05 
   -1.0           0.1       100           0.52               300      8.399e+05        2.598e+06        8.482e+06           2.553e+07            5.967e+04        7.712e+06       1.761e+05           8.757e+04           6.797e+04           7.441e+05        4.934e+05         5.422e+05         6.691e+04          2.535e+04           5.001e+04           1.812e+04             4.395e+04            2.703e+05 
   -1.0           0.1      1000           0.52               100      7.875e+05        1.367e+06        5.211e+06           1.568e+07            4.234e+04        4.002e+06       1.249e+05           2.917e+04           3.662e+04           4.807e+05        4.019e+05         4.564e+05         2.601e+04          2.019e+04           3.970e+04           3.894e+04             7.838e+04            2.133e+05 
   -1.0           0.1      1000           0.52               300      9.510e+05        2.555e+06        1.081e+07           3.254e+07            7.307e+04        7.472e+06       2.156e+05           6.256e+04           7.823e+04           7.321e+05        4.972e+05         5.541e+05         6.566e+04          3.801e+04           7.504e+04           6.333e+04             1.214e+05            4.395e+05 
   -1.0           0.1       100           0.38               100      6.979e+05        1.389e+06        3.912e+06           1.178e+07            3.343e+04        4.133e+06       9.866e+04           4.023e+04           3.126e+04           4.960e+05        3.635e+05         4.152e+05         2.686e+04          1.381e+04           2.700e+04           1.806e+04             4.176e+04            8.524e+04 
   -1.0           0.1       100           0.38               300      8.331e+05        2.586e+06        8.354e+06           2.514e+07            5.931e+04        7.684e+06       1.750e+05           8.755e+04           6.796e+04           7.452e+05        4.416e+05         4.922e+05         6.749e+04          2.447e+04           4.813e+04           1.719e+04             4.234e+04            1.843e+05 
   -1.0           0.1      1000           0.38               100      7.924e+05        1.360e+06        5.162e+06           1.554e+07            4.220e+04        3.983e+06       1.245e+05           2.923e+04           3.672e+04           4.817e+05        3.644e+05         4.207e+05         2.619e+04          1.968e+04           3.860e+04           3.741e+04             7.590e+04            1.482e+05 
   -1.0           0.1      1000           0.38               300      9.483e+05        2.542e+06        1.071e+07           3.225e+07            7.292e+04        7.438e+06       2.152e+05           6.272e+04           7.848e+04           7.333e+05        4.477e+05         5.077e+05         6.616e+04          3.671e+04           7.228e+04           6.055e+04             1.169e+05            3.032e+05 
   -1.0           0.1       100           0.27               100      6.987e+05        1.381e+06        3.854e+06           1.160e+07            3.317e+04        4.114e+06       9.789e+04           4.016e+04           3.120e+04           4.968e+05        3.268e+05         3.796e+05         2.705e+04          1.356e+04           2.646e+04           1.726e+04             4.029e+04            5.738e+04 
   -1.0           0.1       100           0.27               300      8.269e+05        2.573e+06        8.231e+06           2.478e+07            5.894e+04        7.651e+06       1.739e+05           8.747e+04           6.790e+04           7.461e+05        3.932e+05         4.456e+05         6.796e+04          2.374e+04           4.660e+04           1.642e+04             4.097e+04            1.233e+05 
   -1.0           0.1      1000           0.27               100      7.952e+05        1.352e+06        5.116e+06           1.540e+07            4.204e+04        3.962e+06       1.241e+05           2.926e+04           3.677e+04           4.824e+05        3.295e+05         3.876e+05         2.635e+04          1.928e+04           3.773e+04           3.619e+04             7.390e+04            1.008e+05 
   -1.0           0.1      1000           0.27               300      9.454e+05        2.527e+06        1.063e+07           3.200e+07            7.274e+04        7.398e+06       2.147e+05           6.282e+04           7.864e+04           7.342e+05        4.021e+05         4.650e+05         6.656e+04          3.573e+04           7.021e+04           5.842e+04             1.134e+05            2.054e+05 
   -1.0           0.1       100           0.20               100      6.969e+05        1.372e+06        3.809e+06           1.147e+07            3.295e+04        4.089e+06       9.723e+04           4.005e+04           3.112e+04           4.973e+05        2.991e+05         3.525e+05         2.717e+04          1.339e+04           2.608e+04           1.674e+04             3.928e+04            4.093e+04 
   -1.0           0.1       100           0.20               300      8.212e+05        2.557e+06        8.146e+06           2.452e+07            5.861e+04        7.606e+06       1.730e+05           8.729e+04           6.776e+04           7.466e+05        3.568e+05         4.107e+05         6.823e+04          2.331e+04           4.568e+04           1.593e+04             4.006e+04            8.776e+04 
   -1.0           0.1      1000           0.20               100      7.941e+05        1.343e+06        5.073e+06           1.527e+07            4.185e+04        3.936e+06       1.235e+05           2.922e+04           3.673e+04           4.829e+05        3.034e+05         3.625e+05         2.643e+04          1.898e+04           3.710e+04           3.524e+04             7.233e+04            7.232e+04 
   -1.0           0.1      1000           0.20               300      9.414e+05        2.510e+06        1.055e+07           3.176e+07            7.249e+04        7.351e+06       2.139e+05           6.279e+04           7.861e+04           7.347e+05        3.682e+05         4.331e+05         6.678e+04          3.506e+04           6.880e+04           5.690e+04             1.109e+05            1.471e+05 
   -1.0           0.1       100           0.14               100      6.981e+05        1.369e+06        3.776e+06           1.137e+07            3.281e+04        4.081e+06       9.683e+04           4.003e+04           3.110e+04           4.978e+05        2.714e+05         3.249e+05         2.729e+04          1.327e+04           2.580e+04           1.632e+04             3.848e+04            2.775e+04 
   -1.0           0.1       100           0.14               300      8.187e+05        2.551e+06        8.086e+06           2.434e+07            5.844e+04        7.591e+06       1.724e+05           8.731e+04           6.777e+04           7.471e+05        3.207e+05         3.759e+05         6.854e+04          2.296e+04           4.495e+04           1.554e+04             3.934e+04            5.939e+04 
   -1.0           0.1      1000           0.14               100      7.962e+05        1.339e+06        5.048e+06           1.519e+07            4.177e+04        3.926e+06       1.233e+05           2.925e+04           3.677e+04           4.833e+05        2.775e+05         3.371e+05         2.653e+04          1.876e+04           3.663e+04           3.456e+04             7.123e+04            4.935e+04 
