## log(Us)        xid       nh        (C/O)/(C/O)sol         mup      [OII]3727           Hb           [OIII]4959           [OIII]5007           [NII]6548           Ha           [NII]6584           [SII]6717           [SII]6731           NV1240           CIV1548           CIV1551           HeII1640           OIII]1661           OIII]1666           [SiIII]1883           SiIII]1888           CIII]1908 
 
   -1.0           0.1       100           1.40               100      1.903e+06        3.579e+06        1.277e+07           3.843e+07            6.226e+04        1.039e+07       1.837e+05           7.630e+04           5.903e+04           3.955e+05        6.617e+05         5.910e+05         4.297e+04          1.274e+05           2.653e+05           1.521e+05             2.592e+05            3.811e+06 
   -1.0           0.1       100           1.40               300      2.788e+06        6.522e+06        2.562e+07           7.713e+07            9.534e+04        1.890e+07       2.813e+05           1.569e+05           1.213e+05           6.526e+05        9.816e+05         8.461e+05         2.233e+05          2.702e+05           5.668e+05           1.925e+05             3.244e+05            7.553e+06 
   -1.0           0.1      1000           1.40               100      1.915e+06        3.579e+06        1.407e+07           4.236e+07            6.090e+04        1.029e+07       1.797e+05           5.080e+04           6.183e+04           3.845e+05        6.884e+05         6.058e+05         4.310e+04          1.553e+05           3.230e+05           2.395e+05             4.054e+05            4.542e+06 
   -1.0           0.1      1000           1.40               300      2.756e+06        6.530e+06        2.798e+07           8.421e+07            9.606e+04        1.875e+07       2.835e+05           1.041e+05           1.263e+05           6.512e+05        1.063e+06         8.892e+05         2.229e+05          3.240e+05           6.793e+05           3.938e+05             6.571e+05            8.801e+06 
   -1.0           0.1       100           1.00               100      1.902e+06        3.550e+06        1.279e+07           3.849e+07            6.269e+04        1.032e+07       1.850e+05           7.864e+04           6.084e+04           4.006e+05        5.837e+05         5.320e+05         4.365e+04          1.203e+05           2.491e+05           1.444e+05             2.472e+05            2.519e+06 
   -1.0           0.1       100           1.00               300      2.795e+06        6.469e+06        2.575e+07           7.751e+07            9.645e+04        1.877e+07       2.846e+05           1.621e+05           1.254e+05           6.563e+05        8.396e+05         7.461e+05         2.255e+05          2.562e+05           5.346e+05           1.840e+05             3.111e+05            4.989e+06 
   -1.0           0.1      1000           1.00               100      1.931e+06        3.546e+06        1.421e+07           4.277e+07            6.148e+04        1.020e+07       1.814e+05           5.250e+04           6.394e+04           3.896e+05        6.055e+05         5.452e+05         4.376e+04          1.489e+05           3.080e+05           2.308e+05             3.916e+05            3.047e+06 
   -1.0           0.1      1000           1.00               300      2.784e+06        6.471e+06        2.831e+07           8.522e+07            9.746e+04        1.860e+07       2.876e+05           1.078e+05           1.309e+05           6.550e+05        9.048e+05         7.828e+05         2.249e+05          3.118e+05           6.500e+05           3.820e+05             6.384e+05            5.887e+06 
   -1.0           0.1       100           0.72               100      1.893e+06        3.515e+06        1.276e+07           3.839e+07            6.275e+04        1.023e+07       1.852e+05           8.019e+04           6.204e+04           4.044e+05        5.173e+05         4.813e+05         4.422e+04          1.148e+05           2.369e+05           1.383e+05             2.374e+05            1.696e+06 
   -1.0           0.1       100           0.72               300      2.790e+06        6.408e+06        2.572e+07           7.743e+07            9.693e+04        1.861e+07       2.861e+05           1.657e+05           1.282e+05           6.589e+05        7.229e+05         6.629e+05         2.273e+05          2.449e+05           5.089e+05           1.769e+05             2.998e+05            3.351e+06 
   -1.0           0.1      1000           0.72               100      1.935e+06        3.509e+06        1.425e+07           4.288e+07            6.167e+04        1.011e+07       1.820e+05           5.364e+04           6.536e+04           3.933e+05        5.351e+05         4.935e+05         4.432e+04          1.436e+05           2.957e+05           2.230e+05             3.791e+05            2.071e+06 
   -1.0           0.1      1000           0.72               300      2.795e+06        6.405e+06        2.844e+07           8.561e+07            9.818e+04        1.843e+07       2.897e+05           1.104e+05           1.341e+05           6.578e+05        7.749e+05         6.946e+05         2.264e+05          3.014e+05           6.260e+05           3.711e+05             6.209e+05            3.994e+06 
   -1.0           0.1       100           0.52               100      1.880e+06        3.478e+06        1.266e+07           3.812e+07            6.256e+04        1.012e+07       1.846e+05           8.113e+04           6.276e+04           4.072e+05        4.601e+05         4.377e+05         4.467e+04          1.101e+05           2.265e+05           1.328e+05             2.286e+05            1.153e+06 
   -1.0           0.1       100           0.52               300      2.780e+06        6.341e+06        2.560e+07           7.707e+07            9.702e+04        1.843e+07       2.863e+05           1.680e+05           1.299e+05           6.608e+05        6.263e+05         5.933e+05         2.285e+05          2.357e+05           4.885e+05           1.711e+05             2.906e+05            2.280e+06 
   -1.0           0.1      1000           0.52               100      1.931e+06        3.469e+06        1.422e+07           4.280e+07            6.159e+04        9.997e+06       1.818e+05           5.437e+04           6.626e+04           3.961e+05        4.752e+05         4.493e+05         4.475e+04          1.391e+05           2.858e+05           2.162e+05             3.681e+05            1.422e+06 
   -1.0           0.1      1000           0.52               300      2.795e+06        6.335e+06        2.843e+07           8.558e+07            9.844e+04        1.824e+07       2.905e+05           1.122e+05           1.362e+05           6.598e+05        6.679e+05         6.214e+05         2.275e+05          2.928e+05           6.064e+05           3.615e+05             6.053e+05            2.739e+06 
   -1.0           0.1       100           0.38               100      1.874e+06        3.462e+06        1.264e+07           3.806e+07            6.258e+04        1.008e+07       1.847e+05           8.201e+04           6.344e+04           4.092e+05        4.139e+05         4.020e+05         4.508e+04          1.073e+05           2.202e+05           1.294e+05             2.233e+05            8.082e+05 
   -1.0           0.1       100           0.38               300      2.777e+06        6.313e+06        2.558e+07           7.700e+07            9.730e+04        1.836e+07       2.871e+05           1.701e+05           1.315e+05           6.621e+05        5.508e+05         5.381e+05         2.297e+05          2.297e+05           4.752e+05           1.671e+05             2.843e+05            1.597e+06 
   -1.0           0.1      1000           0.38               100      1.932e+06        3.452e+06        1.423e+07           4.283e+07            6.169e+04        9.953e+06       1.820e+05           5.503e+04           6.707e+04           3.981e+05        4.270e+05         4.135e+05         4.515e+04          1.361e+05           2.790e+05           2.116e+05             3.608e+05            1.001e+06 
   -1.0           0.1      1000           0.38               300      2.800e+06        6.306e+06        2.848e+07           8.572e+07            9.885e+04        1.816e+07       2.917e+05           1.137e+05           1.380e+05           6.612e+05        5.846e+05         5.637e+05         2.286e+05          2.868e+05           5.927e+05           3.548e+05             5.946e+05            1.927e+06 
   -1.0           0.1       100           0.27               100      1.868e+06        3.445e+06        1.260e+07           3.792e+07            6.252e+04        1.004e+07       1.845e+05           8.265e+04           6.393e+04           4.108e+05        3.714e+05         3.689e+05         4.542e+04          1.048e+05           2.147e+05           1.263e+05             2.183e+05            5.528e+05 
   -1.0           0.1       100           0.27               300      2.772e+06        6.283e+06        2.552e+07           7.682e+07            9.742e+04        1.828e+07       2.875e+05           1.716e+05           1.327e+05           6.632e+05        4.839e+05         4.883e+05         2.307e+05          2.247e+05           4.641e+05           1.637e+05             2.788e+05            1.093e+06 
   -1.0           0.1      1000           0.27               100      1.931e+06        3.434e+06        1.422e+07           4.280e+07            6.170e+04        9.904e+06       1.821e+05           5.551e+04           6.767e+04           3.997e+05        3.833e+05         3.805e+05         4.548e+04          1.336e+05           2.734e+05           2.076e+05             3.543e+05            6.884e+05 
   -1.0           0.1      1000           0.27               300      2.802e+06        6.273e+06        2.849e+07           8.574e+07            9.909e+04        1.807e+07       2.924e+05           1.148e+05           1.394e+05           6.623e+05        5.119e+05         5.123e+05         2.294e+05          2.820e+05           5.816e+05           3.492e+05             5.855e+05            1.325e+06 
   -1.0           0.1       100           0.20               100      1.860e+06        3.425e+06        1.255e+07           3.778e+07            6.234e+04        9.985e+06       1.840e+05           8.294e+04           6.415e+04           4.119e+05        3.401e+05         3.439e+05         4.562e+04          1.031e+05           2.111e+05           1.242e+05             2.150e+05            3.991e+05 
   -1.0           0.1       100           0.20               300      2.765e+06        6.248e+06        2.543e+07           7.654e+07            9.732e+04        1.818e+07       2.872e+05           1.724e+05           1.333e+05           6.638e+05        4.362e+05         4.519e+05         2.311e+05          2.211e+05           4.561e+05           1.612e+05             2.749e+05            7.884e+05 
   -1.0           0.1      1000           0.20               100      1.927e+06        3.414e+06        1.419e+07           4.270e+07            6.157e+04        9.848e+06       1.817e+05           5.575e+04           6.795e+04           4.007e+05        3.513e+05         3.559e+05         4.566e+04          1.318e+05           2.694e+05           2.048e+05             3.497e+05            4.983e+05 
   -1.0           0.1      1000           0.20               300      2.799e+06        6.238e+06        2.843e+07           8.557e+07            9.907e+04        1.797e+07       2.923e+05           1.154e+05           1.401e+05           6.631e+05        4.606e+05         4.752e+05         2.298e+05          2.784e+05           5.736e+05           3.448e+05             5.785e+05            9.589e+05 
   -1.0           0.1       100           0.14               100      1.861e+06        3.429e+06        1.256e+07           3.780e+07            6.249e+04        1.000e+07       1.844e+05           8.351e+04           6.460e+04           4.128e+05        3.095e+05         3.187e+05         4.589e+04          1.018e+05           2.083e+05           1.227e+05             2.126e+05            2.736e+05 
   -1.0           0.1       100           0.14               300      2.769e+06        6.256e+06        2.546e+07           7.664e+07            9.767e+04        1.821e+07       2.882e+05           1.737e+05           1.343e+05           6.644e+05        3.913e+05         4.165e+05         2.320e+05          2.186e+05           4.505e+05           1.597e+05             2.725e+05            5.410e+05 
   -1.0           0.1      1000           0.14               100      1.931e+06        3.418e+06        1.422e+07           4.280e+07            6.177e+04        9.861e+06       1.823e+05           5.617e+04           6.847e+04           4.016e+05        3.205e+05         3.312e+05         4.593e+04          1.307e+05           2.668e+05           2.030e+05             3.469e+05            3.429e+05 
   -1.0           0.1      1000           0.14               300      2.806e+06        6.244e+06        2.851e+07           8.582e+07            9.948e+04        1.800e+07       2.936e+05           1.163e+05           1.413e+05           6.637e+05        4.130e+05         4.395e+05         2.306e+05          2.760e+05           5.682e+05           3.423e+05             5.745e+05            6.598e+05 
   -1.0           0.1       100           0.10               100      1.853e+06        3.408e+06        1.250e+07           3.762e+07            6.225e+04        9.940e+06       1.837e+05           8.353e+04           6.461e+04           4.134e+05        2.852e+05         2.979e+05         4.597e+04          1.007e+05           2.058e+05           1.212e+05             2.101e+05            1.919e+05 
   -1.0           0.1       100           0.10               300      2.759e+06        6.218e+06        2.536e+07           7.634e+07            9.741e+04        1.810e+07       2.875e+05           1.738e+05           1.344e+05           6.648e+05        3.570e+05         3.883e+05         2.321e+05          2.164e+05           4.458e+05           1.580e+05             2.697e+05            3.799e+05 
   -1.0           0.1      1000           0.10               100      1.925e+06        3.396e+06        1.416e+07           4.263e+07            6.155e+04        9.800e+06       1.816e+05           5.620e+04           6.851e+04           4.022e+05        2.962e+05         3.110e+05         4.600e+04          1.293e+05           2.639e+05           2.008e+05             3.432e+05            2.409e+05 
   -1.0           0.1      1000           0.10               300      2.799e+06        6.206e+06        2.841e+07           8.552e+07            9.926e+04        1.789e+07       2.929e+05           1.165e+05           1.414e+05           6.641e+05        3.772e+05         4.115e+05         2.306e+05          2.734e+05           5.627e+05           3.391e+05             5.692e+05            4.637e+05 
   -1.0           0.3       100           1.40               100      6.248e+05        7.475e+05        3.697e+06           1.113e+07            1.885e+04        2.136e+06       5.563e+04           3.024e+04           2.336e+04           3.952e+05        4.253e+05         4.119e+05         2.671e+04          6.943e+04           1.540e+05           3.223e+04             5.736e+04            1.317e+06 
   -1.0           0.3       100           1.40               300      1.023e+06        1.416e+06        7.548e+06           2.272e+07            3.330e+04        4.045e+06       9.828e+04           6.425e+04           4.961e+04           6.420e+05        6.007e+05         5.627e+05         1.324e+05          1.478e+05           3.307e+05           4.444e+04             7.691e+04            2.510e+06 
   -1.0           0.3      1000           1.40               100      5.993e+05        7.506e+05        3.898e+06           1.173e+07            1.839e+04        2.129e+06       5.427e+04           1.995e+04           2.402e+04           3.840e+05        4.346e+05         4.183e+05         2.671e+04          7.757e+04           1.720e+05           4.789e+04             8.363e+04            1.449e+06 
   -1.0           0.3      1000           1.40               300      9.717e+05        1.424e+06        7.906e+06           2.380e+07            3.298e+04        4.040e+06       9.733e+04           4.234e+04           5.083e+04           6.398e+05        6.239e+05         5.776e+05         1.321e+05          1.631e+05           3.650e+05           7.756e+04             1.318e+05            2.719e+06 
   -1.0           0.3       100           1.00               100      6.284e+05        7.352e+05        3.738e+06           1.125e+07            1.911e+04        2.102e+06       5.639e+04           3.131e+04           2.419e+04           4.005e+05        3.834e+05         3.828e+05         2.664e+04          6.740e+04           1.488e+05           3.038e+04             5.443e+04            8.962e+05 
   -1.0           0.3       100           1.00               300      1.031e+06        1.393e+06        7.653e+06           2.304e+07            3.388e+04        3.981e+06       9.999e+04           6.665e+04           5.146e+04           6.468e+05        5.213e+05         5.134e+05         1.317e+05          1.442e+05           3.212e+05           4.210e+04             7.323e+04            1.713e+06 
   -1.0           0.3      1000           1.00               100      6.067e+05        7.374e+05        3.961e+06           1.192e+07            1.869e+04        2.093e+06       5.516e+04           2.069e+04           2.492e+04           3.892e+05        3.913e+05         3.890e+05         2.663e+04          7.628e+04           1.684e+05           4.573e+04             8.016e+04            9.969e+05 
   -1.0           0.3      1000           1.00               300      9.854e+05        1.399e+06        8.054e+06           2.424e+07            3.365e+04        3.971e+06       9.930e+04           4.399e+04           5.283e+04           6.447e+05        5.408e+05         5.273e+05         1.313e+05          1.612e+05           3.590e+05           7.448e+04             1.269e+05            1.876e+06 
   -1.0           0.3       100           0.72               100      6.291e+05        7.246e+05        3.755e+06           1.130e+07            1.925e+04        2.073e+06       5.681e+04           3.207e+04           2.477e+04           4.044e+05        3.502e+05         3.589e+05         2.657e+04          6.555e+04           1.442e+05           2.885e+04             5.200e+04            6.182e+05 
   -1.0           0.3       100           0.72               300      1.035e+06        1.372e+06        7.703e+06           2.319e+07            3.425e+04        3.926e+06       1.011e+05           6.836e+04           5.277e+04           6.502e+05        4.623e+05         4.752e+05         1.310e+05          1.408e+05           3.127e+05           4.022e+04             7.023e+04            1.186e+06 
   -1.0           0.3      1000           0.72               100      6.104e+05        7.262e+05        3.994e+06           1.202e+07            1.888e+04        2.062e+06       5.571e+04           2.122e+04           2.556e+04           3.930e+05        3.573e+05         3.652e+05         2.655e+04          7.494e+04           1.649e+05           4.386e+04             7.716e+04            6.937e+05 
   -1.0           0.3      1000           0.72               300      9.930e+05        1.378e+06        8.136e+06           2.449e+07            3.408e+04        3.912e+06       1.006e+05           4.518e+04           5.426e+04           6.482e+05        4.787e+05         4.885e+05         1.306e+05          1.589e+05           3.529e+05           7.177e+04             1.225e+05            1.309e+06 
   -1.0           0.3       100           0.52               100      6.286e+05        7.158e+05        3.758e+06           1.131e+07            1.933e+04        2.049e+06       5.704e+04           3.260e+04           2.518e+04           4.073e+05        3.236e+05         3.389e+05         2.650e+04          6.398e+04           1.404e+05           2.763e+04             5.004e+04            4.307e+05 
   -1.0           0.3       100           0.52               300      1.036e+06        1.356e+06        7.722e+06           2.324e+07            3.447e+04        3.880e+06       1.017e+05           6.957e+04           5.371e+04           6.527e+05        4.178e+05         4.449e+05         1.305e+05          1.378e+05           3.053e+05           3.865e+04             6.774e+04            8.280e+05 
   -1.0           0.3      1000           0.52               100      6.122e+05        7.169e+05        4.010e+06           1.207e+07            1.899e+04        2.036e+06       5.603e+04           2.160e+04           2.602e+04           3.959e+05        3.302e+05         3.454e+05         2.648e+04          7.373e+04           1.618e+05           4.233e+04             7.469e+04            4.866e+05 
   -1.0           0.3      1000           0.52               300      9.970e+05        1.360e+06        8.180e+06           2.462e+07            3.436e+04        3.864e+06       1.014e+05           4.604e+04           5.528e+04           6.508e+05        4.320e+05         4.579e+05         1.300e+05          1.568e+05           3.473e+05           6.952e+04             1.189e+05            9.200e+05 
