# log(Us)  xid nh alpha [OII]3727 Hbeta [OIII]4959 [OIII]5007 [OI]6300 [NII]6548 Halpha [NII]6584 [SII]6717 [SII]6731 NV1240 CIV1548 CIV1551 HeII1640 OIII]1661 OIII]1666 [SiIII]1883 SiIII]1888 [CIII]1907 CIII]1910 
-2.5 0.1 100.0 -1.2 6.2658e+42 2.3562e+42 1.0917e+43 3.286e+43 7.4888e+41 5.2308e+41 6.9702e+42 1.5436e+42 7.1774e+41 5.4109e+41 3.2035e+41 1.7643e+42 8.9837e+41 5.1788e+42 1.0225e+41 2.4929e+41 1.7534e+41 1.0448e+41 1.7946e+42 1.176e+42
-2.5 0.1 100.0 -1.4 4.4002e+42 2.0341e+42 7.8221e+42 2.3544e+43 3.1681e+41 3.6626e+41 6.0106e+42 1.0808e+42 5.2359e+41 4.0007e+41 1.7333e+41 8.892e+41 4.5619e+41 3.8235e+42 4.6677e+40 1.1354e+41 9.41e+40 5.6621e+40 9.1329e+41 5.9854e+41
-2.5 0.1 100.0 -1.7 2.483e+42 1.5295e+42 4.0571e+42 1.2212e+43 1.3796e+41 2.2104e+41 4.5429e+42 6.5229e+41 3.367e+41 2.5935e+41 6.8539e+40 2.7401e+41 1.4738e+41 2.1094e+42 1.254e+40 3.044e+40 3.2352e+40 2.044e+40 2.9167e+41 1.9123e+41
-2.5 0.1 100.0 -2.0 1.3543e+42 1.106e+42 1.9144e+42 5.7623e+42 7.5234e+40 1.3124e+41 3.3174e+42 3.8729e+41 2.1237e+41 1.6362e+41 3.3209e+40 8.0455e+40 5.0181e+40 1.0634e+42 3.2426e+39 7.8509e+39 1.0571e+40 7.8894e+39 8.9165e+40 5.8537e+40
-2.5 0.1 1000.0 -1.2 6.8009e+42 2.5638e+42 1.3612e+43 4.0971e+43 9.8204e+41 6.5038e+41 7.5288e+42 1.9193e+42 6.4124e+41 6.8927e+41 1.5844e+41 2.0187e+42 1.0166e+42 5.257e+42 1.4779e+41 3.6031e+41 2.6593e+41 1.6511e+41 2.5061e+42 1.6868e+42
-2.5 0.1 1000.0 -1.4 4.9714e+42 2.2312e+42 1.0307e+43 3.1024e+43 4.2806e+41 4.6002e+41 6.5369e+42 1.3575e+42 4.4889e+41 5.1585e+41 6.3152e+40 9.2418e+41 4.6976e+41 3.8713e+42 7.4021e+40 1.8021e+41 1.6419e+41 1.0267e+41 1.4007e+42 9.4382e+41
-2.5 0.1 1000.0 -1.7 3.037e+42 1.6999e+42 5.9528e+42 1.7918e+43 1.8066e+41 2.9364e+41 4.9929e+42 8.6654e+41 2.8728e+41 3.4844e+41 2.5154e+40 2.0917e+41 1.1441e+41 2.1236e+42 2.2427e+40 5.4531e+40 7.3969e+40 4.7329e+40 5.1588e+41 3.4818e+41
-2.5 0.1 1000.0 -2.0 1.8379e+42 1.2424e+42 3.1756e+42 9.5585e+42 1.0353e+41 1.9347e+41 3.6708e+42 5.7093e+41 1.9685e+41 2.4131e+41 1.6301e+40 4.9111e+40 3.3115e+40 1.0622e+42 6.2093e+39 1.5101e+40 3.2341e+40 2.1828e+40 1.7507e+41 1.1836e+41
-2.5 0.1 10000.0 -1.2 7.689e+42 3.0093e+42 1.5068e+43 4.5354e+43 2.4714e+42 1.4732e+42 8.8107e+42 4.3475e+42 6.5897e+41 1.1119e+42 1.3524e+40 3.8411e+41 2.0235e+41 4.9462e+42 1.2766e+41 3.1332e+41 4.8145e+41 4.2412e+41 2.3986e+42 2.0525e+42
-2.5 0.1 10000.0 -1.4 5.9676e+42 2.6041e+42 1.1324e+43 3.4087e+43 1.3045e+42 1.1093e+42 7.5925e+42 3.2735e+42 4.6e+41 8.1809e+41 1.0348e+40 1.5263e+41 8.4125e+40 3.6538e+42 6.6267e+40 1.6268e+41 3.073e+41 2.7377e+41 1.3709e+42 1.1809e+42
-2.5 0.1 10000.0 -1.7 4.096e+42 1.9505e+42 6.1515e+42 1.8516e+43 5.7614e+41 7.856e+41 5.6819e+42 2.3183e+42 2.9842e+41 5.665e+41 3.8748e+39 3.4883e+40 2.3504e+40 1.9899e+42 2.0357e+40 5.0024e+40 1.2555e+41 1.138e+41 5.0638e+41 4.3966e+41
-2.5 0.1 10000.0 -2.0 2.8063e+42 1.3918e+42 2.8917e+42 8.7039e+42 3.3005e+41 5.9382e+41 4.0646e+42 1.7524e+42 2.1795e+41 4.2746e+41 6.5593e+38 1.4249e+40 1.1808e+40 9.7416e+41 5.7238e+39 1.4081e+40 4.406e+40 4.0615e+40 1.769e+41 1.5455e+41
-2.5 0.3 100.0 -1.2 6.9849e+42 1.673e+42 8.9302e+42 2.688e+43 1.6418e+42 6.6823e+41 4.9199e+42 1.972e+42 1.0238e+42 7.5206e+41 4.8116e+41 1.3048e+42 7.8089e+41 4.5591e+42 1.6673e+41 4.082e+41 1.3454e+41 7.9837e+40 2.2523e+42 1.4756e+42
-2.5 0.3 100.0 -1.4 4.8834e+42 1.4067e+42 6.8522e+42 2.0625e+43 7.7754e+41 4.4152e+41 4.1165e+42 1.3029e+42 6.9548e+41 5.1831e+41 2.7679e+41 7.5277e+41 4.4574e+41 3.415e+42 8.745e+40 2.1388e+41 8.1756e+40 4.8653e+40 1.2815e+42 8.3969e+41
-2.5 0.3 100.0 -1.7 2.7787e+42 1.0416e+42 3.9311e+42 1.1833e+43 2.2908e+41 2.4767e+41 3.0545e+42 7.3087e+41 3.9417e+41 2.9929e+41 1.116e+41 2.9086e+41 1.7339e+41 1.9228e+42 2.807e+40 6.8526e+40 3.305e+40 1.9932e+40 4.7532e+41 3.115e+41
-2.5 0.3 100.0 -2.0 1.5909e+42 7.5866e+41 2.0516e+42 6.1755e+42 9.3355e+40 1.4812e+41 2.2422e+42 4.3711e+41 2.3746e+41 1.8208e+41 4.7314e+40 1.0922e+41 6.7976e+40 9.8778e+41 8.5136e+39 2.0743e+40 1.2634e+40 7.9802e+39 1.6844e+41 1.1043e+41
-2.5 0.3 1000.0 -1.2 7.3179e+42 2.0098e+42 1.1541e+43 3.474e+43 1.8887e+42 8.1332e+41 5.8684e+42 2.4001e+42 1.0102e+42 9.7028e+41 2.906e+41 1.547e+42 8.5806e+41 4.9218e+42 2.1314e+41 5.2151e+41 1.7706e+41 1.094e+41 2.8464e+42 1.9128e+42
-2.5 0.3 1000.0 -1.4 5.3376e+42 1.7406e+42 9.1293e+42 2.7479e+43 9.16e+41 5.5979e+41 5.0631e+42 1.6519e+42 6.6598e+41 6.8337e+41 1.228e+41 8.672e+41 4.6884e+41 3.6721e+42 1.1687e+41 2.8568e+41 1.1681e+41 7.2464e+40 1.707e+42 1.1483e+42
-2.5 0.3 1000.0 -1.7 3.2953e+42 1.3466e+42 5.5937e+42 1.6837e+43 2.9456e+41 3.3692e+41 3.9264e+42 9.9426e+41 3.737e+41 4.199e+41 3.4535e+40 2.6572e+41 1.4916e+41 2.0506e+42 3.9785e+40 9.7103e+40 5.72e+40 3.5898e+40 6.897e+41 4.6466e+41
