# log(Us)  xid nh alpha [OII]3727 Hbeta [OIII]4959 [OIII]5007 [OI]6300 [NII]6548 Halpha [NII]6584 [SII]6717 [SII]6731 NV1240 CIV1548 CIV1551 HeII1640 OIII]1661 OIII]1666 [SiIII]1883 SiIII]1888 [CIII]1907 CIII]1910 
-2.5 0.1 100.0 -1.2 2.9126e+42 3.1589e+42 5.1047e+42 1.5365e+43 8.2901e+41 3.2661e+40 9.4898e+42 9.6381e+40 4.8462e+41 3.4767e+41 1.0581e+41 4.713e+42 2.4012e+42 5.4069e+42 4.0223e+41 9.9041e+41 6.571e+41 3.8893e+41 4.2745e+42 2.7996e+42
-2.5 0.1 100.0 -1.4 2.4855e+42 2.6579e+42 4.7255e+42 1.4224e+43 4.4456e+41 2.4345e+40 7.866e+42 7.1843e+40 3.2362e+41 2.3551e+41 8.1639e+40 3.6758e+42 1.877e+42 3.964e+42 3.3414e+41 8.2264e+41 6.3916e+41 3.7841e+41 3.5907e+42 2.3517e+42
-2.5 0.1 100.0 -1.7 1.8071e+42 1.9265e+42 3.5499e+42 1.0685e+43 1.5627e+41 1.5858e+40 5.625e+42 4.6797e+40 1.7671e+41 1.3146e+41 5.0029e+40 2.0841e+42 1.0697e+42 2.1529e+42 2.051e+41 5.0483e+41 4.9174e+41 2.9131e+41 2.2765e+42 1.4911e+42
-2.5 0.1 100.0 -2.0 1.2606e+42 1.3518e+42 2.3793e+42 7.1616e+42 5.49e+40 1.0579e+40 3.9236e+42 3.1219e+40 1.0137e+41 7.6767e+40 2.964e+40 1.0303e+42 5.3373e+41 1.0654e+42 1.0954e+41 2.6956e+41 3.2443e+41 1.9243e+41 1.2742e+42 8.3459e+41
-2.5 0.1 1000.0 -1.2 2.6209e+42 3.2188e+42 5.1679e+42 1.5555e+43 9.0054e+41 3.8079e+40 9.6458e+42 1.1237e+41 4.6582e+41 3.879e+41 8.3395e+40 4.7632e+42 2.4231e+42 5.4138e+42 4.0277e+41 9.9178e+41 6.6591e+41 4.0727e+41 4.3097e+42 2.8814e+42
-2.5 0.1 1000.0 -1.4 2.2408e+42 2.7112e+42 4.7941e+42 1.443e+43 4.8795e+41 2.8147e+40 8.0024e+42 8.3061e+40 2.9461e+41 2.5987e+41 5.624e+40 3.6299e+42 1.8497e+42 3.9677e+42 3.3483e+41 8.2438e+41 6.5561e+41 4.0123e+41 3.6403e+42 2.4346e+42
-2.5 0.1 1000.0 -1.7 1.6595e+42 1.97e+42 3.6204e+42 1.0898e+43 1.78e+41 1.8024e+40 5.7363e+42 5.3188e+40 1.4927e+41 1.452e+41 2.4371e+40 1.8747e+42 9.5942e+41 2.1528e+42 2.0582e+41 5.0666e+41 5.2448e+41 3.2141e+41 2.3415e+42 1.567e+42
-2.5 0.1 1000.0 -2.0 1.2071e+42 1.3861e+42 2.4342e+42 7.3269e+42 6.6893e+40 1.2143e+40 4.0123e+42 3.5835e+40 8.253e+40 8.7565e+40 7.8306e+39 7.4058e+41 3.8354e+41 1.0642e+42 1.0936e+41 2.6918e+41 3.6839e+41 2.2614e+41 1.3219e+42 8.8534e+41
-2.5 0.1 10000.0 -1.2 2.1438e+42 3.3944e+42 4.6312e+42 1.394e+43 1.3337e+42 6.9052e+40 1.021e+43 2.0377e+41 4.6372e+41 5.4491e+41 3.6128e+39 1.1003e+42 5.6016e+41 5.1322e+42 2.5542e+41 6.2926e+41 7.308e+41 5.9787e+41 2.9119e+42 2.3755e+42
-2.5 0.1 10000.0 -1.4 1.9118e+42 2.8722e+42 4.0895e+42 1.2309e+43 7.902e+41 5.3706e+40 8.5233e+42 1.5849e+41 2.9242e+41 3.6239e+41 1.6716e+39 6.5942e+41 3.3844e+41 3.7725e+42 2.0001e+41 4.9274e+41 6.7005e+41 5.5033e+41 2.3215e+42 1.8996e+42
-2.5 0.1 10000.0 -1.7 1.611e+42 2.0872e+42 2.7313e+42 8.2213e+42 3.5149e+41 3.8123e+40 6.1168e+42 1.125e+41 1.5302e+41 2.098e+41 3.0319e+38 2.0431e+41 1.0842e+41 2.0395e+42 1.048e+41 2.5821e+41 4.5139e+41 3.7382e+41 1.3035e+42 1.0728e+42
-2.5 0.1 10000.0 -2.0 1.3663e+42 1.4585e+42 1.5091e+42 4.5425e+42 1.6766e+41 2.9441e+40 4.248e+42 8.6879e+40 9.0627e+40 1.3738e+41 3.7394e+37 5.2273e+40 3.0035e+40 9.9636e+41 4.4298e+40 1.0916e+41 2.4871e+41 2.0779e+41 6.2761e+41 5.1955e+41
-2.5 0.3 100.0 -1.2 2.4801e+42 3.0833e+42 4.2056e+42 1.2659e+43 9.1209e+41 3.3663e+40 9.3454e+42 9.9339e+40 6.5843e+41 4.677e+41 1.147e+41 3.1994e+42 1.7502e+42 5.3142e+42 3.5866e+41 8.8331e+41 2.9903e+41 1.7698e+41 3.2602e+42 2.1352e+42
-2.5 0.3 100.0 -1.4 2.1184e+42 2.5732e+42 3.9415e+42 1.1864e+43 4.9653e+41 2.4839e+40 7.6763e+42 7.3299e+40 4.2073e+41 3.0251e+41 8.9576e+40 2.5561e+42 1.3989e+42 3.9004e+42 3.0863e+41 7.6e+41 3.0042e+41 1.7784e+41 2.8182e+42 1.8457e+42
