# log(Us)  xid nh alpha [OII]3727 Hbeta [OIII]4959 [OIII]5007 [OI]6300 [NII]6548 Halpha [NII]6584 [SII]6717 [SII]6731 NV1240 CIV1548 CIV1551 HeII1640 OIII]1661 OIII]1666 [SiIII]1883 SiIII]1888 [CIII]1907 CIII]1910 
-2.5 0.1 100.0 -1.2 7.1655e+42 2.4849e+42 1.1613e+43 3.4955e+43 9.8615e+41 3.7423e+41 7.2969e+42 1.1043e+42 7.4614e+41 5.5806e+41 3.0265e+41 2.6686e+42 1.3798e+42 5.257e+42 1.9074e+41 4.6638e+41 3.3321e+41 1.9786e+41 2.9183e+42 1.912e+42
-2.5 0.1 100.0 -1.4 5.2876e+42 2.147e+42 8.8389e+42 2.6605e+43 4.3445e+41 2.6645e+41 6.2846e+42 7.8629e+41 5.4726e+41 4.1515e+41 1.7318e+41 1.4871e+42 7.6735e+41 3.8747e+42 1.0026e+41 2.4495e+41 2.0622e+41 1.229e+41 1.6746e+42 1.0973e+42
-2.5 0.1 100.0 -1.7 3.1837e+42 1.613e+42 5.051e+42 1.5204e+43 1.6143e+41 1.6461e+41 4.735e+42 4.8575e+41 3.4817e+41 2.6739e+41 7.368e+40 5.3181e+41 2.7895e+41 2.1265e+42 3.3376e+40 8.1397e+40 8.811e+40 5.3296e+40 6.4158e+41 4.2046e+41
-2.5 0.1 100.0 -2.0 1.8521e+42 1.1622e+42 2.6518e+42 7.9819e+42 8.9091e+40 1.0193e+41 3.4374e+42 3.008e+41 2.2641e+41 1.7414e+41 3.6629e+40 1.7569e+41 9.856e+40 1.0654e+42 1.055e+40 2.5682e+40 3.5562e+40 2.2484e+40 2.342e+41 1.5355e+41
-2.5 0.1 1000.0 -1.2 7.2433e+42 2.6524e+42 1.3444e+43 4.0465e+43 1.2056e+42 4.5096e+41 7.7461e+42 1.3308e+42 6.5575e+41 6.7445e+41 1.8221e+41 3.0177e+42 1.5568e+42 5.3126e+42 2.4013e+41 5.874e+41 4.3286e+41 2.6744e+41 3.6184e+42 2.4315e+42
-2.5 0.1 1000.0 -1.4 5.4927e+42 2.3038e+42 1.0602e+43 3.1911e+43 5.5443e+41 3.2087e+41 6.7002e+42 9.4689e+41 4.5841e+41 5.046e+41 8.1896e+40 1.6129e+42 8.3481e+41 3.9096e+42 1.3412e+41 3.2777e+41 2.9338e+41 1.8196e+41 2.2123e+42 1.488e+42
-2.5 0.1 1000.0 -1.7 3.5017e+42 1.749e+42 6.478e+42 1.9499e+43 2.0276e+41 2.035e+41 5.0928e+42 6.0054e+41 2.8307e+41 3.3439e+41 2.9134e+40 4.7387e+41 2.5315e+41 2.1387e+42 4.8281e+40 1.1787e+41 1.4976e+41 9.3824e+40 9.3617e+41 6.3049e+41
-2.5 0.1 1000.0 -2.0 2.2131e+42 1.2728e+42 3.6489e+42 1.0983e+43 1.127e+41 1.3631e+41 3.7251e+42 4.0225e+41 1.9264e+41 2.3235e+41 1.6437e+40 1.1331e+41 6.6659e+40 1.0677e+42 1.5816e+40 3.8614e+40 7.4107e+40 4.7364e+40 3.6565e+41 2.4658e+41
-2.5 0.1 10000.0 -1.2 7.4706e+42 3.0398e+42 1.42e+43 4.2741e+43 2.6077e+42 9.4972e+41 8.8786e+42 2.8026e+42 6.4947e+41 1.0442e+42 1.2875e+40 6.4849e+41 3.3679e+41 5.0012e+42 1.973e+41 4.8481e+41 6.9522e+41 6.0083e+41 3.2823e+42 2.7748e+42
-2.5 0.1 10000.0 -1.4 6.0049e+42 2.6265e+42 1.0989e+43 3.3077e+43 1.4398e+42 7.2159e+41 7.6268e+42 2.1294e+42 4.5338e+41 7.6966e+41 8.5856e+39 2.7297e+41 1.4546e+41 3.6919e+42 1.105e+41 2.7157e+41 4.7856e+41 4.1767e+41 2.004e+42 1.7047e+42
-2.5 0.1 10000.0 -1.7 4.3185e+42 1.9637e+42 6.1926e+42 1.864e+43 6.2698e+41 5.0959e+41 5.6913e+42 1.5038e+42 2.8896e+41 5.2774e+41 2.5544e+39 5.8095e+40 3.5456e+40 2.0095e+42 3.7457e+40 9.2119e+40 2.194e+41 1.9432e+41 8.0774e+41 6.9241e+41
-2.5 0.1 10000.0 -2.0 3.108e+42 1.3995e+42 3.0065e+42 9.0495e+42 3.4358e+41 3.8882e+41 4.0637e+42 1.1474e+42 2.0594e+41 3.9383e+41 3.9711e+38 1.8047e+40 1.3766e+40 9.8381e+41 1.146e+40 2.8206e+40 8.6887e+40 7.7958e+40 3.0663e+41 2.6434e+41
-2.5 0.3 100.0 -1.2 7.0553e+42 1.911e+42 9.3297e+42 2.8082e+43 1.6777e+42 4.3676e+41 5.6178e+42 1.2889e+42 1.0258e+42 7.5007e+41 4.3419e+41 1.8339e+42 1.0878e+42 4.7715e+42 2.5577e+41 6.2728e+41 2.128e+41 1.2615e+41 3.1024e+42 2.0324e+42
-2.5 0.3 100.0 -1.4 5.2136e+42 1.6101e+42 7.4882e+42 2.254e+43 8.3604e+41 2.9897e+41 4.6969e+42 8.8225e+41 7.0609e+41 5.2376e+41 2.625e+41 1.1197e+42 6.5761e+41 3.555e+42 1.4979e+41 3.6708e+41 1.4489e+41 8.6026e+40 1.9387e+42 1.2702e+42
-2.5 0.3 100.0 -1.7 3.1531e+42 1.1919e+42 4.5748e+42 1.377e+43 2.6292e+41 1.7421e+41 3.4741e+42 5.1409e+41 4.0358e+41 3.0507e+41 1.1359e+41 4.6434e+41 2.7194e+41 1.9833e+42 5.6132e+40 1.3734e+41 6.8679e+40 4.1021e+40 8.1654e+41 5.3503e+41
-2.5 0.3 100.0 -2.0 1.8853e+42 8.6279e+41 2.5437e+42 7.6565e+42 9.864e+40 1.0659e+41 2.5288e+42 3.1455e+41 2.403e+41 1.8383e+41 5.1261e+40 1.8669e+41 1.1168e+41 1.0083e+42 1.959e+40 4.7878e+40 3.0325e+40 1.8433e+40 3.2347e+41 2.1199e+41
-2.5 0.3 1000.0 -1.2 7.1237e+42 2.2041e+42 1.1341e+43 3.4135e+43 1.9052e+42 5.2417e+41 6.4387e+42 1.5468e+42 9.9906e+41 9.3007e+41 2.9474e+41 2.163e+42 1.2167e+42 5.0423e+42 3.0634e+41 7.5109e+41 2.6188e+41 1.6132e+41 3.7015e+42 2.4843e+42
-2.5 0.3 1000.0 -1.4 5.4189e+42 1.9001e+42 9.2856e+42 2.795e+43 9.6887e+41 3.6925e+41 5.5137e+42 1.0897e+42 6.6199e+41 6.5712e+41 1.3921e+41 1.3267e+42 7.2731e+41 3.7464e+42 1.8425e+41 4.5141e+41 1.8834e+41 1.1633e+41 2.3967e+42 1.6099e+42
-2.5 0.3 1000.0 -1.7 3.4889e+42 1.4549e+42 5.9481e+42 1.7904e+43 3.2706e+41 2.255e+41 4.2191e+42 6.6544e+41 3.6852e+41 4.0088e+41 4.0704e+40 4.9171e+41 2.7113e+41 2.0794e+42 7.2181e+40 1.7669e+41 1.026e+41 6.3777e+40 1.0808e+42 7.2693e+41
-2.5 0.3 1000.0 -2.0 2.2666e+42 1.0835e+42 3.4798e+42 1.0474e+43 1.328e+41 1.4879e+41 3.1565e+42 4.3909e+41 2.254e+41 2.6113e+41 1.8252e+40 1.388e+41 8.1318e+40 1.0487e+42 2.5095e+40 6.1414e+40 5.36e+40 3.3717e+40 4.4294e+41 2.983e+41
-2.5 0.3 10000.0 -1.2 7.4465e+42 2.848e+42 1.3154e+43 3.9593e+43 3.4154e+42 1.1004e+42 8.3293e+42 3.2474e+42 1.0567e+42 1.5336e+42 1.5048e+40 6.4724e+41 3.5901e+41 4.9593e+42 2.4191e+41 5.948e+41 4.1336e+41 3.5381e+41 3.2339e+42 2.7157e+42
-2.5 0.3 10000.0 -1.4 6.0643e+42 2.472e+42 1.0364e+43 3.1196e+43 1.9636e+42 8.4738e+41 7.1821e+42 2.5006e+42 7.1123e+41 1.0903e+42 9.28e+39 2.9207e+41 1.6372e+41 3.6693e+42 1.4073e+41 3.4606e+41 2.9543e+41 2.5521e+41 2.0406e+42 1.7242e+42
-2.5 0.3 10000.0 -1.7 4.4586e+42 1.8684e+42 5.9842e+42 1.8013e+43 8.5921e+41 5.9554e+41 5.4113e+42 1.7574e+42 4.245e+41 7.0695e+41 2.6478e+39 6.6213e+40 4.01e+40 2.0031e+42 4.9916e+40 1.2281e+41 1.4334e+41 1.2555e+41 8.6003e+41 7.3226e+41
-2.5 0.3 10000.0 -2.0 3.3142e+42 1.348e+42 2.9796e+42 8.9687e+42 4.3154e+41 4.5088e+41 3.9068e+42 1.3305e+42 2.8327e+41 5.0347e+41 4.0985e+38 1.9495e+40 1.4308e+40 9.8318e+41 1.6051e+40 3.9515e+40 6.1156e+40 5.4175e+40 3.4568e+41 2.9585e+41
-2.5 0.5 100.0 -1.2 5.8451e+42 1.5653e+42 6.6256e+42 1.9943e+43 1.8854e+42 4.7436e+41 4.656e+42 1.3998e+42 1.384e+42 9.9574e+41 5.9574e+41 1.7416e+42 1.2474e+42 4.3391e+42 2.7799e+41 6.8311e+41 7.5517e+40 4.4731e+40 2.8152e+42 1.8441e+42
-2.5 0.5 100.0 -1.4 4.3883e+42 1.2789e+42 5.6572e+42 1.7028e+43 1.0013e+42 3.1997e+41 3.7456e+42 9.4422e+41 8.9774e+41 6.5485e+41 3.8251e+41 1.129e+42 8.2289e+41 3.2629e+42 1.8912e+41 4.6451e+41 5.8707e+40 3.4798e+40 1.9772e+42 1.2952e+42
-2.5 0.5 100.0 -1.7 2.6973e+42 9.2204e+41 3.7485e+42 1.1283e+43 3.4828e+41 1.8211e+41 2.6758e+42 5.3742e+41 4.8698e+41 3.6211e+41 1.7292e+41 5.0046e+41 3.7078e+41 1.847e+42 8.321e+40 2.0421e+41 3.1781e+40 1.8885e+40 9.4387e+41 6.1837e+41
-2.5 0.5 100.0 -2.0 1.6393e+42 6.6516e+41 2.2185e+42 6.6778e+42 1.2157e+41 1.0994e+41 1.9335e+42 3.2444e+41 2.7661e+41 2.0879e+41 7.4951e+40 2.1286e+41 1.5823e+41 9.5293e+41 3.2254e+40 7.9085e+40 1.5251e+40 9.1266e+39 4.0471e+41 2.6517e+41
-2.5 0.5 1000.0 -1.2 6.0001e+42 1.8921e+42 8.6343e+42 2.5989e+43 2.1113e+42 5.6063e+41 5.5691e+42 1.6544e+42 1.4368e+42 1.2438e+42 4.4575e+41 2.0155e+42 1.4364e+42 4.7823e+42 3.4409e+41 8.4525e+41 9.5398e+40 5.862e+40 3.452e+42 2.3141e+42
-2.5 0.5 1000.0 -1.4 4.639e+42 1.6075e+42 7.4304e+42 2.2366e+43 1.1371e+42 3.9625e+41 4.6716e+42 1.1693e+42 9.1437e+41 8.3968e+41 2.2761e+41 1.2863e+42 9.1768e+41 3.5848e+42 2.3028e+41 5.6542e+41 7.5054e+40 4.6204e+40 2.4296e+42 1.63e+42
-2.5 0.5 1000.0 -1.7 3.0506e+42 1.2306e+42 5.0591e+42 1.5228e+43 4.1776e+41 2.4365e+41 3.5559e+42 7.19e+41 4.8956e+41 4.9156e+41 6.3372e+40 5.357e+41 3.7153e+41 2.0157e+42 1.0114e+41 2.4817e+41 4.4531e+40 2.7527e+40 1.1948e+42 8.0251e+41
-2.5 0.5 1000.0 -2.0 2.0315e+42 9.3155e+41 3.1003e+42 9.3319e+42 1.6338e+41 1.6125e+41 2.6986e+42 4.7584e+41 2.878e+41 3.1078e+41 2.1909e+40 1.8195e+41 1.207e+41 1.0271e+42 3.84e+40 9.4195e+40 2.4768e+40 1.5417e+40 5.2161e+41 3.508e+41
-2.5 0.5 10000.0 -1.2 6.3993e+42 2.6697e+42 1.1146e+43 3.355e+43 3.4676e+42 1.1708e+42 7.8386e+42 3.455e+42 1.569e+42 2.0676e+42 1.9386e+40 7.3601e+41 4.0594e+41 4.905e+42 2.8111e+41 6.9165e+41 1.5401e+41 1.304e+41 3.0605e+42 2.5524e+42
-2.5 0.5 10000.0 -1.4 5.3134e+42 2.3244e+42 9.0059e+42 2.7108e+43 2.057e+42 9.2531e+41 6.7634e+42 2.7306e+42 1.0315e+42 1.4401e+42 1.0784e+40 3.5476e+41 1.9453e+41 3.6366e+42 1.7313e+41 4.26e+41 1.1561e+41 9.8722e+40 2.0191e+42 1.6939e+42
-2.5 0.5 10000.0 -1.7 4.0115e+42 1.7746e+42 5.3506e+42 1.6105e+43 9.3606e+41 6.6736e+41 5.1375e+42 1.9694e+42 6.0346e+41 9.1543e+41 2.8486e+39 8.1647e+40 4.7555e+40 1.9911e+42 6.4833e+40 1.5959e+41 5.9341e+40 5.136e+40 8.861e+41 7.494e+41
