# log(Us)  xid nh alpha [OII]3727 Hbeta [OIII]4959 [OIII]5007 [OI]6300 [NII]6548 Halpha [NII]6584 [SII]6717 [SII]6731 NV1240 CIV1548 CIV1551 HeII1640 OIII]1661 OIII]1666 [SiIII]1883 SiIII]1888 [CIII]1907 CIII]1910 
-2.5 0.1 100.0 -1.2 1.6353e+42 3.3895e+42 2.9223e+42 8.7963e+42 6.0266e+41 1.4333e+40 1.0304e+43 4.2297e+40 3.8145e+41 2.7062e+41 5.995e+40 3.1743e+42 1.6094e+42 5.4171e+42 2.7396e+41 6.7494e+41 4.3843e+41 2.5945e+41 2.8132e+42 1.8424e+42
-2.5 0.1 100.0 -1.4 1.4212e+42 2.8384e+42 2.775e+42 8.3526e+42 3.2701e+41 1.0719e+40 8.5009e+42 3.1632e+40 2.4185e+41 1.7371e+41 4.9268e+40 2.6102e+42 1.3266e+42 3.9669e+42 2.4348e+41 5.998e+41 4.5562e+41 2.6967e+41 2.5024e+42 1.6388e+42
-2.5 0.1 100.0 -1.7 1.0661e+42 2.0324e+42 2.1783e+42 6.5565e+42 1.1725e+41 7.0429e+39 5.9928e+42 2.0784e+40 1.2204e+41 8.9594e+40 3.2735e+40 1.612e+42 8.2396e+41 2.15e+42 1.6777e+41 4.1324e+41 3.9083e+41 2.3141e+41 1.7463e+42 1.1437e+42
-2.5 0.1 100.0 -2.0 7.6989e+41 1.4085e+42 1.5291e+42 4.6027e+42 4.1183e+40 4.7612e+39 4.1153e+42 1.405e+40 6.5831e+40 4.9337e+40 2.011e+40 8.7008e+41 4.4929e+41 1.0615e+42 1.0101e+41 2.4878e+41 2.8663e+41 1.6984e+41 1.0781e+42 7.0609e+41
-2.5 0.1 1000.0 -1.2 1.4566e+42 3.4284e+42 2.9231e+42 8.7986e+42 6.4779e+41 1.6649e+40 1.0395e+43 4.9131e+40 3.793e+41 3.0024e+41 4.7223e+40 3.1651e+42 1.6037e+42 5.4189e+42 2.6927e+41 6.634e+41 4.3612e+41 2.6644e+41 2.7872e+42 1.8623e+42
-2.5 0.1 1000.0 -1.4 1.2647e+42 2.8725e+42 2.7751e+42 8.3531e+42 3.5435e+41 1.2355e+40 8.579e+42 3.6461e+40 2.3006e+41 1.9095e+41 3.3466e+40 2.5327e+42 1.2861e+42 3.967e+42 2.3827e+41 5.8699e+41 4.5605e+41 2.7871e+41 2.4807e+42 1.6578e+42
-2.5 0.1 1000.0 -1.7 9.6086e+41 2.0616e+42 2.1769e+42 6.5526e+42 1.3043e+41 7.9561e+39 6.0626e+42 2.3478e+40 1.0772e+41 9.8035e+40 1.4423e+40 1.4147e+42 7.2262e+41 2.1497e+42 1.6209e+41 3.9928e+41 4.0028e+41 2.4483e+41 1.7307e+42 1.1571e+42
-2.5 0.1 1000.0 -2.0 7.1785e+41 1.433e+42 1.5183e+42 4.5701e+42 4.8463e+40 5.3894e+39 4.1775e+42 1.5904e+40 5.509e+40 5.5174e+40 4.1429e+39 6.0776e+41 3.1492e+41 1.0609e+42 9.4892e+40 2.3374e+41 3.0409e+41 1.8622e+41 1.0532e+42 7.0457e+41
-2.5 0.1 10000.0 -1.2 1.1554e+42 3.528e+42 2.536e+42 7.6333e+42 9.0435e+41 2.9817e+40 1.0711e+43 8.7989e+40 3.8704e+41 4.1193e+41 1.7879e+39 7.0545e+41 3.5999e+41 5.1467e+42 1.6002e+41 3.9432e+41 4.4971e+41 3.6569e+41 1.762e+42 1.4316e+42
-1.5 0.3 1000.0 -1.4 3.7614e+41 2.7721e+42 3.2177e+42 9.6851e+42 2.8678e+41 8.6824e+39 8.2339e+42 2.5622e+40 2.1498e+41 1.6354e+41 9.3639e+40 3.8854e+42 2.1892e+42 4.1046e+42 4.5043e+41 1.1084e+42 1.9403e+41 1.1843e+41 2.4573e+42 1.6388e+42
