# log(Us)  xid nh alpha [OII]3727 Hbeta [OIII]4959 [OIII]5007 [OI]6300 [NII]6548 Halpha [NII]6584 [SII]6717 [SII]6731 NV1240 CIV1548 CIV1551 HeII1640 OIII]1661 OIII]1666 [SiIII]1883 SiIII]1888 [CIII]1907 CIII]1910 
-1.5 0.5 100.0 -2.0 5.146e+40 1.1861e+42 7.8085e+41 2.3504e+42 1.0178e+40 4.3492e+38 3.42e+42 1.2835e+39 1.7162e+40 1.2245e+40 4.3761e+40 9.2182e+41 5.7139e+41 1.0372e+42 1.1972e+41 2.9473e+41 1.8742e+40 1.1127e+40 4.4471e+41 2.9121e+41
-1.5 0.5 1000.0 -1.2 1.8805e+41 3.6603e+42 1.4878e+42 4.4782e+42 2.6665e+41 6.3188e+39 1.1204e+43 1.8647e+40 2.71e+41 1.9905e+41 9.0686e+40 2.4678e+42 1.3642e+42 5.6866e+42 2.8073e+41 6.9166e+41 2.7131e+40 1.6533e+40 1.0961e+42 7.301e+41
-1.5 0.5 1000.0 -1.4 1.5461e+41 2.9797e+42 1.4148e+42 4.2587e+42 1.4716e+41 4.0585e+39 8.9519e+42 1.1977e+40 1.5911e+41 1.1826e+41 5.6331e+40 2.0247e+42 1.1214e+42 4.0961e+42 2.3564e+41 5.8053e+41 3.1341e+40 1.9105e+40 1.0603e+42 7.0659e+41
-1.5 0.5 1000.0 -1.7 1.2536e+41 2.108e+42 1.1002e+42 3.3115e+42 5.4633e+40 2.1669e+39 6.1966e+42 6.3946e+39 6.6267e+40 5.1224e+40 1.8676e+40 1.092e+42 5.9614e+41 2.1852e+42 1.4566e+41 3.5885e+41 3.2602e+40 1.9891e+40 8.0043e+41 5.3391e+41
-1.5 0.5 1000.0 -2.0 1.1166e+41 1.471e+42 7.5196e+41 2.2634e+42 2.0201e+40 1.3514e+39 4.2645e+42 3.9879e+39 2.9254e+40 2.4416e+40 4.0309e+39 4.3501e+41 2.3507e+41 1.0691e+42 7.7587e+40 1.9115e+41 2.8654e+40 1.7502e+40 4.9872e+41 3.3301e+41
-1.5 0.5 10000.0 -1.2 3.6922e+41 3.8049e+42 9.3133e+41 2.8033e+42 5.3004e+41 1.8341e+40 1.1715e+43 5.4124e+40 4.365e+41 4.1193e+41 1.1033e+39 2.4341e+41 1.2636e+41 5.2488e+42 6.7981e+40 1.6754e+41 2.9791e+40 2.4064e+40 5.3341e+41 4.3131e+41
-1.5 0.5 10000.0 -1.4 3.2753e+41 3.1575e+42 8.3903e+41 2.5255e+42 3.1054e+41 1.3196e+40 9.5396e+42 3.8943e+40 2.6384e+41 2.536e+41 4.9697e+38 1.5542e+41 8.1875e+40 3.8263e+42 5.6007e+40 1.3803e+41 2.8942e+40 2.3444e+40 4.4306e+41 3.5913e+41
-1.5 0.5 10000.0 -1.7 2.8819e+41 2.2427e+42 5.7018e+41 1.7162e+42 1.3089e+41 8.2992e+39 6.637e+42 2.4491e+40 1.1876e+41 1.2082e+41 8.3936e+37 5.43e+40 2.9481e+40 2.0462e+42 3.1048e+40 7.6521e+40 2.0634e+40 1.6837e+40 2.5993e+41 2.1182e+41
-1.5 0.5 10000.0 -2.0 2.5928e+41 1.5376e+42 3.1802e+41 9.5725e+41 5.5434e+40 5.939e+39 4.5101e+42 1.7526e+40 5.3925e+40 6.1439e+40 9.5787e+36 1.5531e+40 8.3146e+39 9.9045e+41 1.3696e+40 3.3757e+40 1.178e+40 9.6936e+39 1.2906e+41 1.0578e+41
-2.5 0.1 100.0 -1.2 8.6885e+41 3.5588e+42 1.5663e+42 4.7146e+42 4.1179e+41 6.6025e+39 1.0897e+43 1.9484e+40 2.8796e+41 2.026e+41 3.2415e+40 1.8453e+42 9.3561e+41 5.4198e+42 1.6125e+41 3.9737e+41 2.5431e+41 1.5048e+41 1.6233e+42 1.0631e+42
-2.5 0.1 100.0 -1.4 7.6218e+41 2.9766e+42 1.5076e+42 4.5378e+42 2.2444e+41 4.9411e+39 8.983e+42 1.4581e+40 1.7508e+41 1.2442e+41 2.7567e+40 1.5648e+42 7.9596e+41 3.9657e+42 1.4858e+41 3.6614e+41 2.7351e+41 1.6186e+41 1.4898e+42 9.7567e+41
