# log(Us)  xid nh alpha [OII]3727 Hbeta [OIII]4959 [OIII]5007 [OI]6300 [NII]6548 Halpha [NII]6584 [SII]6717 [SII]6731 NV1240 CIV1548 CIV1551 HeII1640 OIII]1661 OIII]1666 [SiIII]1883 SiIII]1888 [CIII]1907 CIII]1910 
-1.0 0.1 100.0 -1.2 3.5191e+41 4.4637e+41 2.7835e+42 8.3785e+42 1.0757e+41 1.4293e+41 1.2796e+42 4.2178e+41 9.596e+40 7.0909e+40 9.9786e+41 8.4658e+41 5.4269e+41 3.1202e+42 3.0002e+40 6.9888e+40 1.5973e+40 9.6449e+39 3.0274e+41 1.984e+41
-1.0 0.1 100.0 -1.4 1.6864e+41 4.353e+41 2.4943e+42 7.5079e+42 2.1458e+40 6.0738e+40 1.2563e+42 1.7924e+41 4.9205e+40 3.7186e+40 5.0196e+41 4.8495e+41 3.1506e+41 2.5909e+42 1.481e+40 3.3868e+40 6.9738e+39 4.5093e+39 1.5491e+41 1.0157e+41
-1.0 0.1 100.0 -1.7 9.7863e+40 4.4334e+41 1.6887e+42 5.0829e+42 3.1055e+39 3.129e+40 1.313e+42 9.2338e+40 2.394e+40 1.8756e+40 1.3026e+41 1.7055e+41 9.8353e+40 1.7405e+42 3.6967e+39 8.2048e+39 1.5171e+39 1.8254e+39 4.0718e+40 2.6837e+40
-1.0 0.1 100.0 -2.0 7.5237e+40 4.5215e+41 6.831e+41 2.0561e+42 1.9361e+39 2.292e+40 1.3915e+42 6.7637e+40 1.7253e+40 1.3556e+40 2.997e+40 4.2884e+40 3.0105e+40 1.058e+42 8.5571e+38 1.8603e+39 2.6449e+38 1.9297e+39 6.5562e+39 4.6339e+39
-1.0 0.1 1000.0 -1.2 1.5675e+42 1.6862e+42 1.4243e+43 4.2872e+43 3.6922e+41 6.8795e+41 4.9502e+42 2.0301e+42 3.6626e+41 3.8647e+41 1.3936e+41 9.9681e+41 4.8539e+41 5.1502e+42 7.5362e+40 1.7504e+41 6.1373e+40 3.9582e+40 1.1007e+42 7.4386e+41
-1.0 0.1 1000.0 -1.4 9.9335e+41 1.5863e+42 9.1767e+42 2.7622e+43 9.4683e+40 3.9563e+41 4.7069e+42 1.1675e+42 1.8609e+41 2.1741e+41 3.4281e+40 2.096e+41 1.0867e+41 3.7996e+42 2.0827e+40 4.8263e+40 2.6581e+40 1.8576e+40 3.8815e+41 2.6312e+41
-1.0 0.1 1000.0 -1.7 5.9146e+41 1.3401e+42 3.7609e+42 1.132e+43 2.5844e+40 2.5647e+41 4.0437e+42 7.5683e+41 9.7769e+40 1.2766e+41 2.2276e+40 3.9047e+40 2.6911e+40 2.0905e+42 2.2007e+39 5.1274e+39 6.221e+39 6.6246e+39 5.7594e+40 3.9393e+40
-1.0 0.1 1000.0 -2.0 3.3643e+41 1.0593e+42 1.2886e+42 3.8787e+42 1.3343e+40 1.7855e+41 3.243e+42 5.269e+41 6.5442e+40 8.7045e+40 1.6418e+40 2.0279e+40 1.6398e+40 1.0445e+42 2.9306e+38 6.8983e+38 1.1005e+39 3.6568e+39 6.6715e+39 4.7748e+39
-1.0 0.1 10000.0 -1.2 4.3249e+42 2.8625e+42 1.5368e+43 4.6256e+43 1.3296e+42 3.5938e+42 8.4968e+42 1.0605e+43 6.1305e+41 1.1093e+42 1.5375e+40 8.5352e+40 4.9486e+40 4.7355e+42 2.9492e+40 7.192e+40 1.31e+41 1.2356e+41 6.846e+41 6.1359e+41
-1.0 0.1 10000.0 -1.4 2.9617e+42 2.4977e+42 1.0422e+43 3.1369e+43 5.1909e+41 2.5772e+42 7.4237e+42 7.6053e+42 3.6738e+41 7.0603e+41 1.408e+40 3.7092e+40 2.4961e+40 3.4822e+42 1.1902e+40 2.9041e+40 6.5742e+40 6.3343e+40 3.0526e+41 2.7616e+41
-1.0 0.1 10000.0 -1.7 1.7674e+42 1.8823e+42 4.8674e+42 1.4651e+43 1.9046e+41 1.8146e+42 5.6078e+42 5.3548e+42 2.2464e+41 4.5677e+41 8.6602e+39 1.6719e+40 1.4194e+40 1.8889e+42 2.5274e+39 6.1876e+39 1.7776e+40 1.7999e+40 7.6269e+40 6.9873e+40
-1.0 0.1 10000.0 -2.0 1.0419e+42 1.3463e+42 1.9315e+42 5.8139e+42 9.5975e+40 1.3016e+42 4.0235e+42 3.841e+42 1.6127e+41 3.3212e+41 2.2424e+39 1.1628e+40 1.0265e+40 9.2074e+41 4.8478e+38 1.1902e+39 3.774e+39 4.198e+39 1.7506e+40 1.6221e+40
-1.0 0.3 100.0 -1.2 2.4117e+42 2.6371e+41 1.7367e+42 5.2275e+42 7.5263e+41 7.9664e+41 7.8673e+41 2.3509e+42 2.8779e+41 2.0771e+41 1.1237e+42 7.2594e+41 5.051e+41 1.7498e+42 8.4214e+40 2.0425e+41 2.0944e+40 1.2405e+40 8.3979e+41 5.501e+41
-1.0 0.3 100.0 -1.4 1.1505e+42 2.1692e+41 1.5905e+42 4.7873e+42 4.2954e+41 4.3699e+41 6.2598e+41 1.2896e+42 1.8493e+41 1.3369e+41 6.3531e+41 5.0186e+41 3.4754e+41 1.5434e+42 4.7334e+40 1.1418e+41 1.269e+40 7.531e+39 4.781e+41 3.1322e+41
-1.0 0.3 100.0 -1.7 2.9884e+41 1.8775e+41 1.3023e+42 3.9199e+42 1.1575e+41 1.3169e+41 5.3792e+41 3.8862e+41 8.4074e+40 6.1436e+40 2.068e+41 2.1519e+41 1.4978e+41 1.1641e+42 1.5596e+40 3.7162e+40 4.0938e+39 2.4938e+39 1.6004e+41 1.0489e+41
-1.0 0.3 100.0 -2.0 1.1131e+41 1.8774e+41 8.6684e+41 2.6092e+42 1.3451e+40 4.4589e+40 5.5106e+41 1.3158e+41 3.3347e+40 2.5285e+40 4.5549e+40 5.5683e+40 4.0365e+40 7.8585e+41 3.0379e+39 7.1221e+39 9.346e+38 7.8554e+38 3.6146e+40 2.3741e+40
-1.0 0.3 1000.0 -1.2 3.6343e+42 1.038e+42 1.0743e+43 3.2336e+43 1.7496e+42 1.7241e+42 3.0029e+42 5.0877e+42 8.9681e+41 8.3832e+41 2.9559e+41 9.0921e+41 4.6517e+41 4.4349e+42 1.4078e+41 3.3762e+41 5.024e+40 3.1331e+40 1.6698e+42 1.125e+42
-1.0 0.3 1000.0 -1.4 1.877e+42 9.7213e+41 7.9166e+42 2.3829e+43 7.2302e+41 9.0342e+41 2.8314e+42 2.666e+42 5.1011e+41 4.9669e+41 7.7017e+40 3.2677e+41 1.6771e+41 3.3976e+42 5.0564e+40 1.2089e+41 2.4731e+40 1.5725e+40 7.246e+41 4.8938e+41
-1.0 0.3 1000.0 -1.7 9.0578e+41 8.6174e+41 3.988e+42 1.2004e+43 1.2926e+41 4.1653e+41 2.5516e+42 1.2292e+42 2.0137e+41 2.2567e+41 2.5802e+40 4.4729e+40 2.9819e+40 1.9628e+42 6.938e+39 1.6571e+40 7.4092e+39 5.3037e+39 1.4316e+41 9.7107e+40
-1.0 0.3 1000.0 -2.0 5.5436e+41 7.2809e+41 1.704e+42 5.1292e+42 3.9672e+40 2.8397e+41 2.1904e+42 8.3798e+41 1.1281e+41 1.4178e+41 1.8446e+40 1.8779e+40 1.6134e+40 1.0069e+42 8.4943e+38 2.036e+39 1.9126e+39 2.1519e+39 2.3841e+40 1.6298e+40
-1.0 0.3 10000.0 -1.2 5.9708e+42 2.4191e+42 1.4126e+43 4.2519e+43 3.2559e+42 5.2946e+42 7.0932e+42 1.5624e+43 1.3289e+42 2.1523e+42 1.6171e+40 8.7388e+40 5.4758e+40 4.6891e+42 4.2261e+40 1.0337e+41 7.7287e+40 7.1707e+40 7.9765e+41 7.0511e+41
-1.0 0.3 10000.0 -1.4 4.0173e+42 2.1417e+42 9.8266e+42 2.9578e+43 1.4163e+42 3.671e+42 6.297e+42 1.0833e+43 7.5937e+41 1.3057e+42 1.4257e+40 3.812e+40 2.6842e+40 3.4683e+42 1.7657e+40 4.3215e+40 4.021e+40 3.7985e+40 3.6971e+41 3.3013e+41
-1.0 0.3 10000.0 -1.7 2.421e+42 1.6613e+42 4.7935e+42 1.4428e+43 4.7484e+41 2.4552e+42 4.9099e+42 7.2452e+42 3.9743e+41 7.4673e+41 8.5607e+39 1.6708e+40 1.3909e+40 1.894e+42 3.9275e+39 9.6307e+39 1.1572e+40 1.1338e+40 1.0013e+41 9.0461e+40
-1.0 0.3 10000.0 -2.0 1.5209e+42 1.223e+42 2.0222e+42 6.0869e+42 2.2473e+41 1.7994e+42 3.6297e+42 5.3102e+42 2.6507e+41 5.2097e+41 2.2012e+39 1.1228e+40 9.8871e+39 9.27e+41 8.1794e+38 2.0096e+39 2.7646e+39 2.8686e+39 2.62e+40 2.3885e+40
-1.0 0.5 100.0 -1.2 2.6118e+42 2.3038e+41 1.0131e+42 3.0493e+42 7.9868e+41 1.0521e+42 7.3168e+41 3.1048e+42 3.8238e+41 2.7389e+41 1.3098e+42 6.3223e+41 4.6147e+41 1.249e+42 7.4043e+40 1.8097e+41 6.921e+39 4.0969e+39 7.584e+41 4.9674e+41
-1.0 0.5 100.0 -1.4 1.4482e+42 1.7099e+41 9.5024e+41 2.8602e+42 5.0828e+41 6.4074e+41 5.1558e+41 1.8908e+42 2.4721e+41 1.7707e+41 8.1263e+41 4.7545e+41 3.5085e+41 1.1236e+42 4.9435e+40 1.2068e+41 5.3532e+39 3.1706e+39 5.1292e+41 3.3599e+41
-1.0 0.5 100.0 -1.7 4.8381e+41 1.273e+41 8.6933e+41 2.6167e+42 1.9666e+41 2.4029e+41 3.6424e+41 7.0908e+41 1.2089e+41 8.7215e+40 3.121e+41 2.4152e+41 1.8166e+41 8.9015e+41 2.3204e+40 5.6407e+40 2.9328e+39 1.7435e+39 2.3541e+41 1.5425e+41
-1.0 0.5 100.0 -2.0 1.655e+41 1.1526e+41 7.0657e+41 2.1268e+42 4.8286e+40 8.1658e+40 3.3059e+41 2.4097e+41 5.8153e+40 4.2824e+40 8.8449e+40 9.2778e+40 7.0198e+40 6.2958e+41 8.0306e+39 1.9382e+40 1.0753e+39 6.6334e+38 8.5033e+40 5.5739e+40
-1.0 0.5 1000.0 -1.2 4.1924e+42 7.6938e+41 7.4774e+42 2.2507e+43 2.0588e+42 2.3128e+42 2.227e+42 6.8249e+42 1.1535e+42 1.0262e+42 5.6382e+41 8.5922e+41 6.348e+41 3.8822e+42 1.8398e+41 4.4755e+41 2.7493e+40 1.7002e+40 1.9336e+42 1.3e+42
-1.0 0.5 1000.0 -1.4 2.3132e+42 6.9841e+41 6.1165e+42 1.8411e+43 1.051e+42 1.2917e+42 2.012e+42 3.8117e+42 7.2608e+41 6.656e+41 1.9504e+41 4.0431e+41 2.8854e+41 3.0598e+42 8.6293e+40 2.095e+41 1.5818e+40 9.8489e+39 1.0194e+42 6.8677e+41
-1.0 0.5 1000.0 -1.7 1.0828e+42 6.2207e+41 3.6753e+42 1.1063e+43 2.7014e+41 5.8935e+41 1.812e+42 1.7392e+42 3.3205e+41 3.3693e+41 3.8632e+40 8.9915e+40 6.274e+40 1.834e+42 1.8296e+40 4.4341e+40 6.1102e+39 3.9237e+39 2.8763e+41 1.9442e+41
-1.0 0.5 1000.0 -2.0 6.5114e+41 5.4554e+41 1.8314e+42 5.5125e+42 7.0844e+40 3.7717e+41 1.614e+42 1.113e+42 1.7237e+41 2.0029e+41 2.1054e+40 2.4904e+40 2.1423e+40 9.6943e+41 2.9807e+39 7.2295e+39 2.1512e+39 1.5499e+39 6.3734e+40 4.323e+40
-1.0 0.5 10000.0 -1.2 6.1528e+42 2.0598e+42 1.2067e+43 3.6321e+43 3.951e+42 6.3246e+42 5.988e+42 1.8664e+43 1.9645e+42 2.9279e+42 1.8471e+40 1.2435e+41 7.6357e+40 4.6116e+42 6.0625e+40 1.4868e+41 4.0034e+40 3.6483e+40 9.5338e+41 8.3206e+41
-1.0 0.5 10000.0 -1.4 4.2039e+42 1.8496e+42 8.5614e+42 2.577e+43 1.8936e+42 4.51e+42 5.3887e+42 1.3309e+43 1.1797e+42 1.861e+42 1.4886e+40 5.1047e+40 3.3632e+40 3.4307e+42 2.6291e+40 6.4502e+40 2.1691e+40 2.0079e+40 4.5798e+41 4.0383e+41
-1.0 0.5 10000.0 -1.7 2.5337e+42 1.4744e+42 4.2602e+42 1.2823e+43 6.6659e+41 3.0044e+42 4.3211e+42 8.866e+42 5.9568e+41 1.0443e+42 8.575e+39 1.7745e+40 1.4164e+40 1.8865e+42 5.9148e+39 1.4528e+40 6.4745e+39 6.1664e+39 1.2751e+41 1.1373e+41
-1.0 0.5 10000.0 -2.0 1.5982e+42 1.1132e+42 1.8259e+42 5.4961e+42 3.1739e+41 2.1842e+42 3.2816e+42 6.4457e+42 3.911e+41 7.2057e+41 2.1636e+39 1.0911e+40 9.4768e+39 9.277e+41 1.2155e+39 2.9895e+39 1.5826e+39 1.5667e+39 3.4139e+40 3.0698e+40
-2.5 0.1 100.0 -1.2 1.3687e+42 1.8816e+42 5.2492e+42 1.58e+43 1.1965e+41 6.4908e+41 5.76e+42 1.9154e+42 3.57e+41 2.76e+41 5.1326e+41 6.7063e+41 3.6781e+41 4.9062e+42 8.8307e+39 2.1195e+40 9.9488e+39 6.6812e+39 2.263e+41 1.4844e+41
-2.5 0.1 100.0 -1.4 7.4109e+41 1.6366e+42 2.5273e+42 7.6071e+42 4.9582e+40 3.8907e+41 5.0547e+42 1.1481e+42 2.2295e+41 1.7418e+41 2.4557e+41 3.1241e+41 1.7601e+41 3.6788e+42 2.3805e+39 5.6964e+39 2.6337e+39 2.6609e+39 6.5963e+40 4.336e+40
-2.5 0.1 100.0 -1.7 3.0899e+41 1.2567e+42 6.3673e+41 1.9166e+42 1.9728e+40 1.7305e+41 3.9567e+42 5.1066e+41 1.075e+41 8.4154e+40 6.9252e+40 9.4216e+40 5.8838e+40 2.0976e+42 3.7604e+38 8.9326e+38 3.4673e+38 1.7237e+39 8.9828e+39 6.0434e+39
