## log(Us)        xid       nh        (C/O)/(C/O)sol         mup      [OII]3727           Hb           [OIII]4959           [OIII]5007           [NII]6548           Ha           [NII]6584           [SII]6717           [SII]6731           NV1240           CIV1548           CIV1551           HeII1640           OIII]1661           OIII]1666           [SiIII]1883           SiIII]1888           CIII]1908 
 
   -1.0           0.1       100           1.40               100      3.880e+06        2.398e+07        4.014e+07           1.208e+08            2.257e+04        6.802e+07       6.661e+04           6.713e+04           5.184e+04           1.800e+05        2.693e+07         1.276e+07         6.253e+05          3.143e+06           7.441e+06           1.541e+06             2.466e+06            3.331e+07 
   -1.0           0.1       100           1.40               300      4.617e+06        3.610e+07        6.309e+07           1.899e+08            2.704e+04        1.025e+08       7.980e+04           1.087e+05           8.387e+04           3.270e+05        5.262e+07         2.473e+07         1.706e+06          5.182e+06           1.231e+07           2.094e+06             3.345e+06            4.506e+07 
   -1.0           0.1      1000           1.40               100      2.722e+06        2.424e+07        4.038e+07           1.215e+08            1.772e+04        6.846e+07       5.230e+04           4.305e+04           5.068e+04           1.799e+05        2.711e+07         1.284e+07         6.280e+05          3.125e+06           7.399e+06           1.823e+06             2.949e+06            3.254e+07 
   -1.0           0.1      1000           1.40               300      3.412e+06        3.648e+07        6.323e+07           1.903e+08            2.254e+04        1.032e+08       6.651e+04           6.987e+04           8.212e+04           3.274e+05        5.267e+07         2.475e+07         1.711e+06          5.134e+06           1.220e+07           2.517e+06             4.068e+06            4.376e+07 
   -1.0           0.1       100           1.00               100      4.108e+06        2.398e+07        4.351e+07           1.310e+08            2.308e+04        6.802e+07       6.809e+04           7.180e+04           5.545e+04           1.821e+05        2.113e+07         1.007e+07         6.291e+05          3.509e+06           8.284e+06           1.658e+06             2.652e+06            2.576e+07 
   -1.0           0.1       100           1.00               300      4.895e+06        3.610e+07        6.854e+07           2.063e+08            2.768e+04        1.026e+08       8.168e+04           1.163e+05           8.978e+04           3.290e+05        4.124e+07         1.945e+07         1.713e+06          5.821e+06           1.380e+07           2.263e+06             3.614e+06            3.505e+07 
   -1.0           0.1      1000           1.00               100      2.889e+06        2.423e+07        4.377e+07           1.318e+08            1.814e+04        6.846e+07       5.353e+04           4.608e+04           5.423e+04           1.819e+05        2.127e+07         1.013e+07         6.318e+05          3.490e+06           8.242e+06           1.970e+06             3.187e+06            2.518e+07 
   -1.0           0.1      1000           1.00               300      3.625e+06        3.648e+07        6.871e+07           2.068e+08            2.310e+04        1.033e+08       6.816e+04           7.484e+04           8.794e+04           3.294e+05        4.127e+07         1.946e+07         1.718e+06          5.766e+06           1.367e+07           2.729e+06             4.409e+06            3.404e+07 
   -1.0           0.1       100           0.72               100      4.187e+06        2.342e+07        4.530e+07           1.363e+08            2.292e+04        6.644e+07       6.764e+04           7.432e+04           5.739e+04           1.835e+05        1.555e+07         7.492e+06         6.265e+05          3.764e+06           8.871e+06           1.722e+06             2.755e+06            1.937e+07 
   -1.0           0.1       100           0.72               300      5.019e+06        3.532e+07        7.161e+07           2.155e+08            2.765e+04        1.004e+08       8.159e+04           1.207e+05           9.312e+04           3.302e+05        3.030e+07         1.440e+07         1.704e+06          6.280e+06           1.486e+07           2.364e+06             3.776e+06            2.651e+07 
   -1.0           0.1      1000           0.72               100      2.956e+06        2.368e+07        4.559e+07           1.372e+08            1.807e+04        6.689e+07       5.333e+04           4.773e+04           5.617e+04           1.834e+05        1.565e+07         7.532e+06         6.292e+05          3.743e+06           8.822e+06           2.053e+06             3.321e+06            1.892e+07 
   -1.0           0.1      1000           0.72               300      3.730e+06        3.570e+07        7.178e+07           2.161e+08            2.313e+04        1.011e+08       6.827e+04           7.766e+04           9.125e+04           3.306e+05        3.031e+07         1.440e+07         1.708e+06          6.219e+06           1.472e+07           2.857e+06             4.616e+06            2.574e+07 
   -1.0           0.1       100           0.52               100      4.320e+06        2.342e+07        4.753e+07           1.431e+08            2.320e+04        6.644e+07       6.847e+04           7.720e+04           5.961e+04           1.846e+05        1.182e+07         5.787e+06         6.291e+05          4.041e+06           9.509e+06           1.800e+06             2.878e+06            1.471e+07 
   -1.0           0.1       100           0.52               300      5.184e+06        3.533e+07        7.528e+07           2.266e+08            2.801e+04        1.004e+08       8.267e+04           1.254e+05           9.679e+04           3.313e+05        2.296e+07         1.106e+07         1.708e+06          6.774e+06           1.601e+07           2.478e+06             3.958e+06            2.021e+07 
   -1.0           0.1      1000           0.52               100      3.055e+06        2.367e+07        4.783e+07           1.440e+08            1.831e+04        6.689e+07       5.404e+04           4.960e+04           5.836e+04           1.845e+05        1.189e+07         5.816e+06         6.317e+05          4.018e+06           9.457e+06           2.152e+06             3.481e+06            1.437e+07 
   -1.0           0.1      1000           0.52               300      3.858e+06        3.571e+07        7.547e+07           2.272e+08            2.346e+04        1.011e+08       6.924e+04           8.074e+04           9.486e+04           3.317e+05        2.296e+07         1.106e+07         1.713e+06          6.708e+06           1.585e+07           3.002e+06             4.850e+06            1.963e+07 
   -1.0           0.1       100           0.38               100      4.418e+06        2.342e+07        4.926e+07           1.483e+08            2.341e+04        6.644e+07       6.909e+04           7.937e+04           6.128e+04           1.854e+05        8.980e+06         4.486e+06         6.310e+05          4.268e+06           1.003e+07           1.860e+06             2.974e+06            1.117e+07 
   -1.0           0.1       100           0.38               300      5.306e+06        3.533e+07        7.815e+07           2.352e+08            2.828e+04        1.004e+08       8.346e+04           1.290e+05           9.955e+04           3.321e+05        1.736e+07         8.522e+06         1.712e+06          7.181e+06           1.695e+07           2.568e+06             4.100e+06            1.540e+07 
   -1.0           0.1      1000           0.38               100      3.128e+06        2.367e+07        4.958e+07           1.492e+08            1.849e+04        6.689e+07       5.456e+04           5.100e+04           6.001e+04           1.852e+05        9.026e+06         4.505e+06         6.336e+05          4.244e+06           9.977e+06           2.230e+06             3.606e+06            1.091e+07 
   -1.0           0.1      1000           0.38               300      3.953e+06        3.571e+07        7.834e+07           2.358e+08            2.370e+04        1.011e+08       6.994e+04           8.307e+04           9.759e+04           3.325e+05        1.735e+07         8.515e+06         1.716e+06          7.110e+06           1.678e+07           3.115e+06             5.032e+06            1.495e+07 
   -1.0           0.1       100           0.27               100      4.499e+06        2.342e+07        5.075e+07           1.528e+08            2.358e+04        6.644e+07       6.959e+04           8.117e+04           6.267e+04           1.860e+05        6.614e+06         3.399e+06         6.327e+05          4.471e+06           1.050e+07           1.912e+06             3.058e+06            8.199e+06 
   -1.0           0.1       100           0.27               300      5.407e+06        3.533e+07        8.062e+07           2.427e+08            2.850e+04        1.004e+08       8.411e+04           1.320e+05           1.019e+05           3.328e+05        1.270e+07         6.402e+06         1.715e+06          7.549e+06           1.780e+07           2.645e+06             4.224e+06            1.134e+07 
   -1.0           0.1      1000           0.27               100      3.188e+06        2.367e+07        5.108e+07           1.537e+08            1.863e+04        6.688e+07       5.498e+04           5.217e+04           6.138e+04           1.858e+05        6.645e+06         3.412e+06         6.353e+05          4.445e+06           1.044e+07           2.297e+06             3.714e+06            8.009e+06 
   -1.0           0.1      1000           0.27               300      4.032e+06        3.571e+07        8.083e+07           2.433e+08            2.390e+04        1.011e+08       7.053e+04           8.501e+04           9.986e+04           3.332e+05        1.270e+07         6.395e+06         1.719e+06          7.473e+06           1.763e+07           3.214e+06             5.191e+06            1.100e+07 
   -1.0           0.1       100           0.20               100      4.551e+06        2.342e+07        5.176e+07           1.558e+08            2.369e+04        6.644e+07       6.992e+04           8.237e+04           6.360e+04           1.865e+05        5.055e+06         2.677e+06         6.338e+05          4.614e+06           1.083e+07           1.947e+06             3.114e+06            6.208e+06 
   -1.0           0.1       100           0.20               300      5.473e+06        3.533e+07        8.232e+07           2.478e+08            2.865e+04        1.004e+08       8.454e+04           1.340e+05           1.034e+05           3.332e+05        9.642e+06         4.995e+06         1.717e+06          7.809e+06           1.841e+07           2.698e+06             4.308e+06            8.601e+06 
   -1.0           0.1      1000           0.20               100      3.228e+06        2.367e+07        5.210e+07           1.568e+08            1.873e+04        6.688e+07       5.526e+04           5.295e+04           6.229e+04           1.862e+05        5.076e+06         2.686e+06         6.364e+05          4.587e+06           1.077e+07           2.342e+06             3.788e+06            6.064e+06 
   -1.0           0.1      1000           0.20               300      4.085e+06        3.571e+07        8.252e+07           2.484e+08            2.403e+04        1.011e+08       7.092e+04           8.630e+04           1.014e+05           3.336e+05        9.634e+06         4.988e+06         1.721e+06          7.730e+06           1.822e+07           3.281e+06             5.300e+06            8.347e+06 
   -1.0           0.1       100           0.14               100      4.598e+06        2.342e+07        5.267e+07           1.586e+08            2.379e+04        6.644e+07       7.021e+04           8.343e+04           6.442e+04           1.868e+05        3.694e+06         2.047e+06         6.349e+05          4.746e+06           1.113e+07           1.979e+06             3.164e+06            4.432e+06 
   -1.0           0.1       100           0.14               300      5.531e+06        3.534e+07        8.385e+07           2.524e+08            2.877e+04        1.005e+08       8.491e+04           1.357e+05           1.047e+05           3.336e+05        6.977e+06         3.758e+06         1.719e+06          8.051e+06           1.897e+07           2.746e+06             4.385e+06            6.151e+06 
   -1.0           0.1      1000           0.14               100      3.262e+06        2.367e+07        5.301e+07           1.596e+08            1.881e+04        6.688e+07       5.550e+04           5.364e+04           6.310e+04           1.866e+05        3.708e+06         2.052e+06         6.374e+05          4.718e+06           1.107e+07           2.384e+06             3.854e+06            4.328e+06 
   -1.0           0.1      1000           0.14               300      4.130e+06        3.571e+07        8.405e+07           2.530e+08            2.415e+04        1.011e+08       7.126e+04           8.744e+04           1.027e+05           3.340e+05        6.970e+06         3.751e+06         1.723e+06          7.969e+06           1.878e+07           3.342e+06             5.398e+06            5.969e+06 
   -1.0           0.1       100           0.10               100      4.630e+06        2.342e+07        5.331e+07           1.605e+08            2.386e+04        6.643e+07       7.040e+04           8.416e+04           6.498e+04           1.870e+05        2.779e+06         1.657e+06         6.356e+05          4.840e+06           1.135e+07           2.001e+06             3.200e+06            3.209e+06 
   -1.0           0.1       100           0.10               300      5.571e+06        3.534e+07        8.492e+07           2.556e+08            2.886e+04        1.005e+08       8.516e+04           1.369e+05           1.057e+05           3.339e+05        5.190e+06         2.959e+06         1.720e+06          8.226e+06           1.937e+07           2.780e+06             4.439e+06            4.461e+06 
   -1.0           0.1      1000           0.10               100      3.286e+06        2.367e+07        5.365e+07           1.615e+08            1.886e+04        6.688e+07       5.567e+04           5.411e+04           6.365e+04           1.868e+05        2.789e+06         1.659e+06         6.382e+05          4.812e+06           1.128e+07           2.413e+06             3.901e+06            3.134e+06 
   -1.0           0.1      1000           0.10               300      4.162e+06        3.571e+07        8.512e+07           2.562e+08            2.423e+04        1.011e+08       7.149e+04           8.823e+04           1.036e+05           3.343e+05        5.181e+06         2.949e+06         1.725e+06          8.139e+06           1.917e+07           3.385e+06             5.467e+06            4.327e+06 
