# log(Us)  xid nh alpha [OII]3727 Hbeta [OIII]4959 [OIII]5007 [OI]6300 [NII]6548 Halpha [NII]6584 [SII]6717 [SII]6731 NV1240 CIV1548 CIV1551 HeII1640 OIII]1661 OIII]1666 [SiIII]1883 SiIII]1888 [CIII]1907 CIII]1910 
-1.0 0.1 100.0 -1.2 2.1323e+41 4.0576e+41 2.443e+42 7.3534e+42 5.4467e+40 1.203e+41 1.1682e+42 3.55e+41 7.2181e+40 5.3792e+40 1.0565e+42 7.3752e+41 4.8825e+41 3.039e+42 1.8419e+40 4.2596e+40 9.1913e+39 5.6298e+39 2.1473e+41 1.4074e+41
-1.0 0.1 100.0 -1.4 1.0833e+41 4.032e+41 2.1026e+42 6.3287e+42 8.9889e+39 5.2602e+40 1.172e+42 1.5523e+41 3.5116e+40 2.6919e+40 5.434e+41 4.158e+41 2.7852e+41 2.5437e+42 8.7249e+39 1.9817e+40 3.5975e+39 2.5157e+39 1.062e+41 6.9653e+40
-1.0 0.1 100.0 -1.7 6.8366e+40 4.2187e+41 1.2841e+42 3.8653e+42 1.6551e+39 2.785e+40 1.2645e+42 8.2185e+40 1.7401e+40 1.3739e+40 1.3165e+41 1.4514e+41 8.5007e+40 1.7471e+42 2.2963e+39 5.0572e+39 5.7762e+38 1.296e+39 2.5281e+40 1.6742e+40
-1.0 0.1 100.0 -2.0 5.6442e+40 4.409e+41 4.0721e+41 1.2257e+42 1.0039e+39 1.8435e+40 1.3793e+42 5.44e+40 1.1139e+40 8.8205e+39 3.0057e+40 4.1477e+40 2.8813e+40 1.0713e+42 6.2001e+38 1.3306e+39 8.1776e+37 1.8272e+39 3.5382e+39 2.6927e+39
-1.0 0.1 1000.0 -1.2 1.1705e+42 1.605e+42 1.337e+43 4.0245e+43 2.2614e+41 6.87e+41 4.7377e+42 2.0273e+42 3.033e+41 3.309e+41 1.2213e+41 7.5289e+41 3.7021e+41 5.0875e+42 5.4626e+40 1.2598e+41 4.1916e+40 2.7594e+40 8.5758e+41 5.8047e+41
-1.0 0.1 1000.0 -1.4 7.35e+41 1.5189e+42 8.1082e+42 2.4406e+43 5.4259e+40 4.0926e+41 4.5374e+42 1.2077e+42 1.5054e+41 1.8267e+41 3.1158e+40 1.4259e+41 7.6661e+40 3.7605e+42 1.333e+40 3.0675e+40 1.6156e+40 1.217e+40 2.6311e+41 1.7874e+41
-1.0 0.1 1000.0 -1.7 4.0925e+41 1.2951e+42 2.8874e+42 8.6909e+42 1.4637e+40 2.5755e+41 3.943e+42 7.6003e+41 7.6971e+40 1.03e+41 2.155e+40 3.4502e+40 2.4368e+40 2.0772e+42 1.165e+39 2.6972e+39 2.9705e+39 4.6534e+39 2.9597e+40 2.043e+40
-1.0 0.1 1000.0 -2.0 2.1239e+41 1.0326e+42 7.8926e+41 2.3757e+42 5.7412e+39 1.6053e+41 3.1935e+42 4.7372e+41 4.4541e+40 6.1099e+40 1.5892e+40 1.9102e+40 1.5429e+40 1.0415e+42 1.9197e+38 4.4948e+38 3.6244e+38 3.195e+39 2.148e+39 1.7098e+39
-1.0 0.1 10000.0 -1.2 3.4215e+42 2.8039e+42 1.4785e+43 4.4503e+43 9.6105e+41 4.0734e+42 8.3563e+42 1.2021e+43 5.5345e+41 1.0203e+42 1.5666e+40 6.5741e+40 3.9247e+40 4.6835e+42 2.0957e+40 5.1022e+40 9.7453e+40 9.3601e+40 5.0094e+41 4.5444e+41
-1.0 0.1 10000.0 -1.4 2.2861e+42 2.4532e+42 9.7602e+42 2.9378e+43 3.4489e+41 2.9339e+42 7.3254e+42 8.6579e+42 3.2483e+41 6.3505e+41 1.4554e+40 3.0683e+40 2.153e+40 3.4431e+42 7.9906e+39 1.9488e+40 4.6355e+40 4.5698e+40 2.1083e+41 1.9312e+41
-1.0 0.1 10000.0 -1.7 1.3149e+42 1.8545e+42 4.3616e+42 1.3128e+43 1.16e+41 2.0448e+42 5.5552e+42 6.0343e+42 1.9505e+41 4.0152e+41 9.4594e+39 1.5807e+40 1.3618e+40 1.8679e+42 1.548e+39 3.7864e+39 1.1326e+40 1.1977e+40 4.7638e+40 4.4229e+40
-1.0 0.1 10000.0 -2.0 7.4396e+41 1.33e+42 1.6414e+42 4.9406e+42 5.5867e+40 1.4321e+42 3.9995e+42 4.2262e+42 1.3623e+41 2.8361e+41 2.7514e+39 1.1359e+40 1.0045e+40 9.1067e+41 2.6729e+38 6.5593e+38 2.0937e+39 2.5853e+39 9.683e+39 9.1075e+39
-1.0 0.3 100.0 -1.2 2.2347e+42 2.2985e+41 1.8004e+42 5.4193e+42 6.6493e+41 9.4144e+41 6.789e+41 2.7782e+42 2.8086e+41 2.0328e+41 1.1805e+42 6.9011e+41 4.7928e+41 1.6943e+42 7.4994e+40 1.8147e+41 1.7236e+40 1.0211e+40 7.5187e+41 4.9256e+41
-1.0 0.3 100.0 -1.4 1.007e+42 1.938e+41 1.5755e+42 4.7424e+42 3.7088e+41 5.0549e+41 5.5745e+41 1.4917e+42 1.7887e+41 1.2968e+41 6.5082e+41 4.6342e+41 3.2289e+41 1.5e+42 3.8458e+40 9.251e+40 9.3166e+39 5.5335e+39 4.024e+41 2.6366e+41
-1.0 0.3 100.0 -1.7 2.2827e+41 1.7257e+41 1.1884e+42 3.5772e+42 9.1406e+40 1.4329e+41 4.9666e+41 4.2285e+41 7.7778e+40 5.6976e+40 2.0353e+41 1.8773e+41 1.329e+41 1.1413e+42 1.1018e+40 2.6156e+40 2.5342e+39 1.5679e+39 1.2196e+41 7.995e+40
-1.0 0.3 100.0 -2.0 7.678e+40 1.7706e+41 7.0343e+41 2.1173e+42 9.2671e+39 4.5844e+40 5.2458e+41 1.3529e+41 2.8202e+40 2.1472e+40 4.2182e+40 4.4715e+40 3.3594e+40 7.8772e+41 1.8089e+39 4.2195e+39 4.4227e+38 4.929e+38 2.2299e+40 1.4671e+40
-1.0 0.3 1000.0 -1.2 3.1012e+42 9.6624e+41 1.0494e+43 3.1586e+43 1.5088e+42 1.9985e+42 2.803e+42 5.8975e+42 8.7364e+41 8.2998e+41 2.7842e+41 7.6832e+41 3.9115e+41 4.3634e+42 1.1176e+41 2.6717e+41 3.6476e+40 2.2847e+40 1.3935e+42 9.4011e+41
-1.0 0.3 1000.0 -1.4 1.5103e+42 9.1175e+41 7.409e+42 2.2301e+43 5.9379e+41 1.0219e+42 2.668e+42 3.0156e+42 4.8517e+41 4.796e+41 6.5357e+40 2.4381e+41 1.2739e+41 3.3515e+42 3.6363e+40 8.6646e+40 1.6608e+40 1.0696e+40 5.5495e+41 3.7539e+41
-1.0 0.3 1000.0 -1.7 6.7539e+41 8.152e+41 3.4154e+42 1.028e+43 9.6089e+40 4.5929e+41 2.4295e+42 1.3554e+42 1.8076e+41 2.06e+41 2.4633e+40 3.361e+40 2.4139e+40 1.9433e+42 4.064e+39 9.6759e+39 4.2048e+39 3.3041e+39 8.8822e+40 6.0402e+40
-1.0 0.3 1000.0 -2.0 3.8508e+41 6.953e+41 1.2907e+42 3.8849e+42 2.6931e+40 3.0122e+41 2.1095e+42 8.889e+41 9.5262e+40 1.2207e+41 1.8083e+40 1.7305e+40 1.507e+40 1.0002e+42 4.1061e+38 9.8149e+38 8.6074e+38 1.4762e+39 1.1153e+40 7.6997e+39
