# log(Us)  xid nh alpha [OII]3727 Hbeta [OIII]4959 [OIII]5007 [OI]6300 [NII]6548 Halpha [NII]6584 [SII]6717 [SII]6731 NV1240 CIV1548 CIV1551 HeII1640 OIII]1661 OIII]1666 [SiIII]1883 SiIII]1888 [CIII]1907 CIII]1910 
-2.5 0.1 100.0 -1.2 6.0149e+42 2.7586e+42 9.9087e+42 2.9825e+43 1.1301e+42 1.3444e+41 8.0998e+42 3.9673e+41 6.6457e+41 4.8784e+41 2.2513e+41 5.0727e+42 2.6371e+42 5.3606e+42 4.209e+41 1.0341e+42 7.1628e+41 4.243e+41 5.1047e+42 3.3438e+42
-2.5 0.1 100.0 -1.4 4.823e+42 2.3662e+42 8.395e+42 2.5269e+43 5.6847e+41 9.859e+40 6.8815e+42 2.9094e+41 4.7846e+41 3.5656e+41 1.4942e+41 3.3695e+42 1.7565e+42 3.9417e+42 2.812e+41 6.9055e+41 5.6197e+41 3.3314e+41 3.5764e+42 2.3428e+42
-2.5 0.1 100.0 -1.7 3.2036e+42 1.7642e+42 5.5337e+42 1.6656e+43 1.8515e+41 6.2481e+40 5.1137e+42 1.8438e+41 2.8818e+41 2.1876e+41 7.5207e+40 1.5325e+42 8.0419e+41 2.1515e+42 1.2717e+41 3.1206e+41 3.2447e+41 1.9281e+41 1.7623e+42 1.1545e+42
-2.5 0.1 100.0 -2.0 2.0518e+42 1.2625e+42 3.3098e+42 9.9625e+42 7.5322e+40 4.042e+40 3.6694e+42 1.1928e+41 1.7892e+41 1.3724e+41 3.9545e+40 6.3319e+41 3.3798e+41 1.0707e+42 5.2642e+40 1.2908e+41 1.7074e+41 1.02e+41 8.0029e+41 5.2434e+41
-2.5 0.1 1000.0 -1.2 5.6156e+42 2.8622e+42 1.0475e+43 3.1531e+43 1.2738e+42 1.5792e+41 8.3783e+42 4.6603e+41 5.9746e+41 5.5599e+41 1.6537e+41 5.3883e+42 2.7882e+42 5.3848e+42 4.5237e+41 1.1115e+42 7.8239e+41 4.8035e+41 5.497e+42 3.6831e+42
-2.5 0.1 1000.0 -1.4 4.5537e+42 2.4594e+42 8.9891e+42 2.7057e+43 6.5686e+41 1.1499e+41 7.1271e+42 3.3933e+41 4.0613e+41 4.0415e+41 9.3069e+40 3.5261e+42 1.8265e+42 3.9555e+42 3.0901e+41 7.5894e+41 6.3768e+41 3.9214e+41 3.9558e+42 2.6522e+42
-2.5 0.1 1000.0 -1.7 3.1295e+42 1.8416e+42 6.0871e+42 1.8322e+43 2.2677e+41 7.2473e+40 5.3143e+42 2.1387e+41 2.3141e+41 2.523e+41 3.5099e+40 1.4559e+42 7.5696e+41 2.156e+42 1.4511e+41 3.5623e+41 4.0254e+41 2.4833e+41 2.0564e+42 1.3801e+42
-2.5 0.1 1000.0 -2.0 2.1254e+42 1.3249e+42 3.7399e+42 1.1257e+43 9.2737e+40 4.8516e+40 3.8297e+42 1.4317e+41 1.4301e+41 1.6553e+41 1.4926e+40 4.5763e+41 2.424e+41 1.0712e+42 6.1323e+40 1.5052e+41 2.3818e+41 1.4759e+41 9.753e+41 6.5525e+41
-2.5 0.1 10000.0 -1.2 5.0496e+42 3.1528e+42 1.0176e+43 3.0629e+43 2.2063e+42 3.0126e+41 9.2779e+42 8.8901e+41 5.7823e+41 8.1433e+41 9.2142e+39 1.3082e+42 6.6877e+41 5.0813e+42 3.3337e+41 8.2053e+41 1.0268e+42 8.5856e+41 4.3761e+42 3.6221e+42
-2.5 0.1 10000.0 -1.4 4.324e+42 2.6993e+42 8.4615e+42 2.5469e+43 1.2868e+42 2.3267e+41 7.8591e+42 6.8662e+41 3.9013e+41 5.8223e+41 4.5899e+39 6.6647e+41 3.4412e+41 3.7431e+42 2.2376e+41 5.5078e+41 8.2873e+41 6.9782e+41 3.0887e+42 2.5692e+42
-2.5 0.1 10000.0 -1.7 3.402e+42 1.9994e+42 5.1994e+42 1.565e+43 5.7053e+41 1.6508e+41 5.7835e+42 4.8715e+41 2.3251e+41 3.7948e+41 9.4776e+38 1.6249e+41 8.8346e+40 2.0313e+42 9.4705e+40 2.3318e+41 4.7073e+41 4.0101e+41 1.4746e+42 1.2358e+42
-2.5 0.1 10000.0 -2.0 2.6848e+42 1.4166e+42 2.6922e+42 8.1034e+42 2.8445e+41 1.2718e+41 4.0931e+42 3.753e+41 1.55e+41 2.7175e+41 1.2888e+38 3.7704e+40 2.3606e+40 9.942e+41 3.4025e+40 8.3806e+40 2.2614e+41 1.9469e+41 6.3275e+41 5.3361e+41
-2.5 0.3 100.0 -1.2 5.266e+42 2.4562e+42 7.9496e+42 2.3928e+43 1.4363e+42 1.4317e+41 7.2921e+42 4.2248e+41 9.0788e+41 6.554e+41 2.7691e+41 3.2915e+42 1.8943e+42 5.1094e+42 4.2843e+41 1.0535e+42 3.6127e+41 2.1393e+41 4.3408e+42 2.8432e+42
-2.5 0.3 100.0 -1.4 4.2417e+42 2.0676e+42 6.9678e+42 2.0973e+43 7.6173e+41 1.0282e+41 6.0556e+42 3.0341e+41 6.161e+41 4.5104e+41 1.8951e+41 2.311e+42 1.3122e+42 3.7742e+42 3.1048e+41 7.632e+41 3.0478e+41 1.8057e+41 3.2437e+42 2.1247e+42
-2.5 0.3 100.0 -1.7 2.8426e+42 1.5136e+42 4.7946e+42 1.4432e+43 2.6321e+41 6.352e+40 4.3934e+42 1.8745e+41 3.4261e+41 2.5597e+41 9.6343e+40 1.1376e+42 6.3848e+41 2.0747e+42 1.5333e+41 3.7668e+41 1.8956e+41 1.1249e+41 1.7145e+42 1.1231e+42
-2.5 0.3 100.0 -2.0 1.8413e+42 1.0804e+42 2.9565e+42 8.8989e+42 9.1896e+40 4.0494e+40 3.1355e+42 1.195e+41 1.9672e+41 1.4932e+41 4.8618e+40 5.1078e+41 2.8645e+41 1.0395e+42 6.6998e+40 1.645e+41 1.0439e+41 6.216e+40 8.1266e+41 5.3239e+41
-2.5 0.3 1000.0 -1.2 5.0033e+42 2.6503e+42 8.7745e+42 2.6411e+43 1.5905e+42 1.685e+41 7.8332e+42 4.9725e+41 8.8735e+41 7.6671e+41 2.1257e+41 3.6501e+42 2.0429e+42 5.2371e+42 4.6786e+41 1.1504e+42 4.026e+41 2.4686e+41 4.7458e+42 3.1776e+42
-2.5 0.3 1000.0 -1.4 4.08e+42 2.2517e+42 7.7466e+42 2.3317e+43 8.5573e+41 1.224e+41 6.5666e+42 3.6121e+41 5.7479e+41 5.2684e+41 1.2313e+41 2.5712e+42 1.4112e+42 3.8633e+42 3.4078e+41 8.3769e+41 3.4744e+41 2.1332e+41 3.5931e+42 2.4072e+42
-2.5 0.3 1000.0 -1.7 2.8398e+42 1.6786e+42 5.4433e+42 1.6384e+43 3.0986e+41 7.6748e+40 4.8528e+42 2.2648e+41 3.0295e+41 3.0514e+41 4.4288e+40 1.2007e+42 6.5143e+41 2.1192e+42 1.7156e+41 4.2156e+41 2.3295e+41 1.4339e+41 1.9708e+42 1.3216e+42
-2.5 0.3 1000.0 -2.0 1.9602e+42 1.2178e+42 3.4385e+42 1.035e+43 1.1766e+41 5.0948e+40 3.5188e+42 1.5035e+41 1.7286e+41 1.8855e+41 1.6743e+40 4.2954e+41 2.3663e+41 1.0584e+42 7.5819e+40 1.8627e+41 1.4323e+41 8.8484e+40 9.6513e+41 6.4787e+41
-2.5 0.3 10000.0 -1.2 4.5952e+42 3.0939e+42 9.0839e+42 2.7343e+43 2.5225e+42 3.2451e+41 9.1747e+42 9.5763e+41 9.0751e+41 1.1563e+42 1.0741e+40 1.1403e+42 6.0763e+41 5.0568e+42 3.483e+41 8.575e+41 5.4094e+41 4.4965e+41 3.7742e+42 3.1113e+42
-2.5 0.3 10000.0 -1.4 3.9676e+42 2.645e+42 7.6829e+42 2.3126e+43 1.4947e+42 2.5344e+41 7.7465e+42 7.4791e+41 5.9123e+41 7.9512e+41 5.21e+39 6.1808e+41 3.2979e+41 3.7277e+42 2.4335e+41 5.9914e+41 4.5151e+41 3.7768e+41 2.7494e+42 2.277e+42
-2.5 0.3 10000.0 -1.7 3.1743e+42 1.9619e+42 4.8356e+42 1.4555e+43 6.6941e+41 1.8057e+41 5.6927e+42 5.3286e+41 3.2906e+41 4.8609e+41 1.0378e+39 1.6463e+41 9.013e+40 2.0249e+42 1.0842e+41 2.67e+41 2.6818e+41 2.2682e+41 1.3668e+42 1.1402e+42
-2.5 0.3 10000.0 -2.0 2.5591e+42 1.3967e+42 2.5566e+42 7.6952e+42 3.2496e+41 1.3868e+41 4.0415e+42 4.0926e+41 2.0535e+41 3.306e+41 1.3829e+38 3.9456e+40 2.4229e+40 9.9212e+41 4.0647e+40 1.0013e+41 1.346e+41 1.15e+41 6.0719e+41 5.0967e+41
-2.5 0.5 100.0 -1.2 4.0768e+42 2.2339e+42 5.7004e+42 1.7158e+43 1.4657e+42 1.4807e+41 6.7315e+42 4.3694e+41 1.2199e+42 8.7015e+41 3.3331e+41 2.7093e+42 1.7207e+42 4.8741e+42 3.772e+41 9.2826e+41 1.0165e+41 6.0175e+40 3.3104e+42 2.1682e+42
-2.5 0.5 100.0 -1.4 3.3101e+42 1.8455e+42 5.1797e+42 1.5591e+43 8.0155e+41 1.0503e+41 5.4651e+42 3.0995e+41 7.9268e+41 5.723e+41 2.3672e+41 1.9943e+42 1.2879e+42 3.6139e+42 3.0054e+41 7.3944e+41 9.3558e+40 5.5405e+40 2.6666e+42 1.7466e+42
-2.5 0.5 100.0 -1.7 2.2551e+42 1.3234e+42 3.7715e+42 1.1352e+43 2.9311e+41 6.4044e+40 3.8592e+42 1.8899e+41 4.1797e+41 3.0765e+41 1.2334e+41 1.0362e+42 6.8432e+41 1.9992e+42 1.687e+41 4.149e+41 6.5104e+40 3.8592e+40 1.5599e+42 1.0218e+42
-2.5 0.5 100.0 -2.0 1.4855e+42 9.3528e+41 2.4317e+42 7.3195e+42 1.0476e+41 4.0634e+40 2.7133e+42 1.1991e+41 2.2857e+41 1.7119e+41 6.0881e+40 4.8051e+41 3.2219e+41 1.0079e+42 8.0417e+40 1.977e+41 3.8478e+40 2.2857e+40 7.9211e+41 5.1888e+41
